SITE,STATION,DATE,NAME,TEMP,DEWP,STP,VISIB,WDSP,MXSPD,MAX,MIN,PRCP,MONTH,AQI
bakersfield,72278023183,2024-01-01,"PHOENIX AIRPORT, AZ US",54.3,38.3,978.0,8.7,2.5,12.0,64.0,46.0,0.0,1,19.0
bakersfield,72278023183,2024-01-02,"PHOENIX AIRPORT, AZ US",55.2,35.5,979.6,9.7,3.4,6.0,66.0,45.0,0.0,1,26.0
bakersfield,72278023183,2024-01-03,"PHOENIX AIRPORT, AZ US",54.9,35.6,978.8,10.0,4.2,8.0,66.0,45.0,0.0,1,28.0
bakersfield,72278023183,2024-01-04,"PHOENIX AIRPORT, AZ US",52.6,38.3,974.4,10.0,6.8,26.0,64.0,45.0,0.01,1,33.0
bakersfield,72278023183,2024-01-05,"PHOENIX AIRPORT, AZ US",50.6,35.2,978.2,10.0,3.3,8.0,60.1,42.1,0.0,1,27.0
bakersfield,72278023183,2024-01-06,"PHOENIX AIRPORT, AZ US",50.0,32.9,978.7,9.9,2.9,8.0,62.1,39.9,0.0,1,25.0
bakersfield,72278023183,2024-01-07,"PHOENIX AIRPORT, AZ US",51.2,32.4,970.8,9.8,8.0,18.1,62.1,39.9,0.0,1,28.0
bakersfield,72278023183,2024-01-08,"PHOENIX AIRPORT, AZ US",45.2,20.7,974.1,10.0,6.2,12.0,54.0,37.0,0.01,1,29.0
bakersfield,72278023183,2024-01-09,"PHOENIX AIRPORT, AZ US",44.9,21.4,983.0,10.0,3.8,6.0,55.9,35.1,0.0,1,29.0
bakersfield,72278023183,2024-01-10,"PHOENIX AIRPORT, AZ US",46.6,23.2,975.2,10.0,3.4,8.0,60.1,35.1,0.0,1,26.0
bakersfield,72278023183,2024-01-11,"PHOENIX AIRPORT, AZ US",49.2,25.8,969.9,9.8,8.7,22.9,60.1,37.0,0.0,1,30.0
bakersfield,72278023183,2024-01-12,"PHOENIX AIRPORT, AZ US",46.6,17.6,979.8,10.0,6.1,22.0,57.9,36.0,0.01,1,32.0
bakersfield,72278023183,2024-01-13,"PHOENIX AIRPORT, AZ US",48.2,19.8,978.2,10.0,2.2,6.0,62.1,36.0,0.0,1,27.0
bakersfield,72278023183,2024-01-14,"PHOENIX AIRPORT, AZ US",52.5,23.5,974.9,10.0,4.5,8.0,66.9,37.0,0.0,1,27.0
bakersfield,72278023183,2024-01-15,"PHOENIX AIRPORT, AZ US",53.8,27.6,975.9,10.0,2.9,8.0,68.0,41.0,0.0,1,30.0
bakersfield,72278023183,2024-01-16,"PHOENIX AIRPORT, AZ US",55.8,30.1,977.4,10.0,2.1,5.1,70.0,42.1,0.0,1,29.0
bakersfield,72278023183,2024-01-17,"PHOENIX AIRPORT, AZ US",55.5,31.5,975.9,9.9,4.2,8.9,70.0,44.1,0.0,1,19.0
bakersfield,72278023183,2024-01-18,"PHOENIX AIRPORT, AZ US",58.2,30.9,976.9,10.0,2.8,5.1,75.9,45.0,0.0,1,22.0
bakersfield,72278023183,2024-01-19,"PHOENIX AIRPORT, AZ US",61.8,36.0,977.7,10.0,2.9,6.0,77.0,45.0,0.0,1,26.0
bakersfield,72278023183,2024-01-20,"PHOENIX AIRPORT, AZ US",61.4,38.5,973.4,10.0,4.2,8.9,77.0,50.0,0.0,1,26.0
bakersfield,72278023183,2024-01-21,"PHOENIX AIRPORT, AZ US",59.0,42.1,972.1,9.7,3.8,7.0,68.0,52.0,0.0,1,30.0
bakersfield,72278023183,2024-01-22,"PHOENIX AIRPORT, AZ US",55.1,48.9,973.2,7.3,3.7,9.9,64.0,50.0,0.03,1,35.0
bakersfield,72278023183,2024-01-23,"PHOENIX AIRPORT, AZ US",56.4,50.7,969.8,8.5,6.1,13.0,64.0,50.0,0.35,1,24.0
bakersfield,72278023183,2024-01-24,"PHOENIX AIRPORT, AZ US",56.4,50.2,975.6,7.7,2.4,7.0,63.0,53.1,0.32,1,26.0
bakersfield,72278023183,2024-01-25,"PHOENIX AIRPORT, AZ US",57.2,48.4,978.0,8.9,4.0,9.9,66.0,51.1,0.0,1,25.0
bakersfield,72278023183,2024-01-26,"PHOENIX AIRPORT, AZ US",57.3,43.6,978.6,10.0,4.6,9.9,69.1,46.9,0.0,1,28.0
bakersfield,72278023183,2024-01-27,"PHOENIX AIRPORT, AZ US",59.1,38.0,983.5,10.0,5.5,14.0,73.9,46.9,0.0,1,27.0
bakersfield,72278023183,2024-01-28,"PHOENIX AIRPORT, AZ US",66.0,31.8,981.3,10.0,8.3,17.1,78.1,46.9,0.0,1,31.0
bakersfield,72278023183,2024-01-29,"PHOENIX AIRPORT, AZ US",65.6,34.6,980.3,10.0,4.0,14.0,81.0,53.1,0.0,1,40.0
bakersfield,72278023183,2024-01-30,"PHOENIX AIRPORT, AZ US",66.5,36.8,977.7,10.0,2.9,8.9,81.0,54.0,0.0,1,30.0
bakersfield,72278023183,2024-01-31,"PHOENIX AIRPORT, AZ US",66.8,40.1,976.9,10.0,4.3,8.0,81.0,54.0,0.0,1,48.0
bakersfield,72278023183,2024-02-01,"PHOENIX AIRPORT, AZ US",68.7,45.0,971.2,10.0,7.2,15.9,81.0,55.9,0.0,2,37.0
bakersfield,72278023183,2024-02-02,"PHOENIX AIRPORT, AZ US",58.7,45.2,968.2,9.0,11.8,20.0,81.0,52.0,0.59,2,35.0
bakersfield,72278023183,2024-02-03,"PHOENIX AIRPORT, AZ US",54.8,39.9,972.7,10.0,5.3,17.1,64.0,46.0,0.21,2,35.0
bakersfield,72278023183,2024-02-04,"PHOENIX AIRPORT, AZ US",56.2,36.9,976.9,10.0,5.0,8.9,70.0,46.0,0.0,2,37.0
bakersfield,72278023183,2024-02-05,"PHOENIX AIRPORT, AZ US",61.4,35.8,975.4,10.0,5.9,11.1,75.0,48.9,0.0,2,35.0
bakersfield,72278023183,2024-02-06,"PHOENIX AIRPORT, AZ US",64.3,40.5,967.6,9.8,6.2,15.0,75.0,53.1,0.0,2,32.0
bakersfield,72278023183,2024-02-07,"PHOENIX AIRPORT, AZ US",54.4,44.8,969.3,9.2,9.7,21.0,66.0,48.9,0.34,2,34.0
bakersfield,72278023183,2024-02-08,"PHOENIX AIRPORT, AZ US",52.1,41.2,974.1,9.1,8.8,26.0,62.1,46.9,0.12,2,33.0
bakersfield,72278023183,2024-02-09,"PHOENIX AIRPORT, AZ US",47.5,37.2,977.0,10.0,5.0,11.1,60.1,39.9,0.22,2,35.0
bakersfield,72278023183,2024-02-10,"PHOENIX AIRPORT, AZ US",50.9,38.7,972.9,9.8,4.6,14.0,60.1,39.9,0.16,2,29.0
bakersfield,72278023183,2024-02-11,"PHOENIX AIRPORT, AZ US",49.5,35.7,978.2,10.0,5.4,14.0,62.1,39.9,0.01,2,33.0
bakersfield,72278023183,2024-02-12,"PHOENIX AIRPORT, AZ US",52.6,31.8,980.1,10.0,2.9,8.0,66.9,39.9,0.0,2,33.0
bakersfield,72278023183,2024-02-13,"PHOENIX AIRPORT, AZ US",56.5,33.3,974.9,10.0,4.2,7.0,71.1,42.1,0.0,2,33.0
bakersfield,72278023183,2024-02-14,"PHOENIX AIRPORT, AZ US",57.8,36.1,976.9,10.0,4.0,7.0,71.1,45.0,0.0,2,33.0
bakersfield,72278023183,2024-02-15,"PHOENIX AIRPORT, AZ US",59.4,35.2,979.4,10.0,4.1,8.9,73.9,46.0,0.0,2,35.0
bakersfield,72278023183,2024-02-16,"PHOENIX AIRPORT, AZ US",60.8,34.4,977.6,10.0,4.6,8.0,73.9,48.0,0.0,2,31.0
bakersfield,72278023183,2024-02-17,"PHOENIX AIRPORT, AZ US",62.2,36.9,976.4,10.0,4.3,7.0,75.0,48.0,0.0,2,30.0
bakersfield,72278023183,2024-02-18,"PHOENIX AIRPORT, AZ US",63.2,39.7,975.1,10.0,4.6,8.0,77.0,51.1,0.0,2,29.0
bakersfield,72278023183,2024-02-19,"PHOENIX AIRPORT, AZ US",65.3,38.0,976.4,10.0,5.3,8.0,80.1,51.1,0.0,2,35.0
bakersfield,72278023183,2024-02-20,"PHOENIX AIRPORT, AZ US",67.2,35.3,978.6,10.0,4.9,8.0,82.0,53.1,0.0,2,31.0
bakersfield,72278023183,2024-02-21,"PHOENIX AIRPORT, AZ US",67.1,33.7,976.0,10.0,6.2,12.0,82.0,53.1,0.0,2,33.0
bakersfield,72278023183,2024-02-22,"PHOENIX AIRPORT, AZ US",64.2,43.8,978.9,10.0,3.4,12.0,75.9,54.0,0.0,2,34.0
bakersfield,72278023183,2024-02-23,"PHOENIX AIRPORT, AZ US",65.8,35.8,977.8,10.0,4.2,8.9,81.0,53.1,0.0,2,33.0
bakersfield,72278023183,2024-02-24,"PHOENIX AIRPORT, AZ US",67.2,34.2,976.4,10.0,3.6,8.0,81.0,53.1,0.0,2,30.0
bakersfield,72278023183,2024-02-25,"PHOENIX AIRPORT, AZ US",68.8,36.1,977.0,10.0,4.1,8.9,84.0,57.9,0.0,2,35.0
bakersfield,72278023183,2024-02-26,"PHOENIX AIRPORT, AZ US",71.3,42.6,974.6,10.0,3.5,7.0,84.0,59.0,0.0,2,42.0
bakersfield,72278023183,2024-02-27,"PHOENIX AIRPORT, AZ US",68.2,39.8,971.2,10.0,3.3,12.0,75.9,57.0,0.0,2,37.0
bakersfield,72278023183,2024-02-28,"PHOENIX AIRPORT, AZ US",66.6,39.6,973.7,10.0,4.3,19.0,80.1,55.0,0.0,2,30.0
bakersfield,72278023183,2024-02-29,"PHOENIX AIRPORT, AZ US",62.6,45.2,977.0,9.9,7.6,19.0,80.1,54.0,0.0,2,33.0
bakersfield,72278023183,2024-03-01,"PHOENIX AIRPORT, AZ US",66.3,38.6,977.7,10.0,5.7,9.9,80.1,54.0,0.0,3,35.0
bakersfield,72278023183,2024-03-02,"PHOENIX AIRPORT, AZ US",66.9,37.2,974.8,10.0,6.8,14.0,80.1,53.1,0.0,3,34.0
bakersfield,72278023183,2024-03-03,"PHOENIX AIRPORT, AZ US",66.0,35.5,973.2,10.0,5.0,12.0,80.1,53.1,0.0,3,36.0
bakersfield,72278023183,2024-03-04,"PHOENIX AIRPORT, AZ US",63.2,36.4,973.6,10.0,4.3,12.0,75.0,53.1,0.0,3,37.0
bakersfield,72278023183,2024-03-05,"PHOENIX AIRPORT, AZ US",63.4,31.3,974.7,10.0,5.0,11.1,77.0,53.1,0.0,3,38.0
bakersfield,72278023183,2024-03-06,"PHOENIX AIRPORT, AZ US",65.6,33.2,971.7,10.0,3.8,8.0,77.0,53.1,0.0,3,41.0
bakersfield,72278023183,2024-03-07,"PHOENIX AIRPORT, AZ US",61.1,37.9,969.0,9.7,6.2,18.1,75.9,53.1,0.0,3,30.0
bakersfield,72278023183,2024-03-08,"PHOENIX AIRPORT, AZ US",57.5,45.8,974.7,9.8,4.1,11.1,71.1,53.1,0.25,3,30.0
bakersfield,72278023183,2024-03-09,"PHOENIX AIRPORT, AZ US",62.2,41.4,977.9,10.0,6.2,12.0,75.9,51.1,0.05,3,35.0
bakersfield,72278023183,2024-03-10,"PHOENIX AIRPORT, AZ US",66.8,34.2,977.1,10.0,5.2,11.1,81.0,51.1,0.0,3,38.0
bakersfield,72278023183,2024-03-11,"PHOENIX AIRPORT, AZ US",68.4,33.5,974.2,10.0,4.4,8.9,82.0,53.1,0.0,3,38.0
bakersfield,72278023183,2024-03-12,"PHOENIX AIRPORT, AZ US",68.2,32.0,974.9,10.0,5.0,9.9,82.0,55.0,0.0,3,41.0
bakersfield,72278023183,2024-03-13,"PHOENIX AIRPORT, AZ US",66.3,35.5,971.5,10.0,6.5,15.9,78.1,54.0,0.0,3,35.0
bakersfield,72278023183,2024-03-14,"PHOENIX AIRPORT, AZ US",64.1,32.4,967.9,10.0,5.0,15.9,77.0,54.0,0.0,3,34.0
bakersfield,72278023183,2024-03-15,"PHOENIX AIRPORT, AZ US",59.4,39.6,967.2,9.6,8.0,18.1,73.0,52.0,0.02,3,39.0
bakersfield,72278023183,2024-03-16,"PHOENIX AIRPORT, AZ US",54.3,42.5,974.2,10.0,4.2,12.0,69.1,46.0,0.17,3,39.0
bakersfield,72278023183,2024-03-17,"PHOENIX AIRPORT, AZ US",59.3,42.0,975.2,10.0,5.3,17.1,69.1,46.0,0.01,3,43.0
bakersfield,72278023183,2024-03-18,"PHOENIX AIRPORT, AZ US",62.4,39.2,975.2,10.0,4.2,14.0,81.0,51.1,0.0,3,46.0
bakersfield,72278023183,2024-03-19,"PHOENIX AIRPORT, AZ US",64.7,40.2,975.6,10.0,5.8,21.0,81.0,51.1,0.0,3,49.0
bakersfield,72278023183,2024-03-20,"PHOENIX AIRPORT, AZ US",66.1,38.3,974.6,10.0,4.8,19.0,80.1,54.0,0.0,3,45.0
bakersfield,72278023183,2024-03-21,"PHOENIX AIRPORT, AZ US",68.5,42.0,975.1,10.0,5.5,18.1,82.9,54.0,0.02,3,40.0
bakersfield,72278023183,2024-03-22,"PHOENIX AIRPORT, AZ US",72.2,38.8,975.9,10.0,4.7,8.9,86.0,55.9,0.0,3,46.0
bakersfield,72278023183,2024-03-23,"PHOENIX AIRPORT, AZ US",72.6,36.6,970.4,10.0,5.5,14.0,86.0,60.1,0.0,3,6.0
bakersfield,72278023183,2024-03-24,"PHOENIX AIRPORT, AZ US",63.7,35.7,963.6,9.7,12.4,21.0,82.9,53.1,0.33,3,40.0
bakersfield,72278023183,2024-03-25,"PHOENIX AIRPORT, AZ US",58.0,39.2,966.9,10.0,7.1,13.0,72.0,48.9,0.04,3,36.0
bakersfield,72278023183,2024-03-26,"PHOENIX AIRPORT, AZ US",63.2,35.8,971.5,10.0,7.7,13.0,72.0,55.0,0.0,3,36.0
bakersfield,72278023183,2024-03-27,"PHOENIX AIRPORT, AZ US",61.1,37.8,978.5,10.0,8.0,25.1,75.9,51.1,0.0,3,42.0
bakersfield,72278023183,2024-03-28,"PHOENIX AIRPORT, AZ US",67.7,35.3,976.4,10.0,4.7,9.9,81.0,55.9,0.0,3,48.0
bakersfield,72278023183,2024-03-29,"PHOENIX AIRPORT, AZ US",70.8,34.1,970.4,10.0,5.9,9.9,84.0,57.0,0.0,3,37.0
bakersfield,72278023183,2024-03-30,"PHOENIX AIRPORT, AZ US",73.7,30.6,967.8,10.0,9.6,22.0,84.9,60.1,0.0,3,41.0
bakersfield,72278023183,2024-03-31,"PHOENIX AIRPORT, AZ US",61.2,40.0,968.3,8.9,10.2,28.0,81.0,51.1,0.0,3,41.0
bakersfield,72278023183,2024-04-01,"PHOENIX AIRPORT, AZ US",55.3,45.5,971.2,9.7,6.3,17.1,62.1,48.9,0.9,4,39.0
bakersfield,72278023183,2024-04-02,"PHOENIX AIRPORT, AZ US",60.5,44.4,978.8,10.0,4.3,9.9,75.9,48.9,0.4,4,42.0
bakersfield,72278023183,2024-04-03,"PHOENIX AIRPORT, AZ US",67.8,43.9,980.5,10.0,4.2,9.9,82.9,51.1,0.0,4,46.0
bakersfield,72278023183,2024-04-04,"PHOENIX AIRPORT, AZ US",72.2,39.8,971.7,10.0,6.0,12.0,89.1,55.9,0.0,4,48.0
bakersfield,72278023183,2024-04-05,"PHOENIX AIRPORT, AZ US",71.1,30.0,967.9,10.0,10.2,24.1,89.1,59.0,0.0,4,39.0
bakersfield,72278023183,2024-04-06,"PHOENIX AIRPORT, AZ US",58.3,26.5,976.4,10.0,11.1,24.1,75.9,48.9,0.0,4,40.0
bakersfield,72278023183,2024-04-07,"PHOENIX AIRPORT, AZ US",61.8,25.2,977.8,10.0,3.6,11.1,75.9,48.9,0.0,4,42.0
bakersfield,72278023183,2024-04-08,"PHOENIX AIRPORT, AZ US",65.9,23.7,969.5,10.0,4.7,11.1,75.9,50.0,0.0,4,42.0
