datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,,,18.3,17.0,0.0202083333333332,19.0,0.2,2.0,,,0.0035,3,19.0
2024-01-02,,,27.6,26.0,0.0242499999999999,22.0,0.3,3.0,,,0.00925,9,26.0
2024-01-03,,,7.57,7.0,0.03003125,28.0,0.2,2.0,,,0.00465,4,28.0
2024-01-04,,,9.08,8.0,0.0355625,33.0,0.2,2.0,,,0.0034,3,33.0
2024-01-05,,,13.5,12.0,0.02871875,27.0,0.2,2.0,,,0.0061333333333333,6,27.0
2024-01-06,,,15.9,15.0,0.02728125,25.0,0.2,2.0,,,0.0052333333333333,5,25.0
2024-01-07,,,10.7,10.0,0.030125,28.0,0.2,2.0,,,0.0025333333333333,2,28.0
2024-01-08,,,11.2,10.0,0.031125,29.0,0.2,2.0,,,0.0031333333333333,3,29.0
2024-01-09,,,15.8,15.0,0.03128125,29.0,0.2,2.0,,,0.0042666666666666,4,29.0
2024-01-10,,,28.3,26.0,0.02790625,26.0,0.2,2.0,,,0.005,5,26.0
2024-01-11,,,6.71,6.0,0.0322083333333333,30.0,0.1,1.0,,,0.0039,4,30.0
2024-01-12,,,13.7,13.0,0.0345833333333333,32.0,0.2,2.0,,,0.0081,8,32.0
2024-01-13,,,21.7,20.0,0.0296666666666666,27.0,0.2,2.0,,,0.0049999999999999,5,27.0
2024-01-14,,,17.5,16.0,0.0290833333333332,27.0,0.2,2.0,,,0.00335,3,27.0
2024-01-15,,,22.7,21.0,0.0328749999999999,30.0,0.3,3.0,,,0.0051,5,30.0
2024-01-16,,,30.9,29.0,0.0234166666666666,22.0,0.3,3.0,,,0.0086,8,29.0
2024-01-17,,,19.5,18.0,0.0204999999999999,19.0,0.2,2.0,,,0.0057,5,19.0
2024-01-18,,,17.9,17.0,0.0233749999999999,22.0,0.2,2.0,,,0.0063,6,22.0
2024-01-19,,,27.8,26.0,0.0234062499999999,22.0,0.3,3.0,,,0.013,12,26.0
2024-01-20,,,28.1,26.0,0.0198749999999999,18.0,0.2,2.0,,,0.0053999999999999,5,26.0
2024-01-21,,,8.33,8.0,0.0327916666666666,30.0,0.2,2.0,,,0.0018,2,30.0
2024-01-22,,,3.25,3.0,0.0377083333333333,35.0,0.1,1.0,,,0.0030499999999999,3,35.0
2024-01-23,,,6.33,6.0,0.0257083333333333,24.0,0.2,2.0,,,0.00395,4,24.0
2024-01-24,,,11.7,11.0,0.0280416666666666,26.0,0.2,2.0,,,0.0043666666666666,4,26.0
2024-01-25,,,6.5,6.0,0.0265208333333333,25.0,0.2,2.0,,,0.0026666666666666,3,25.0
2024-01-26,,,20.5,19.0,0.0298645833333333,28.0,0.4,5.0,,,0.0060666666666666,6,28.0
2024-01-27,,,22.6,21.0,0.0294062499999999,27.0,0.1,1.0,,,0.0042333333333333,4,27.0
2024-01-28,,,33.6,31.0,0.03253125,30.0,0.3,3.0,,,0.0053333333333333,5,31.0
2024-01-29,,,43.4,40.0,0.03359375,31.0,0.1,1.0,,,0.0033,3,40.0
2024-01-30,,,32.2,30.0,0.0312708333333333,29.0,,,,,0.0055,5,30.0
2024-01-31,,,51.3,48.0,0.0374270833333333,35.0,0.2,2.0,,,0.0051,5,48.0
2024-02-01,,,3.08,3.0,0.0399895833333333,37.0,0.1,1.0,,,0.0030666666666666,3,37.0
2024-02-02,,,3.33,3.0,0.0383124999999999,35.0,0.2,2.0,,,0.0050333333333333,5,35.0
2024-02-03,,,5.87,5.0,0.0373541666666666,35.0,0.2,2.0,,,0.00255,2,35.0
2024-02-04,,,9.29,9.0,0.0397499999999999,37.0,0.1,1.0,,,0.0020499999999999,2,37.0
2024-02-05,,,6.26,6.0,0.0380833333333333,35.0,0.2,2.0,,,0.0093,9,35.0
2024-02-06,,,2.25,2.0,0.0346041666666666,32.0,0.2,2.0,,,0.00425,4,32.0
2024-02-07,,,4.46,4.0,0.0365833333333333,34.0,0.2,2.0,,,0.0035,3,34.0
2024-02-08,,,8.13,8.0,0.035625,33.0,0.1,1.0,,,0.0026333333333333,2,33.0
2024-02-09,,,13.8,13.0,0.03771875,35.0,0.2,2.0,,,0.0028666666666666,3,35.0
2024-02-10,,,10.3,10.0,0.03084375,29.0,0.2,2.0,,,0.0025333333333333,2,29.0
2024-02-11,,,8.87,8.0,0.0354375,33.0,0.2,2.0,,,0.0029333333333333,3,33.0
2024-02-12,,,20.0,19.0,0.0354687499999999,33.0,0.2,2.0,,,0.00405,4,33.0
2024-02-13,,,30.7,28.0,0.035375,33.0,0.2,2.0,,,0.0044666666666666,4,33.0
2024-02-14,,,29.1,27.0,0.0361562499999999,33.0,0.2,2.0,,,0.0040999999999999,4,33.0
2024-02-15,,,2.96,3.0,0.0377604166666666,35.0,0.1,1.0,,,0.0024,2,35.0
2024-02-16,,,15.2,14.0,0.03321875,31.0,0.2,2.0,,,0.0023,2,31.0
2024-02-17,,,10.3,10.0,0.0325624999999999,30.0,0.1,1.0,,,0.0018333333333333,2,30.0
2024-02-18,,,4.46,4.0,0.0314687499999999,29.0,0.1,1.0,,,0.0014,1,29.0
2024-02-19,,,3.25,3.0,0.0373749999999999,35.0,0.1,1.0,,,0.00295,3,35.0
2024-02-20,,,7.58,7.0,0.0338333333333333,31.0,0.2,2.0,,,0.0028666666666666,3,31.0
2024-02-21,,,8.78,8.0,0.03575,33.0,0.1,1.0,,,0.002,2,33.0
2024-02-22,,,16.9,16.0,0.03696875,34.0,0.2,2.0,,,0.0026333333333333,2,34.0
2024-02-23,,,21.4,20.0,0.0356770833333333,33.0,0.3,3.0,,,0.0050666666666666,5,33.0
2024-02-24,,,24.6,23.0,0.0320624999999999,30.0,0.2,2.0,,,0.0032333333333333,3,30.0
2024-02-25,,,32.3,30.0,0.0376874999999999,35.0,0.2,2.0,,,0.0025333333333333,2,35.0
2024-02-26,,,21.5,20.0,0.0456249999999999,42.0,0.2,2.0,,,0.0026,2,42.0
2024-02-27,,,19.8,18.0,0.0401249999999999,37.0,0.2,2.0,,,0.0029666666666666,3,37.0
2024-02-28,,,32.5,30.0,0.03021875,28.0,0.2,2.0,,,0.0043666666666666,4,30.0
2024-02-29,,,26.4,24.0,0.0351875,33.0,0.2,2.0,,,0.0019,2,33.0
2024-03-01,,,12.9,12.0,0.03809375,35.0,0.2,2.0,,,0.0027666666666666,3,35.0
2024-03-02,,,5.46,5.0,0.0369375,34.0,0.2,2.0,,,0.0018333333333333,2,34.0
2024-03-03,,,3.0,3.0,0.03871875,36.0,0.2,2.0,,,0.0014333333333333,1,36.0
2024-03-04,,,10.8,10.0,0.040125,37.0,0.1,1.0,,,0.0023,2,37.0
2024-03-05,,,17.8,16.0,0.0409999999999999,38.0,0.2,2.0,,,0.00405,4,38.0
2024-03-06,,,13.3,12.0,0.0440416666666666,41.0,0.2,2.0,,,0.0049,5,41.0
2024-03-07,,,9.7,9.0,0.0329166666666666,30.0,0.2,2.0,,,0.0024333333333333,2,30.0
2024-03-08,,,13.7,13.0,0.0329375,30.0,0.2,2.0,,,0.0030333333333333,3,30.0
2024-03-09,,,14.5,13.0,0.0383124999999999,35.0,0.2,2.0,,,0.0023,2,35.0
2024-03-10,,,14.5,13.0,0.0405937499999999,38.0,0.2,2.0,,,0.0021666666666666,2,38.0
2024-03-11,,,14.8,14.0,0.04128125,38.0,0.1,1.0,,,0.002,2,38.0
2024-03-12,,,20.7,19.0,0.043875,41.0,0.2,2.0,,,0.0029,3,41.0
2024-03-13,,,18.1,17.0,0.0373854166666666,35.0,0.2,2.0,,,0.0022,2,35.0
2024-03-14,,,28.3,26.0,0.0371666666666666,34.0,0.2,2.0,,,0.0022666666666666,2,34.0
2024-03-15,,,24.2,22.0,0.041625,39.0,0.2,2.0,,,0.0026999999999999,3,39.0
2024-03-16,,,19.8,18.0,0.041875,39.0,0.1,1.0,,,0.0019333333333333,2,39.0
2024-03-17,,,18.2,17.0,0.04590625,43.0,0.2,2.0,,,0.0022666666666666,2,43.0
2024-03-18,,,38.7,36.0,0.05003125,46.0,0.2,2.0,,,0.0034666666666666,3,46.0
2024-03-19,,,44.1,41.0,0.0528124999999999,49.0,0.2,2.0,,,0.0027666666666666,3,49.0
2024-03-20,,,40.4,37.0,0.0486874999999999,45.0,0.2,2.0,,,0.0025333333333333,2,45.0
2024-03-21,,,35.2,33.0,0.0427499999999999,40.0,0.2,2.0,,,0.0022333333333333,2,40.0
2024-03-22,,,31.3,29.0,0.04971875,46.0,0.2,2.0,,,0.0035333333333333,3,46.0
2024-03-23,,,6.58,6.0,0.0547187499999999,,0.2,2.0,,,0.002,2,6.0
2024-03-24,,,2.58,2.0,0.043125,40.0,0.2,2.0,,,0.0016666666666666,2,40.0
2024-03-25,3.72,16.0,6.88,6.0,0.03915625,36.0,0.2,2.0,,,0.0028,3,36.0
2024-03-26,4.6,19.0,16.7,15.0,0.0393812499999999,36.0,0.2,2.0,,,0.0022,2,36.0
2024-03-27,4.35,18.0,18.2,17.0,0.04493125,42.0,0.2,2.0,,,0.002325,2,42.0
2024-03-28,0.861,4.0,10.5,10.0,0.0514,48.0,0.1,1.0,,,0.0020499999999999,2,48.0
2024-03-29,1.6,7.0,23.1,21.0,0.0397499999999999,37.0,0.2,2.0,,,0.001725,2,37.0
2024-03-30,-0.62,,2.83,3.0,0.0445749999999999,41.0,0.2,2.0,,,0.00175,2,41.0
2024-03-31,0.411,2.0,4.83,4.0,0.0444499999999999,41.0,0.2,2.0,,,0.0014,1,41.0
2024-04-01,1.74,7.0,8.38,8.0,0.0423749999999999,39.0,0.2,2.0,,,0.00185,2,39.0
2024-04-02,5.25,22.0,16.0,15.0,0.0457999999999999,42.0,0.1,1.0,,,0.00205,2,42.0
2024-04-03,5.85,24.0,33.8,31.0,0.049725,46.0,0.1,1.0,,,0.00215,2,46.0
2024-04-04,1.67,7.0,14.4,13.0,0.05185,48.0,0.2,2.0,,,0.0025,2,48.0
2024-04-05,1.72,7.0,5.33,5.0,0.0416999999999999,39.0,0.2,2.0,,,0.0019749999999999,2,39.0
2024-04-06,4.58,19.0,5.67,5.0,0.0429,40.0,0.2,2.0,,,0.001625,2,40.0
2024-04-07,5.56,23.0,10.6,10.0,0.0450999999999999,42.0,0.2,2.0,,,0.00155,1,42.0
2024-04-08,6.77,28.0,15.7,15.0,0.0449249999999999,42.0,0.1,1.0,,,0.00225,2,42.0
2024-04-09,5.77,24.0,20.0,19.0,0.0514749999999999,48.0,0.1,1.0,,,0.0024999999999999,2,48.0
2024-04-10,11.5,48.0,36.2,34.0,0.0551812499999999,52.0,0.2,2.0,,,0.003,3,52.0
2024-04-11,15.9,59.0,52.5,49.0,0.0624625,75.0,0.2,2.0,,,0.003925,4,75.0
2024-04-12,12.5,52.0,47.4,44.0,0.06795625,93.0,0.2,2.0,,,0.0031666666666666,3,93.0
2024-04-13,5.38,22.0,49.4,46.0,0.0595999999999999,66.0,0.1,1.0,,,0.0016666666666666,2,66.0
