datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,39.3,110.0,47.0,44.0,0.003125,3.0,2.0,23.0,0.0085,12.0,,,110.0
2024-01-02,10.3,43.0,14.8,14.0,0.007,6.0,0.8,9.0,0.0043,6.0,,,43.0
2024-01-03,4.42,18.0,7.42,7.0,0.024,22.0,0.6,7.0,0.0022,3.0,,,22.0
2024-01-04,1.755,7.0,8.5,8.0,0.03925,36.0,0.1,1.0,0.001,1.0,,,36.0
2024-01-05,16.15,60.0,22.3,21.0,0.036,33.0,0.6,7.0,0.0041,6.0,,,60.0
2024-01-06,21.15,70.0,24.5,23.0,0.00375,3.0,0.9,10.0,0.0072,10.0,,,70.0
2024-01-07,10.9,45.0,16.6,15.0,0.003125,3.0,0.6,7.0,0.0058,8.0,,,45.0
2024-01-08,6.855,29.0,10.3,10.0,0.0087499999999999,8.0,0.2,2.0,0.0017,2.0,,,29.0
2024-01-09,4.869999999999999,20.0,7.21,7.0,0.02575,24.0,0.3,3.0,0.0017,2.0,,,24.0
2024-01-10,11.285,47.0,17.9,17.0,0.019375,18.0,1.0,11.0,0.005,7.0,,,47.0
2024-01-11,19.1,66.0,28.7,27.0,0.0072499999999999,7.0,0.8,9.0,0.0058,8.0,,,66.0
2024-01-12,17.85,63.0,26.1,24.0,0.0036249999999999,3.0,0.8,9.0,0.0057,8.0,,,63.0
2024-01-13,13.95,55.0,18.0,17.0,0.0034999999999999,3.0,0.4,5.0,0.0047,7.0,,,55.0
2024-01-14,4.955,21.0,8.08,7.0,0.028125,26.0,0.2,2.0,0.0015,2.0,,,26.0
2024-01-15,4.19,17.0,8.0,7.0,0.026875,25.0,0.5,6.0,0.0031,4.0,,,25.0
2024-01-16,4.73,20.0,8.0,7.0,0.017875,17.0,0.3,3.0,0.0022,3.0,,,20.0
2024-01-17,12.65,52.0,14.8,14.0,0.0335,31.0,0.3,3.0,0.0017,2.0,,,52.0
2024-01-18,17.85,63.0,22.8,21.0,0.006,6.0,0.7,8.0,0.0046,7.0,,,63.0
2024-01-19,19.1,66.0,23.3,22.0,0.003,3.0,0.5,6.0,0.0039,6.0,,,66.0
2024-01-20,9.64,40.0,16.6,15.0,0.01225,11.0,0.2,2.0,0.0014,2.0,,,40.0
2024-01-21,12.14,51.0,18.9,18.0,0.036125,33.0,0.4,5.0,0.0043,6.0,,,51.0
2024-01-22,33.45,96.0,33.1,31.0,0.007,6.0,0.6,7.0,0.0064,9.0,,,96.0
2024-01-23,23.5,75.0,33.3,31.0,0.00375,3.0,0.6,7.0,0.0038,5.0,,,75.0
2024-01-24,19.3,66.0,27.3,25.0,0.004375,4.0,0.6,7.0,0.0063,9.0,,,66.0
2024-01-25,26.3,81.0,27.4,25.0,0.005,5.0,0.5,6.0,0.0054,8.0,,,81.0
2024-01-26,24.6,77.0,30.8,29.0,0.005125,5.0,1.0,11.0,0.0062,9.0,,,77.0
2024-01-27,12.7,52.0,17.0,16.0,0.00625,6.0,0.3,3.0,0.0028,4.0,,,52.0
2024-01-28,9.5,40.0,10.7,10.0,0.007375,7.0,0.3,3.0,0.0026,4.0,,,40.0
2024-01-29,2.31,10.0,3.22,3.0,0.0212499999999999,20.0,0.2,2.0,0.0009,1.0,,,20.0
2024-01-30,7.695,32.0,10.2,9.0,0.022625,21.0,0.2,2.0,0.0016,2.0,,,32.0
2024-01-31,12.65,52.0,16.4,15.0,0.018625,17.0,0.7,8.0,0.0066,9.0,,,52.0
2024-02-01,21.1,70.0,30.3,28.0,0.006375,6.0,0.7,8.0,0.0056,8.0,,,70.0
2024-02-02,22.700000000000003,73.0,32.7,30.0,0.00525,5.0,0.9,10.0,0.0066,9.0,,,73.0
2024-02-03,28.2,85.0,33.5,31.0,0.0045,4.0,1.2,14.0,0.0101,14.0,,,85.0
2024-02-04,21.65,71.0,25.4,24.0,0.004625,4.0,1.3,15.0,0.0066,9.0,,,71.0
2024-02-05,24.15,76.0,25.7,24.0,0.004875,5.0,0.8,9.0,0.0068,10.0,,,76.0
2024-02-06,18.35,64.0,24.0,22.0,0.004125,4.0,0.7,8.0,0.0049,7.0,,,64.0
2024-02-07,22.45,73.0,25.9,24.0,0.0045,4.0,0.4,5.0,0.0057,8.0,,,73.0
2024-02-08,25.9,80.0,36.9,34.0,0.00425,4.0,0.6,7.0,0.0069,10.0,,,80.0
2024-02-09,14.5,56.0,21.9,20.0,0.0045,4.0,0.8,9.0,0.0084,12.0,,,56.0
2024-02-10,17.4,62.0,22.8,21.0,0.00375,3.0,0.7,8.0,0.0083,12.0,,,62.0
2024-02-11,12.2,51.0,16.3,15.0,0.00925,9.0,0.4,5.0,0.0048,7.0,,,51.0
2024-02-12,18.4,64.0,26.1,24.0,0.0115,11.0,0.7,8.0,0.006,9.0,,,64.0
2024-02-13,1.6005,7.0,7.04,7.0,0.035875,33.0,0.2,2.0,0.0012,2.0,,,33.0
2024-02-14,8.81,37.0,26.1,24.0,0.04075,38.0,0.3,3.0,0.0017,2.0,,,38.0
2024-02-15,14.7,56.0,26.0,24.0,0.018125,17.0,0.5,6.0,0.0044,6.0,,,56.0
2024-02-16,15.0,57.0,25.7,24.0,0.007,6.0,0.4,5.0,0.0036,5.0,,,57.0
2024-02-17,18.8,65.0,27.0,25.0,0.007875,7.0,0.7,8.0,0.0072,10.0,,,65.0
2024-02-18,17.25,62.0,23.6,22.0,0.006375,6.0,0.5,6.0,0.0073,10.0,,,62.0
