datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,19.8,67.0,20.8,19.0,0.0105,10.0,0.3,3,0.0001,0.0,0.0060999999999999,6,67.0
2024-01-02,16.675,61.0,20.633333333333333,19.0,0.0179375,17.0,0.2,2,0.0002,0.0,0.007775,7,61.0
2024-01-03,7.145,30.0,9.883333333333333,9.0,0.0272083333333333,25.0,0.2,2,0.0001,0.0,0.005475,5,30.0
2024-01-04,9.67,40.0,14.833333333333334,14.0,0.0300833333333333,28.0,0.2,2,0.0001,0.0,0.009925,9,40.0
2024-01-05,18.75,65.0,27.1,25.0,0.0231458333333333,21.0,0.2,2,0.0003,0.0,0.007325,7,65.0
2024-01-06,18.775,65.0,21.4,20.0,0.0245625,23.0,0.3,3,0.0002,0.0,0.007525,7,65.0
2024-01-07,7.65,32.0,9.886666666666668,9.0,0.0237812499999999,22.0,0.2,2,0.0001,0.0,0.00285,3,32.0
2024-01-08,12.145,51.0,19.266666666666666,18.0,0.0244687499999999,23.0,0.2,2,0.0003,0.0,0.004575,4,51.0
2024-01-09,11.4825,48.0,19.0,18.0,0.0253749999999999,23.0,0.2,2,0.0004,1.0,0.0066999999999999,6,48.0
2024-01-10,8.2,34.0,14.633333333333333,14.0,0.0271666666666666,25.0,0.2,2,0.0002,0.0,0.008,8,34.0
2024-01-11,6.925,29.0,11.123333333333337,10.0,0.0299583333333333,28.0,0.2,2,0.0005,1.0,0.0075499999999999,7,29.0
2024-01-12,14.5525,56.0,22.53333333333333,21.0,0.0278645833333333,26.0,0.3,3,0.0004,1.0,0.00975,9,56.0
2024-01-13,26.025,80.0,29.7,28.0,0.0225416666666666,21.0,0.25,3,0.0002,0.0,0.008525,8,80.0
2024-01-14,16.275,60.0,18.366666666666667,17.0,0.025,23.0,0.2,2,0.0002,0.0,0.005125,5,60.0
2024-01-15,7.55,31.0,8.58,8.0,0.0276875,26.0,0.2,2,0.0001,0.0,0.0076,7,31.0
2024-01-16,12.415,52.0,14.933333333333332,14.0,0.0168125,16.0,0.4,5,0.0001,0.0,0.0127999999999999,12,52.0
2024-01-17,16.575,60.0,19.066666666666663,18.0,0.0153020833333332,14.0,0.2,2,0.0001,0.0,0.006575,6,60.0
2024-01-18,15.825,59.0,21.4,20.0,0.0207916666666666,19.0,0.3,3,0.0001,0.0,0.0071,7,59.0
2024-01-19,17.9,63.0,26.433333333333334,24.0,0.0163020833333333,15.0,0.3,3,0.0002,0.0,0.013575,13,63.0
2024-01-20,6.3775,27.0,9.166666666666666,8.0,0.0264374999999999,24.0,0.2,2,0.0001,0.0,0.004325,4,27.0
2024-01-21,3.13,13.0,4.516666666666667,4.0,0.03365625,31.0,0.2,2,0.0002,0.0,0.003575,3,31.0
2024-01-22,3.4975,15.0,5.646666666666666,5.0,0.0353125,33.0,0.2,2,0.0,0.0,0.0055249999999999,5,33.0
2024-01-23,6.157500000000001,26.0,9.793333333333337,9.0,0.0289375,27.0,0.2,2,0.0001,0.0,0.00675,6,27.0
2024-01-24,11.47,48.0,13.366666666666667,12.0,0.0263749999999999,24.0,0.2,2,0.0002,0.0,0.0049333333333333,5,48.0
2024-01-25,7.59,32.0,12.186666666666667,11.0,0.0245729166666666,23.0,0.2,2,0.0001,0.0,0.0032,3,32.0
2024-01-26,10.2575,43.0,23.6,22.0,0.0300208333333333,28.0,0.2,2,0.0002,0.0,0.00795,8,43.0
2024-01-27,16.2,60.0,25.766666666666666,24.0,0.02990625,28.0,0.2,2,0.0002,0.0,0.007475,7,60.0
2024-01-28,22.2,72.0,27.96666666666667,26.0,0.02478125,23.0,0.2,2,0.0003,0.0,0.00755,7,72.0
2024-01-29,22.775,73.0,40.06666666666667,37.0,0.0294062499999999,27.0,0.2,2,0.0007,1.0,0.0104,10,73.0
2024-01-30,16.65,61.0,38.03333333333333,35.0,0.0309166666666666,29.0,0.2,2,0.0005,1.0,0.008225,8,61.0
2024-01-31,8.815,37.0,26.133333333333336,24.0,0.03209375,30.0,0.25,3,0.0003,0.0,0.01565,15,37.0
2024-02-01,3.025,13.0,3.4599999999999995,3.0,0.03534375,33.0,0.2,2,0.0,0.0,0.004575,4,33.0
2024-02-02,4.9975000000000005,21.0,7.03,7.0,0.03621875,34.0,0.2,2,0.0001,0.0,0.007875,7,34.0
2024-02-03,7.657500000000001,32.0,12.303333333333333,11.0,0.0346354166666666,32.0,0.2,2,0.0001,0.0,0.0031999999999999,3,32.0
2024-02-04,2.4225,10.0,5.91,5.0,0.0329999999999999,31.0,0.2,2,0.0001,0.0,0.0033499999999999,3,31.0
2024-02-05,2.5,10.0,4.84,4.0,0.0340104166666666,31.0,0.2,2,0.0001,0.0,0.0130499999999999,12,31.0
2024-02-06,1.862,8.0,2.87,3.0,0.0348854166666666,32.0,0.25,3,0.0001,0.0,0.004575,4,32.0
2024-02-07,3.7425,16.0,8.33,8.0,0.03215625,30.0,0.2,2,0.0001,0.0,0.006775,6,30.0
2024-02-08,7.627499999999999,32.0,12.866666666666667,12.0,0.0307916666666666,29.0,0.2,2,0.0001,0.0,0.006,6,32.0
2024-02-09,8.6175,36.0,12.133333333333336,11.0,0.0267708333333332,25.0,0.2,2,0.0002,0.0,0.00625,6,36.0
2024-02-10,13.0375,53.0,18.0,17.0,0.03059375,28.0,0.2,2,0.0003,0.0,0.00445,4,53.0
2024-02-11,15.04,57.0,19.4,18.0,0.02703125,25.0,0.2,2,0.0004,1.0,0.004225,4,57.0
2024-02-12,17.5925,63.0,30.3,28.0,0.0331875,31.0,0.2,2,0.0005,1.0,0.008425,8,63.0
2024-02-13,15.355,58.0,28.1,26.0,0.0319895833333333,30.0,0.2,2,0.0004,1.0,0.004725,4,58.0
2024-02-14,14.05,55.0,28.7,27.0,0.0333437499999999,31.0,0.2,2,0.0006,1.0,0.0086,8,55.0
2024-02-15,5.635,23.0,9.9,9.0,0.0353541666666666,33.0,0.2,2,0.0001,0.0,0.00745,7,33.0
2024-02-16,14.35,56.0,23.566666666666663,22.0,0.0299687499999999,28.0,0.2,2,0.0003,0.0,0.00585,6,56.0
2024-02-17,9.56,40.0,12.866666666666667,12.0,0.028,26.0,0.25,3,0.0002,0.0,0.00855,8,40.0
2024-02-18,3.3275,14.0,3.773333333333333,3.0,0.03553125,33.0,0.15,2,0.0001,0.0,0.00245,2,33.0
2024-02-19,2.6075,11.0,4.89,5.0,0.038,35.0,0.2,2,0.0001,0.0,0.004675,4,35.0
2024-02-20,4.095,17.0,10.693333333333332,10.0,0.03490625,32.0,0.2,2,0.0002,0.0,0.006825,6,32.0
2024-02-21,3.615,15.0,5.863333333333333,5.0,0.03609375,33.0,0.2,2,0.0001,0.0,0.00455,4,33.0
2024-02-22,6.9,29.0,15.766666666666666,15.0,0.0369270833333333,34.0,0.2,2,0.0002,0.0,0.0069,7,34.0
2024-02-23,11.7575,49.0,27.9,26.0,0.0330208333333333,31.0,0.2,2,0.0003,0.0,0.005425,5,49.0
2024-02-24,16.325000000000003,60.0,25.933333333333334,24.0,0.02909375,27.0,0.25,3,0.0002,0.0,0.0062,6,60.0
2024-02-25,13.607500000000002,54.0,19.966666666666665,18.0,0.035875,33.0,0.2,2,0.0005,1.0,0.004575,4,54.0
2024-02-26,12.4925,52.0,27.933333333333334,26.0,0.0426249999999999,39.0,0.3,3,0.0003,0.0,0.0134333333333333,13,52.0
2024-02-27,5.08,21.0,13.566666666666668,13.0,0.03140625,29.0,0.2,2,0.0002,0.0,0.0072,7,29.0
2024-02-28,11.8875,50.0,30.933333333333334,29.0,0.033875,31.0,0.2,2,0.0006,1.0,0.007625,7,50.0
2024-02-29,8.205,34.0,24.2,22.0,0.0390312499999999,36.0,0.15,2,0.0001,0.0,0.004325,4,36.0
2024-03-01,2.425,10.0,5.863333333333333,5.0,0.03365625,31.0,0.2,2,0.0001,0.0,0.00515,5,31.0
2024-03-02,1.0844999999999998,5.0,3.486666666666667,3.0,0.035375,33.0,0.2,2,0.0001,0.0,0.00245,2,33.0
2024-03-03,1.96775,8.0,3.1466666666666665,3.0,0.0378124999999999,35.0,0.2,2,0.0001,0.0,0.0034249999999999,3,35.0
2024-03-04,2.865,12.0,7.463333333333334,7.0,0.0396249999999999,37.0,0.2,2,0.0001,0.0,0.00445,4,37.0
2024-03-05,7.5875,32.0,16.733333333333334,15.0,0.0412187499999999,38.0,0.2,2,0.0004,1.0,0.007975,8,38.0
2024-03-06,5.2675,22.0,12.466666666666669,12.0,0.0383125,35.0,0.2,2,0.0001,0.0,0.0023333333333333,2,35.0
2024-03-07,5.08,21.0,12.866666666666664,12.0,0.0347187499999999,32.0,0.2,2,0.0001,0.0,0.005075,5,32.0
2024-03-08,6.2325,26.0,22.066666666666663,20.0,0.02928125,27.0,0.2,2,0.0002,0.0,0.006625,6,27.0
2024-03-09,7.74,32.0,15.800000000000002,15.0,0.0344375,32.0,0.2,2,0.0003,0.0,0.0044,4,32.0
2024-03-10,8.0225,33.0,14.1,13.0,0.0381874999999999,35.0,0.2,2,0.0003,0.0,0.004225,4,35.0
2024-03-11,4.135,17.0,16.933333333333334,16.0,0.0374687499999999,35.0,0.2,2,0.0001,0.0,0.0069,7,35.0
2024-03-12,3.1225,13.0,6.93,6.0,0.0413124999999999,38.0,0.2,2,0.0001,0.0,0.0042,4,38.0
2024-03-13,4.3075,18.0,15.093333333333334,14.0,0.03621875,34.0,0.2,2,0.0001,0.0,0.003825,4,34.0
2024-03-14,6.0375,25.0,24.23333333333333,22.0,0.0340625,32.0,0.2,2,0.0002,0.0,0.00605,6,32.0
