datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,241.5,291.0,476.0,358.0,,,,,,,,,358.0
2024-01-02,174.0,224.0,350.0,198.0,,,,,,,,,224.0
2024-01-03,214.0,264.0,426.0,302.0,,,,,,,,,302.0
2024-01-04,244.5,294.0,511.0,397.0,,,,,,,,,397.0
2024-01-05,276.0,321.0,592.0,487.0,,,,,,,,,487.0
2024-01-06,224.0,274.0,455.0,334.0,,,,,,,,,334.0
2024-01-07,260.5,309.0,482.0,364.0,,,,,,,,,364.0
2024-01-08,257.5,307.0,506.0,391.0,,,,,,,,,391.0
2024-01-09,238.0,288.0,480.0,362.0,,,,,,,,,362.0
2024-01-10,276.0,321.0,528.0,416.0,,,,,,,,,416.0
2024-01-11,245.5,295.0,527.0,414.0,,,,,,,,,414.0
2024-01-12,267.0,314.0,513.0,399.0,,,,,,,,,399.0
2024-01-13,220.0,270.0,453.0,332.0,,,,,,,,,332.0
2024-01-14,276.5,322.0,551.0,441.0,,,,,,,,,441.0
2024-01-15,264.5,312.0,528.0,416.0,,,,,,,,,416.0
2024-01-16,342.0,374.0,712.0,500.0,,,,,,,,,500.0
2024-01-17,281.0,325.0,644.0,500.0,,,,,,,,,500.0
2024-01-18,239.0,289.0,542.0,431.0,,,,,,,,,431.0
2024-01-19,229.0,279.0,449.0,328.0,,,,,,,,,328.0
2024-01-20,195.5,246.0,414.0,286.0,,,,,,,,,286.0
2024-01-21,193.5,244.0,379.0,235.0,,,,,,,,,244.0
2024-01-22,205.5,256.0,389.0,250.0,,,,,,,,,256.0
2024-01-23,275.5,321.0,585.0,479.0,,,,,,,,,479.0
2024-01-24,240.5,290.0,462.0,342.0,,,,,,,,,342.0
2024-01-25,148.35,199.0,472.0,353.0,,,,,,,,,353.0
2024-01-26,97.645,173.0,458.0,338.0,,,,,,,,,338.0
2024-01-27,101.5,175.0,458.0,338.0,,,,,,,,,338.0
2024-01-28,98.31,173.0,444.0,322.0,,,,,,,,,322.0
2024-01-29,151.0,201.0,325.0,186.0,,,,,,,,,201.0
2024-01-30,166.0,216.0,301.0,174.0,,,,,,,,,216.0
2024-01-31,125.25,187.0,194.0,120.0,,,,,,,,,187.0
2024-02-01,74.1,161.0,128.0,87.0,,,,,,,,,161.0
2024-02-02,100.95,174.0,185.0,116.0,,,,,,,,,174.0
2024-02-03,115.5,182.0,217.0,132.0,,,,,,,,,182.0
2024-02-04,151.0,201.0,293.0,170.0,,,,,,,,,201.0
2024-02-05,151.5,202.0,296.0,171.0,,,,,,,,,202.0
2024-02-06,134.5,192.0,264.0,155.0,,,,,,,,,192.0
2024-02-07,83.4,165.0,152.0,99.0,,,,,,,,,165.0
2024-02-08,101.2,175.0,163.0,105.0,,,,,,,,,175.0
2024-02-09,161.5,212.0,285.0,166.0,,,,,,,,,212.0
2024-02-10,192.5,243.0,317.0,182.0,,,,,,,,,243.0
2024-02-11,267.5,315.0,495.0,379.0,,,,,,,,,379.0
2024-02-12,236.0,286.0,474.0,355.0,,,,,,,,,355.0
2024-02-13,212.0,262.0,406.0,274.0,,,,,,,,,274.0
2024-02-14,148.0,199.0,243.0,145.0,,,,,,,,,199.0
2024-02-15,205.0,255.0,362.0,211.0,,,,,,,,,255.0
2024-02-16,178.0,228.0,324.0,185.0,,,,,,,,,228.0
2024-02-17,162.0,212.0,294.0,170.0,,,,,,,,,212.0
2024-02-18,144.1,197.0,164.0,105.0,,,,,,,,,197.0
2024-02-19,111.0,180.0,216.0,131.0,,,,,,,,,180.0
2024-02-20,110.0,179.0,221.0,134.0,,,,,,,,,179.0
2024-02-21,67.05,157.0,130.0,88.0,,,,,,,,,157.0
2024-02-22,75.95,162.0,100.0,73.0,,,,,,,,,162.0
2024-02-23,66.8,157.0,120.0,83.0,,,,,,,,,157.0
2024-02-24,80.0,164.0,152.0,99.0,,,,,,,,,164.0
2024-02-25,116.0,182.0,231.0,139.0,,,,,,,,,182.0
2024-02-26,50.0,137.0,89.8,68.0,,,,,,,,,137.0
2024-02-27,68.0,157.0,171.0,109.0,,,,,,,,,157.0
2024-02-28,110.0,179.0,205.0,126.0,,,,,,,,,179.0
2024-02-29,83.8,166.0,157.0,102.0,,,,,,,,,166.0
2024-03-01,47.5,131.0,90.3,68.0,,,,,,,,,131.0
2024-03-02,27.4,83.0,58.3,53.0,,,,,,,,,83.0
2024-03-03,65.95,156.0,103.0,75.0,,,,,,,,,156.0
2024-03-04,96.25,172.0,162.0,104.0,,,,,,,,,172.0
2024-03-05,82.0,165.0,131.0,89.0,,,,,,,,,165.0
2024-03-06,96.75,172.0,143.0,95.0,,,,,,,,,172.0
2024-03-07,95.8,172.0,158.0,102.0,,,,,,,,,172.0
2024-03-08,96.85,172.0,142.0,94.0,,,,,,,,,172.0
2024-03-09,111.4,180.0,170.0,108.0,,,,,,,,,180.0
2024-03-10,134.5,192.0,200.0,123.0,,,,,,,,,192.0
2024-03-11,112.05,180.0,183.0,115.0,,,,,,,,,180.0
2024-03-12,116.0,182.0,197.0,122.0,,,,,,,,,182.0
2024-03-13,50.95,139.0,82.5,65.0,,,,,,,,,139.0
2024-03-14,44.3,123.0,59.4,53.0,,,,,,,,,123.0
2024-03-15,88.75,168.0,119.0,83.0,,,,,,,,,168.0
2024-03-16,121.0,185.0,185.0,116.0,,,,,,,,,185.0
2024-03-17,99.2,174.0,153.0,100.0,,,,,,,,,174.0
2024-03-18,117.9,183.0,164.0,105.0,,,,,,,,,183.0
2024-03-19,91.3,169.0,144.0,95.0,,,,,,,,,169.0
2024-03-20,82.65,165.0,124.0,85.0,,,,,,,,,165.0
2024-03-21,86.9,167.0,127.0,87.0,,,,,,,,,167.0
2024-03-22,51.400000000000006,140.0,112.0,79.0,,,,,,,,,140.0
2024-03-23,26.09,80.0,81.2,64.0,,,,,,,,,80.0
2024-03-24,67.6,157.0,102.0,74.0,,,,,,,,,157.0
2024-03-25,87.1,167.0,158.0,102.0,,,,,,,,,167.0
2024-03-26,119.1,184.0,174.0,110.0,,,,,,,,,184.0
2024-03-27,29.15,87.0,70.3,59.0,,,,,,,,,87.0
2024-03-28,6.550000000000001,27.0,77.0,62.0,,,,,,,,,62.0
2024-03-29,31.75,92.0,44.5,41.0,,,,,,,,,92.0
2024-03-30,32.5,94.0,48.9,45.0,,,,,,,,,94.0
2024-03-31,2.75,11.0,59.3,53.0,,,,,,,,,53.0
2024-04-01,66.75,157.0,87.1,67.0,,,,,,,,,157.0
2024-04-02,59.2,153.0,77.8,62.0,,,,,,,,,153.0
2024-04-03,55.85,151.0,78.2,62.0,,,,,,,,,151.0
2024-04-04,-11.0,,67.7,57.0,,,,,,,,,57.0
2024-04-05,-470.75,,103.0,75.0,,,,,,,,,75.0
2024-04-06,-474.65,,85.6,66.0,,,,,,,,,66.0
2024-04-07,-468.05,,114.0,80.0,,,,,,,,,80.0
2024-04-08,4.900000000000002,20.0,99.4,73.0,,,,,,,,,73.0
2024-04-09,-128.3,,107.0,77.0,,,,,,,,,77.0
2024-04-10,-214.85,,26.9,25.0,,,,,,,,,25.0
2024-04-11,-228.8,,45.4,42.0,,,,,,,,,42.0
2024-04-12,-155.9,,58.1,53.0,,,,,,,,,53.0
2024-04-13,-150.45,,70.7,59.0,,,,,,,,,59.0
2024-04-14,-168.15,,77.1,62.0,,,,,,,,,62.0
2024-04-15,-485.2,,53.3,49.0,,,,,,,,,49.0
2024-04-16,-482.0,,60.0,53.0,,,,,,,,,53.0
2024-04-17,-479.6,,69.3,58.0,,,,,,,,,58.0
2024-04-18,-488.45,,47.2,44.0,,,,,,,,,44.0
2024-04-19,-485.75,,52.4,49.0,,,,,,,,,49.0
2024-04-20,-484.6,,56.8,52.0,,,,,,,,,52.0
2024-04-21,-486.4,,47.1,44.0,,,,,,,,,44.0
2024-04-22,-486.9,,45.1,42.0,,,,,,,,,42.0
2024-04-23,-479.75,,71.9,59.0,,,,,,,,,59.0
2024-04-24,-636.0,,,,,,,,,,,,
2024-04-25,-236.7,,,,,,,,,,,,
