datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,25.85,80.0,21.3,20.0,0.0317083333333332,29.0,0.2,2.0,0.0,0.0,0.0071,7,80.0
2024-01-02,14.85,57.0,22.1,20.0,0.0357499999999999,33.0,0.3,3.0,0.0004,1.0,0.014375,14,57.0
2024-01-03,9.715,40.0,12.5,12.0,0.0318124999999999,29.0,0.15,2.0,0.0,0.0,0.007875,7,40.0
2024-01-04,7.805,33.0,11.4,11.0,0.0346874999999999,32.0,0.25,3.0,0.0,0.0,0.013125,12,33.0
2024-01-05,11.5,48.0,19.8,18.0,0.0243749999999999,23.0,0.35,4.0,0.0002,0.0,0.0196749999999999,19,48.0
2024-01-06,13.5,54.0,18.2,17.0,0.0245416666666666,23.0,0.25,3.0,0.0005,1.0,0.01015,10,54.0
2024-01-07,3.23,13.0,7.33,7.0,0.0364166666666666,34.0,0.1,1.0,0.0,0.0,0.003225,3,34.0
2024-01-08,6.875,29.0,15.7,15.0,0.0357916666666666,33.0,0.2,2.0,0.0001,0.0,0.01325,12,33.0
2024-01-09,11.91,50.0,20.5,19.0,0.0294166666666666,27.0,0.35,4.0,0.0007,1.0,0.0217,20,50.0
2024-01-10,14.05,55.0,25.6,24.0,0.0251249999999999,23.0,0.25,3.0,0.0001,0.0,0.0118,11,55.0
2024-01-11,6.265000000000001,26.0,14.1,13.0,0.0387499999999999,36.0,0.2,2.0,0.0,0.0,0.007525,7,36.0
2024-01-12,11.45,48.0,20.3,19.0,0.0387083333333332,36.0,0.25,3.0,0.0002,0.0,0.0111,10,48.0
2024-01-13,19.3,66.0,25.6,24.0,0.0311666666666666,29.0,0.25,3.0,0.0002,0.0,0.011925,11,66.0
2024-01-14,20.6,69.0,26.0,24.0,0.0345416666666666,32.0,0.3,3.0,0.0003,0.0,0.011025,10,69.0
2024-01-15,24.5,77.0,32.2,30.0,0.0393958333333333,36.0,0.35,4.0,0.0002,0.0,0.017175,16,77.0
2024-01-16,24.75,78.0,31.3,29.0,0.0389583333333333,36.0,0.3,3.0,0.0001,0.0,0.014575,14,78.0
2024-01-17,22.55,73.0,33.1,31.0,0.0347916666666666,32.0,0.3,3.0,0.0,0.0,0.01515,14,73.0
2024-01-18,17.450000000000003,62.0,27.8,26.0,0.0259999999999999,24.0,0.3,3.0,0.0001,0.0,0.0142,13,62.0
2024-01-19,18.450000000000003,64.0,28.7,27.0,0.0312499999999999,29.0,0.45,5.0,0.0003,0.0,0.0271749999999999,26,64.0
2024-01-20,12.8,52.0,16.7,15.0,0.0270416666666666,25.0,0.35,4.0,0.0,0.0,0.0157,15,52.0
2024-01-21,7.285,30.0,7.96,7.0,0.0275416666666666,26.0,0.15,2.0,0.0001,0.0,0.0042,4,30.0
2024-01-22,4.965,21.0,4.63,4.0,0.0321666666666666,30.0,0.2,2.0,-0.0001,,0.0146,14,30.0
2024-01-23,9.14,38.0,14.6,14.0,0.0279583333333332,26.0,0.15,2.0,0.0,0.0,0.009425,9,38.0
2024-01-24,9.235,38.0,20.6,19.0,0.0285416666666666,26.0,0.2,2.0,0.0,0.0,0.0138,13,38.0
2024-01-25,7.435,31.0,12.1,11.0,0.0271249999999999,25.0,0.15,2.0,0.0,0.0,0.007725,7,31.0
2024-01-26,12.25,51.0,17.7,16.0,0.0310416666666666,29.0,0.3,3.0,0.0,0.0,0.01245,12,51.0
2024-01-27,12.55,52.0,19.2,18.0,0.0308333333333333,29.0,0.3,3.0,0.0002,0.0,0.016325,15,52.0
2024-01-28,13.66,54.0,16.8,16.0,0.0361249999999999,33.0,0.2,2.0,0.0004,1.0,0.0107,10,54.0
2024-01-29,10.614999999999998,44.0,18.0,17.0,0.0378749999999999,35.0,0.3,3.0,0.0002,0.0,0.0142,13,44.0
