datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,106.15,177.0,114.84285714285714,81.0,0.0223749999999999,21.0,0.3333333333333333,4,,,0.0225,21,177.0
2024-01-02,19.1,66.0,36.71428571428572,34.0,0.0273749999999999,25.0,0.2333333333333333,3,,,0.0144999999999999,14,66.0
2024-01-03,11.95,50.0,32.114285714285714,30.0,0.0299999999999999,28.0,0.3333333333333333,4,,,0.0235,22,50.0
2024-01-04,4.6975,20.0,8.968571428571428,8.0,0.0344999999999999,32.0,0.1999999999999999,2,,,0.0065,6,32.0
2024-01-05,11.9375,50.0,25.142857142857142,23.0,0.0361874999999999,34.0,0.2333333333333333,3,,,0.0125,12,50.0
2024-01-06,17.9,63.0,26.27142857142857,24.0,0.0260416666666666,24.0,0.2333333333333333,3,,,0.0105,10,63.0
2024-01-07,6.1625,26.0,10.698571428571428,10.0,0.0347083333333333,32.0,0.1999999999999999,2,,,0.0055,5,32.0
2024-01-08,8.807500000000001,37.0,16.87142857142857,16.0,0.0363333333333333,34.0,0.2,2,,,0.012,11,37.0
2024-01-09,14.125,55.0,28.285714285714285,26.0,0.0320499999999999,30.0,0.2333333333333333,3,,,0.0205,19,55.0
2024-01-10,16.225,60.0,32.84285714285714,30.0,0.0247583333333333,23.0,0.2333333333333333,3,,,0.019,18,60.0
2024-01-11,8.8125,37.0,38.98571428571428,36.0,0.0329166666666666,30.0,0.1666666666666666,2,,,0.0075,7,37.0
2024-01-12,11.6975,49.0,41.4,38.0,0.0384999999999999,36.0,0.1666666666666666,2,,,0.0175,17,49.0
2024-01-13,18.2975,64.0,27.642857142857142,26.0,0.0317499999999999,29.0,0.2333333333333333,3,,,0.0204999999999999,19,64.0
2024-01-14,21.675,71.0,31.2,29.0,0.0343124999999999,32.0,0.1666666666666666,2,,,0.0115,11,71.0
2024-01-15,21.25,70.0,43.42857142857143,40.0,0.0373124999999999,35.0,0.2666666666666666,3,,,0.0255,24,70.0
2024-01-16,19.825,67.0,44.142857142857146,41.0,0.0349374999999999,32.0,0.3,3,,,0.0185,17,67.0
2024-01-17,14.1225,55.0,42.01428571428572,39.0,0.0343749999999999,32.0,0.3333333333333333,4,,,0.0285,27,55.0
2024-01-18,11.4475,48.0,39.2,36.0,0.0328333333333333,30.0,0.2,2,,,0.0195,18,48.0
2024-01-19,12.91,53.0,39.71428571428572,37.0,0.0355416666666666,33.0,0.3666666666666667,4,,,0.0235,22,53.0
2024-01-20,17.575,63.0,41.17142857142857,38.0,0.0272499999999999,25.0,0.4666666666666666,5,,,0.0295,28,63.0
2024-01-21,11.2775,47.0,15.12,14.0,0.0206041666666666,19.0,0.3333333333333333,4,,,0.019,18,47.0
2024-01-22,13.017499999999998,53.0,13.635714285714286,13.0,0.0242499999999999,22.0,0.2666666666666666,3,,,0.009,8,53.0
2024-01-23,3.5725,15.0,4.35,4.0,0.0321041666666666,30.0,0.3333333333333333,4,,,0.016,15,30.0
2024-01-24,11.85,49.0,16.571428571428573,15.0,0.0318958333333333,30.0,0.3,3,,,0.012,11,49.0
2024-01-25,12.85,53.0,20.928571428571427,19.0,0.0262083333333332,24.0,0.2666666666666666,3,,,0.009,8,53.0
2024-01-26,9.4325,39.0,21.77142857142857,20.0,0.0299166666666666,28.0,0.2666666666666666,3,,,0.008,8,39.0
2024-01-27,11.2775,47.0,19.895714285714288,18.0,0.0338749999999999,31.0,0.2666666666666666,3,,,0.01,9,47.0
2024-01-28,5.1425,21.0,12.891428571428571,12.0,0.0409374999999999,38.0,0.3333333333333333,4,,,0.0125,12,38.0
2024-01-29,10.7175,45.0,33.885714285714286,31.0,0.0414791666666666,38.0,0.2666666666666666,3,,,0.015,14,45.0
2024-01-30,9.545,40.0,36.91428571428571,34.0,0.0383333333333333,35.0,0.3333333333333333,4,,,0.012,11,40.0
2024-01-31,8.8925,37.0,31.1,29.0,0.0383124999999999,35.0,0.2333333333333333,3,,,0.013,12,37.0
2024-02-01,3.9,16.0,40.885714285714286,38.0,0.0365833333333332,34.0,0.1333333333333333,2,,,0.006,6,38.0
2024-02-02,2.4975,10.0,7.217142857142858,7.0,0.0426041666666666,39.0,0.1666666666666666,2,,,0.0055,5,39.0
2024-02-03,6.48,27.0,16.114285714285714,15.0,0.0441249999999999,41.0,0.1333333333333333,2,,,0.0069999999999999,7,41.0
2024-02-04,8.435,35.0,13.691428571428572,13.0,0.0433541666666666,40.0,0.2333333333333333,3,,,0.013,12,40.0
2024-02-05,7.4925,31.0,19.045714285714286,18.0,0.0438333333333332,41.0,0.1333333333333333,2,,,0.021,20,41.0
2024-02-06,4.245,18.0,16.36,15.0,0.0337708333333333,31.0,0.1,1,,,0.0155,15,31.0
2024-02-07,2.3775,10.0,5.171428571428572,5.0,0.0376749999999999,35.0,0.0666666666666666,1,,,0.0085,8,35.0
2024-02-08,2.27325,9.0,6.2700000000000005,6.0,0.0388541666666666,36.0,0.1,1,,,0.011,10,36.0
2024-02-09,6.445,27.0,13.065714285714288,12.0,0.0398749999999999,37.0,0.1,1,,,0.016,15,37.0
2024-02-10,3.9125,16.0,5.38,5.0,0.0424583333333332,39.0,0.1,1,,,0.0075,7,39.0
2024-02-11,7.9125,33.0,10.024285714285714,9.0,0.0429999999999999,40.0,0.0666666666666666,1,,,0.011,10,40.0
2024-02-12,12.3775,52.0,22.457142857142856,21.0,0.0381666666666666,35.0,0.1,1,,,0.0155,15,52.0
2024-02-13,9.515,40.0,25.6,24.0,0.0372291666666666,34.0,0.1,1,,,0.0125,12,40.0
2024-02-14,11.0275,46.0,26.47142857142857,25.0,0.0402916666666666,37.0,0.1333333333333333,2,,,0.013,12,46.0
2024-02-15,11.375,47.0,28.228571428571428,26.0,0.0446249999999999,41.0,0.1,1,,,0.014,13,47.0
2024-02-16,11.41,48.0,31.87142857142857,30.0,0.0418166666666666,39.0,0.1,1,,,0.014,13,48.0
2024-02-17,13.075,53.0,27.457142857142856,25.0,0.0462291666666666,43.0,0.1,1,,,0.0135,13,53.0
2024-02-18,13.725,54.0,23.81428571428572,22.0,0.0501874999999999,46.0,0.1,1,,,0.011,10,54.0
2024-02-19,9.1775,38.0,26.82857142857143,25.0,0.0519999999999999,48.0,0.1,1,,,0.0135,13,48.0
2024-02-20,7.5425,31.0,27.242857142857144,25.0,0.0433333333333332,40.0,0.0666666666666666,1,,,0.0075,7,40.0
2024-02-21,6.36,27.0,26.957142857142856,25.0,0.0415833333333333,39.0,0.1,1,,,0.006,6,39.0
2024-02-22,6.8725,29.0,23.12857142857143,21.0,0.0382916666666666,35.0,0.1333333333333333,2,,,0.011,10,35.0
2024-02-23,6.505,27.0,25.957142857142856,24.0,0.0433958333333332,40.0,0.0666666666666666,1,,,0.009,8,40.0
2024-02-24,9.4675,39.0,27.67142857142857,26.0,0.0399583333333333,37.0,0.1333333333333333,2,,,0.018,17,39.0
