datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,25.316666666666663,79.0,,,0.0208124999999999,19.0,0.35,4.0,,,0.0084,8.0,79.0
2024-01-02,5.452500000000001,23.0,,,0.02575,24.0,0.35,4.0,,,0.0055,5.0,24.0
2024-01-03,1.996,8.0,,,0.03375,31.0,0.35,4.0,,,0.0060999999999999,6.0,31.0
2024-01-04,5.45775,23.0,,,0.0325624999999999,30.0,0.25,3.0,,,0.01015,10.0,30.0
2024-01-05,7.44475,31.0,,,0.0263749999999999,24.0,0.3,3.0,,,0.01235,12.0,31.0
2024-01-06,6.11425,25.0,,,0.02325,22.0,0.3,3.0,,,0.01125,11.0,25.0
2024-01-07,6.699949999999999,28.0,,,0.0284999999999999,26.0,0.25,3.0,,,0.0066999999999999,6.0,28.0
2024-01-08,7.0165,29.0,,,0.029375,27.0,0.25,3.0,,,0.00885,8.0,29.0
2024-01-09,4.58025,19.0,,,0.024,22.0,0.3,3.0,,,0.0118,11.0,22.0
2024-01-10,5.179,22.0,,,0.0255625,24.0,0.4,5.0,,,0.0152,14.0,24.0
2024-01-11,3.9755825,17.0,,,0.0322499999999999,30.0,0.3,3.0,,,0.01165,11.0,30.0
2024-01-12,6.15,26.0,,,0.0295625,27.0,0.3,3.0,,,0.00935,9.0,27.0
2024-01-13,3.83775,16.0,,,0.031125,29.0,0.25,3.0,,,0.00625,6.0,29.0
2024-01-14,2.87425,12.0,,,0.0321875,30.0,0.3,3.0,,,0.00765,7.0,30.0
2024-01-15,14.4325,56.0,,,0.0349999999999999,32.0,0.4,5.0,,,0.01575,15.0,56.0
2024-01-16,13.4375,54.0,,,0.019,18.0,0.7,8.0,,,0.02685,25.0,54.0
2024-01-17,4.875,20.0,,,0.0253749999999999,23.0,0.5,6.0,,,0.0159,15.0,23.0
2024-01-18,9.71025,40.0,,,0.02725,25.0,0.7,8.0,,,0.02325,22.0,40.0
2024-01-19,6.5325,27.0,,,0.0166249999999999,15.0,0.5,6.0,,,0.01525,14.0,27.0
2024-01-20,1.46175,6.0,,,0.0291249999999999,27.0,0.5,6.0,,,0.0098999999999999,9.0,27.0
2024-01-21,0.48225,2.0,,,0.0335,31.0,0.4,5.0,,,0.00475,4.0,31.0
2024-01-22,1.827375,8.0,,,0.0314999999999999,29.0,0.3,3.0,,,0.00945,9.0,29.0
2024-01-23,2.2747,9.0,,,0.029375,27.0,0.1,1.0,,,0.00795,8.0,27.0
2024-01-24,3.1425,13.0,,,0.032375,30.0,0.2,2.0,,,0.00505,5.0,30.0
2024-01-25,6.19,26.0,,,0.0289999999999999,27.0,0.2,2.0,,,0.00865,8.0,27.0
2024-01-26,7.2265,30.0,,,0.034125,32.0,0.5,6.0,,,0.0183,17.0,32.0
2024-01-27,10.40128,43.0,,,,,,,,,,,43.0
2024-01-28,15.0627,57.0,,,,,,,,,,,57.0
2024-01-29,12.01,,,,,,,,,,,,
2024-01-30,32.565,94.0,,,,,,,,,,,94.0
2024-01-31,2.79,12.0,,,,,,,,,,,12.0
2024-02-01,3.58,15.0,,,,,,,,,,,15.0
2024-02-02,6.97,29.0,,,,,,,,,,,29.0
2024-02-03,1.84,8.0,,,,,,,,,,,8.0
