datetime,pm25,pm25_aqi,pm10,pm10_aqi,o3,o3_aqi,co,co_aqi,so2,so2_aqi,no2,no2_aqi,overall_aqi
2024-01-01,21.5,71.0,18.7,17.0,0.0115,11.0,,,,,0.004,4.0,71.0
2024-01-02,15.6,58.0,16.2,15.0,0.0161249999999999,15.0,,,,,0.0037,3.0,58.0
2024-01-03,7.625,32.0,9.48,9.0,0.0279999999999999,26.0,,,,,0.0057,5.0,32.0
2024-01-04,12.05,,15.8,15.0,0.0319375,30.0,,,,,0.0032,3.0,30.0
2024-01-05,15.75,59.0,24.4,23.0,0.023625,22.0,,,,,0.0039,4.0,59.0
2024-01-06,20.0,68.0,24.3,22.0,0.0245624999999999,23.0,,,,,0.0052,5.0,68.0
2024-01-07,8.57,36.0,10.4,10.0,0.0268125,25.0,,,,,0.0026,2.0,36.0
2024-01-08,11.7,49.0,20.3,19.0,0.0275,25.0,,,,,0.0033,3.0,49.0
2024-01-09,15.8,59.0,30.0,28.0,0.0244374999999999,23.0,,,,,0.0046,4.0,59.0
2024-01-10,11.95,50.0,22.0,20.0,0.026375,24.0,,,,,0.0037,3.0,50.0
2024-01-11,6.345000000000001,26.0,12.5,12.0,0.030375,28.0,,,,,0.004,4.0,28.0
2024-01-12,13.25,53.0,23.5,22.0,0.0305,28.0,,,,,0.0064,6.0,53.0
2024-01-13,21.3,70.0,28.4,26.0,0.0238749999999999,22.0,,,,,0.0043,4.0,70.0
2024-01-14,20.75,69.0,28.8,27.0,0.021625,20.0,,,,,0.0032,3.0,69.0
2024-01-15,12.3,51.0,13.9,13.0,0.0265624999999999,25.0,,,,,0.0081,8.0,51.0
2024-01-16,11.32,47.0,15.7,15.0,0.0118124999999999,11.0,,,,,0.0065,6.0,47.0
2024-01-17,18.2,64.0,22.8,21.0,0.015,14.0,,,,,0.0048,5.0,64.0
2024-01-18,15.3,58.0,18.8,17.0,0.0198125,18.0,,,,,0.0069,7.0,58.0
2024-01-19,22.8,74.0,31.0,29.0,0.0169375,16.0,,,,,0.008,8.0,74.0
2024-01-20,10.375,43.0,14.3,13.0,0.0203749999999999,19.0,,,,,0.0044,4.0,43.0
2024-01-21,3.005,13.0,6.0,6.0,0.0273125,25.0,,,,,0.0028,3.0,25.0
2024-01-22,3.45,14.0,6.35,6.0,0.02975,28.0,,,,,0.0037,3.0,28.0
2024-01-23,6.1,25.0,9.27,9.0,0.024375,23.0,,,,,0.0029,3.0,25.0
2024-01-24,8.73,36.0,11.9,11.0,0.0254999999999999,24.0,,,,,0.0041,4.0,36.0
2024-01-25,6.41,27.0,11.8,11.0,0.0239374999999999,22.0,,,,,0.0034,3.0,27.0
2024-01-26,9.725,41.0,19.0,18.0,0.0282499999999999,26.0,,,,,0.004,4.0,41.0
2024-01-27,17.950000000000003,63.0,25.7,24.0,0.0294375,27.0,,,,,0.005,5.0,63.0
2024-01-28,25.200000000000003,79.0,29.7,28.0,0.0310625,29.0,,,,,0.0035,3.0,79.0
2024-01-29,24.35,77.0,34.9,32.0,0.0285624999999999,26.0,,,,,0.004,4.0,77.0
2024-01-30,19.2,66.0,42.6,39.0,0.0277499999999999,26.0,,,,,0.0044,4.0,66.0
2024-01-31,10.45,44.0,29.3,27.0,0.0283125,26.0,,,,,0.0089,8.0,44.0
2024-02-01,1.805,8.0,5.85,5.0,0.034375,32.0,,,,,0.0027,3.0,32.0
2024-02-02,4.890000000000001,20.0,8.96,8.0,0.033875,31.0,,,,,0.0035,3.0,31.0
2024-02-03,6.11,25.0,11.2,10.0,0.0355625,33.0,,,,,0.0026,2.0,33.0
2024-02-04,2.43,10.0,13.6,13.0,0.0342499999999999,32.0,,,,,0.0013,1.0,32.0
2024-02-05,1.2065,5.0,5.04,5.0,0.0329375,30.0,,,,,0.0057,5.0,30.0
2024-02-06,1.795,7.0,5.64,5.0,0.0348124999999999,32.0,,,,,0.0034,3.0,32.0
2024-02-07,2.365,10.0,8.13,8.0,0.0336875,31.0,,,,,0.0018,2.0,31.0
2024-02-08,5.9,25.0,11.6,11.0,0.0308124999999999,29.0,,,,,0.0031,3.0,29.0
2024-02-09,9.815,41.0,18.3,17.0,0.031,29.0,,,,,0.0028,3.0,41.0
2024-02-10,10.45,44.0,16.0,15.0,0.0313125,29.0,,,,,0.0015,1.0,44.0
2024-02-11,12.235,51.0,20.5,19.0,0.0285625,26.0,,,,,0.0019,2.0,51.0
2024-02-12,12.8,52.0,27.3,25.0,0.0346249999999999,32.0,,,,,0.0031,3.0,52.0
2024-02-13,16.7,61.0,32.0,30.0,0.0343124999999999,32.0,,,,,0.0038,4.0,61.0
2024-02-14,15.2,58.0,26.0,24.0,0.0340625,32.0,,,,,0.0032,3.0,58.0
2024-02-15,4.8,20.0,12.3,11.0,0.03025,28.0,,,,,0.0029,3.0,28.0
2024-02-16,14.0,55.0,22.7,21.0,0.03,28.0,,,,,0.0033,3.0,55.0
2024-02-17,10.065,42.0,20.2,19.0,0.0273125,25.0,,,,,0.0037,3.0,42.0
2024-02-18,3.47,14.0,9.26,9.0,0.0306249999999999,28.0,,,,,0.0006,1.0,28.0
2024-02-19,2.435,10.0,9.09,8.0,0.0361874999999999,34.0,,,,,0.0015,1.0,34.0
2024-02-20,2.875,12.0,13.7,13.0,0.035,32.0,,,,,0.0014,1.0,32.0
2024-02-21,2.78,12.0,8.65,8.0,0.0368749999999999,34.0,,,,,0.0023,2.0,34.0
2024-02-22,7.715,32.0,16.7,15.0,0.0369375,34.0,,,,,0.0036,3.0,34.0
2024-02-23,13.05,53.0,23.8,22.0,0.031875,30.0,,,,,0.0042,4.0,53.0
2024-02-24,19.5,67.0,29.7,28.0,0.0290625,27.0,,,,,0.003,3.0,67.0
2024-02-25,17.5,62.0,26.6,25.0,0.0362499999999999,34.0,,,,,0.0025,2.0,62.0
2024-02-26,12.78,52.0,23.0,21.0,0.0403749999999999,37.0,,,,,0.0101,10.0,52.0
2024-02-27,6.105,25.0,14.7,14.0,0.0323125,30.0,,,,,0.0022,2.0,30.0
2024-02-28,11.0,46.0,26.1,24.0,0.035,32.0,,,,,0.0048,5.0,46.0
2024-02-29,7.33,31.0,20.5,19.0,0.0388124999999999,36.0,,,,,0.0016,2.0,36.0
2024-03-01,1.39,6.0,7.65,7.0,0.0350624999999999,32.0,,,,,0.0017,2.0,32.0
2024-03-02,1.305,5.0,5.17,5.0,0.0341249999999999,32.0,,,,,0.0017,2.0,32.0
2024-03-03,1.4700000000000002,6.0,6.61,6.0,0.037875,35.0,,,,,0.0025,2.0,35.0
2024-03-04,2.67,11.0,8.65,8.0,0.039125,36.0,,,,,0.0022,2.0,36.0
2024-03-05,7.81,33.0,20.4,19.0,0.0428124999999999,40.0,,,,,0.0025,2.0,40.0
2024-03-06,5.325,22.0,15.3,14.0,0.0400624999999999,37.0,,,,,,,37.0
2024-03-07,4.895,20.0,12.0,11.0,0.0319374999999999,30.0,,,,,,,30.0
2024-03-08,6.525,27.0,19.9,18.0,0.0310624999999999,29.0,,,,,,,29.0
2024-03-09,10.48,44.0,22.8,21.0,0.0369999999999999,34.0,,,,,,,44.0
2024-03-10,9.12,38.0,13.9,13.0,0.0408749999999999,38.0,,,,,,,38.0
2024-03-11,5.05,21.0,16.9,16.0,0.0373749999999999,35.0,,,,,,,35.0
2024-03-12,3.675,15.0,9.48,9.0,0.0414999999999999,38.0,,,,,,,38.0
2024-03-13,5.08,21.0,16.9,16.0,0.0370625,34.0,,,,,,,34.0
2024-03-14,6.37,27.0,20.7,19.0,0.0346249999999999,32.0,,,,,,,32.0
2024-03-15,7.2,30.0,29.7,28.0,0.0409374999999999,38.0,,,,,,,38.0
2024-03-16,7.78,32.0,29.5,27.0,0.0393749999999999,36.0,,,,,,,36.0
2024-03-17,6.525,27.0,21.2,20.0,0.0448124999999999,41.0,,,,,,,41.0
2024-03-18,11.165,47.0,39.8,37.0,0.0459999999999999,43.0,,,,,,,47.0
2024-03-19,10.445,44.0,37.9,35.0,0.051625,48.0,,,,,,,48.0
2024-03-20,7.55,31.0,24.8,23.0,0.0444375,41.0,,,,,,,41.0
2024-03-21,7.23,30.0,23.3,22.0,0.0425,39.0,,,,,0.0039,4.0,39.0
2024-03-22,7.105,30.0,35.8,33.0,0.04775,44.0,,,,,0.001,1.0,44.0
2024-03-23,2.325,10.0,8.29,8.0,0.0468749999999999,43.0,,,,,0.0015,1.0,43.0
2024-03-24,2.515,10.0,9.42,9.0,0.0430624999999999,40.0,,,,,0.0024,2.0,40.0
2024-03-25,2.935,12.0,10.8,10.0,0.0383125,35.0,,,,,0.0022,2.0,35.0
2024-03-26,3.08,13.0,12.0,11.0,0.0415624999999999,38.0,,,,,0.0021,2.0,38.0
2024-03-27,5.96,25.0,25.2,23.0,0.0456874999999999,42.0,,,,,0.0016,2.0,42.0
2024-03-28,2.145,9.0,10.7,10.0,0.0478125,44.0,,,,,0.0024,2.0,44.0
2024-03-29,4.42,18.0,15.4,14.0,0.0421249999999999,39.0,,,,,0.0016,2.0,39.0
2024-03-30,1.179,5.0,6.33,6.0,0.044,41.0,,,,,0.0022,2.0,41.0
2024-03-31,1.83,8.0,6.17,6.0,0.0448125,41.0,,,,,0.0003,0.0,41.0
2024-04-01,4.27,18.0,12.4,11.0,0.0419999999999999,39.0,,,,,0.002,2.0,39.0
2024-04-02,7.565,32.0,24.1,22.0,0.044375,41.0,,,,,0.0027,3.0,41.0
2024-04-03,9.025,38.0,32.1,30.0,0.0508125,47.0,,,,,0.0016,2.0,47.0
2024-04-04,3.015,13.0,17.7,16.0,0.0535624999999999,50.0,,,,,0.002,2.0,50.0
