day,average,coverage,unit,parameter
2024-01-01,18.3,100.0,µg/m³,pm10
2024-01-02,27.6,100.0,µg/m³,pm10
2024-01-03,7.57,96.0,µg/m³,pm10
2024-01-04,9.08,100.0,µg/m³,pm10
2024-01-05,13.5,100.0,µg/m³,pm10
2024-01-06,15.9,100.0,µg/m³,pm10
2024-01-07,10.7,100.0,µg/m³,pm10
2024-01-08,11.2,100.0,µg/m³,pm10
2024-01-09,15.8,100.0,µg/m³,pm10
2024-01-10,28.3,100.0,µg/m³,pm10
2024-01-11,6.71,100.0,µg/m³,pm10
2024-01-12,13.7,100.0,µg/m³,pm10
2024-01-13,21.7,96.0,µg/m³,pm10
2024-01-14,17.5,100.0,µg/m³,pm10
2024-01-15,22.7,100.0,µg/m³,pm10
2024-01-16,30.9,100.0,µg/m³,pm10
2024-01-17,19.5,100.0,µg/m³,pm10
2024-01-18,17.9,96.0,µg/m³,pm10
2024-01-19,27.8,100.0,µg/m³,pm10
2024-01-20,28.1,100.0,µg/m³,pm10
2024-01-21,8.33,100.0,µg/m³,pm10
2024-01-22,3.25,100.0,µg/m³,pm10
2024-01-23,6.33,100.0,µg/m³,pm10
2024-01-24,11.7,100.0,µg/m³,pm10
2024-01-25,6.5,100.0,µg/m³,pm10
2024-01-26,20.5,96.0,µg/m³,pm10
2024-01-27,22.6,96.0,µg/m³,pm10
2024-01-28,33.6,100.0,µg/m³,pm10
2024-01-29,43.4,100.0,µg/m³,pm10
2024-01-30,32.2,100.0,µg/m³,pm10
2024-01-31,51.3,67.0,µg/m³,pm10
2024-02-01,3.08,50.0,µg/m³,pm10
2024-02-02,3.33,100.0,µg/m³,pm10
2024-02-03,5.87,96.0,µg/m³,pm10
2024-02-04,9.29,100.0,µg/m³,pm10
2024-02-05,6.26,96.0,µg/m³,pm10
2024-02-06,2.25,100.0,µg/m³,pm10
2024-02-07,4.46,100.0,µg/m³,pm10
2024-02-08,8.13,100.0,µg/m³,pm10
2024-02-09,13.8,96.0,µg/m³,pm10
2024-02-10,10.3,100.0,µg/m³,pm10
2024-02-11,8.87,96.0,µg/m³,pm10
2024-02-12,20.0,96.0,µg/m³,pm10
2024-02-13,30.7,100.0,µg/m³,pm10
2024-02-14,29.1,92.0,µg/m³,pm10
2024-02-15,2.96,96.0,µg/m³,pm10
2024-02-16,15.2,100.0,µg/m³,pm10
2024-02-17,10.3,100.0,µg/m³,pm10
2024-02-18,4.46,100.0,µg/m³,pm10
2024-02-19,3.25,100.0,µg/m³,pm10
2024-02-20,7.58,100.0,µg/m³,pm10
2024-02-21,8.78,96.0,µg/m³,pm10
2024-02-22,16.9,100.0,µg/m³,pm10
2024-02-23,21.4,96.0,µg/m³,pm10
2024-02-24,24.6,96.0,µg/m³,pm10
2024-02-25,32.3,100.0,µg/m³,pm10
2024-02-26,21.5,100.0,µg/m³,pm10
2024-02-27,19.8,96.0,µg/m³,pm10
2024-02-28,32.5,100.0,µg/m³,pm10
2024-02-29,26.4,100.0,µg/m³,pm10
2024-03-01,12.9,100.0,µg/m³,pm10
2024-03-02,5.46,100.0,µg/m³,pm10
2024-03-03,3.0,96.0,µg/m³,pm10
2024-03-04,10.8,96.0,µg/m³,pm10
2024-03-05,17.8,100.0,µg/m³,pm10
2024-03-06,13.3,96.0,µg/m³,pm10
2024-03-07,9.7,96.0,µg/m³,pm10
2024-03-08,13.7,96.0,µg/m³,pm10
2024-03-09,14.5,51.0,µg/m³,pm10
2024-03-10,14.5,96.0,µg/m³,pm10
2024-03-11,14.8,100.0,µg/m³,pm10
2024-03-12,20.7,100.0,µg/m³,pm10
2024-03-13,18.1,92.0,µg/m³,pm10
2024-03-14,28.3,96.0,µg/m³,pm10
2024-03-15,24.2,100.0,µg/m³,pm10
2024-03-16,19.8,100.0,µg/m³,pm10
2024-03-17,18.2,100.0,µg/m³,pm10
2024-03-18,38.7,96.0,µg/m³,pm10
2024-03-19,44.1,75.0,µg/m³,pm10
2024-03-20,40.4,21.0,µg/m³,pm10
2024-03-21,35.2,100.0,µg/m³,pm10
2024-03-22,31.3,100.0,µg/m³,pm10
2024-03-23,6.58,100.0,µg/m³,pm10
2024-03-24,2.58,100.0,µg/m³,pm10
2024-03-25,6.88,100.0,µg/m³,pm10
2024-03-26,16.7,100.0,µg/m³,pm10
2024-03-27,18.2,96.0,µg/m³,pm10
2024-03-28,10.5,100.0,µg/m³,pm10
2024-03-29,23.1,100.0,µg/m³,pm10
2024-03-30,2.83,100.0,µg/m³,pm10
2024-03-31,4.83,100.0,µg/m³,pm10
2024-04-01,8.38,100.0,µg/m³,pm10
2024-04-02,16.0,100.0,µg/m³,pm10
2024-04-03,33.8,100.0,µg/m³,pm10
2024-04-04,14.4,100.0,µg/m³,pm10
2024-04-05,5.33,100.0,µg/m³,pm10
2024-04-06,5.67,100.0,µg/m³,pm10
2024-04-07,10.6,100.0,µg/m³,pm10
2024-04-08,15.7,100.0,µg/m³,pm10
2024-04-09,20.0,100.0,µg/m³,pm10
2024-04-10,36.2,100.0,µg/m³,pm10
2024-04-11,52.5,100.0,µg/m³,pm10
2024-04-12,47.4,100.0,µg/m³,pm10
2024-04-13,49.4,100.0,µg/m³,pm10
2024-04-14,2.88,100.0,µg/m³,pm10
2024-04-15,9.17,96.0,µg/m³,pm10
2024-04-16,19.3,100.0,µg/m³,pm10
2024-04-17,34.5,100.0,µg/m³,pm10
2024-04-18,35.8,100.0,µg/m³,pm10
2024-04-19,34.3,100.0,µg/m³,pm10
2024-04-20,31.0,100.0,µg/m³,pm10
2024-04-21,25.6,100.0,µg/m³,pm10
2024-04-22,38.0,100.0,µg/m³,pm10
2024-04-23,23.8,100.0,µg/m³,pm10
2024-04-24,23.2,100.0,µg/m³,pm10
2024-04-25,24.1,100.0,µg/m³,pm10
2024-04-26,17.5,100.0,µg/m³,pm10
2024-04-27,17.8,100.0,µg/m³,pm10
2024-04-28,21.4,100.0,µg/m³,pm10
2024-04-29,28.6,100.0,µg/m³,pm10
2024-04-30,32.3,96.0,µg/m³,pm10
2024-05-01,45.1,100.0,µg/m³,pm10
2024-05-02,51.1,100.0,µg/m³,pm10
2024-05-03,48.3,100.0,µg/m³,pm10
2024-05-04,27.1,100.0,µg/m³,pm10
2024-05-05,7.13,100.0,µg/m³,pm10
2024-05-06,15.9,100.0,µg/m³,pm10
2024-05-07,23.9,100.0,µg/m³,pm10
2024-05-08,26.5,100.0,µg/m³,pm10
2024-05-09,32.5,100.0,µg/m³,pm10
2024-05-10,32.0,100.0,µg/m³,pm10
2024-05-11,23.9,100.0,µg/m³,pm10
2024-05-12,20.8,100.0,µg/m³,pm10
2024-05-13,35.5,100.0,µg/m³,pm10
2024-05-14,42.9,100.0,µg/m³,pm10
2024-05-15,43.4,100.0,µg/m³,pm10
2024-05-16,45.7,96.0,µg/m³,pm10
2024-05-17,32.3,100.0,µg/m³,pm10
2024-05-18,30.6,100.0,µg/m³,pm10
2024-05-19,25.3,100.0,µg/m³,pm10
2024-05-20,31.1,100.0,µg/m³,pm10
2024-05-21,48.4,100.0,µg/m³,pm10
2024-05-22,39.8,88.0,µg/m³,pm10
2024-05-23,38.6,46.0,µg/m³,pm10
2024-05-24,36.1,100.0,µg/m³,pm10
2024-05-25,22.5,100.0,µg/m³,pm10
2024-05-26,27.2,100.0,µg/m³,pm10
2024-05-27,33.9,100.0,µg/m³,pm10
2024-05-28,41.8,100.0,µg/m³,pm10
2024-05-29,41.9,100.0,µg/m³,pm10
2024-05-30,53.5,100.0,µg/m³,pm10
2024-05-31,51.5,100.0,µg/m³,pm10
2024-06-01,40.2,100.0,µg/m³,pm10
2024-06-02,30.3,100.0,µg/m³,pm10
2024-06-03,40.5,100.0,µg/m³,pm10
2024-06-04,33.0,100.0,µg/m³,pm10
2024-06-05,54.4,100.0,µg/m³,pm10
2024-06-06,53.8,96.0,µg/m³,pm10
2024-06-07,55.3,100.0,µg/m³,pm10
2024-06-08,34.9,100.0,µg/m³,pm10
2024-06-09,25.8,100.0,µg/m³,pm10
2024-06-10,42.2,100.0,µg/m³,pm10
2024-06-11,58.2,100.0,µg/m³,pm10
2024-06-12,65.0,100.0,µg/m³,pm10
2024-06-13,31.3,96.0,µg/m³,pm10
2024-06-14,43.8,100.0,µg/m³,pm10
2024-06-15,42.0,100.0,µg/m³,pm10
2024-06-16,37.8,100.0,µg/m³,pm10
2024-06-17,63.8,100.0,µg/m³,pm10
2024-06-18,70.3,100.0,µg/m³,pm10
2024-06-19,46.7,100.0,µg/m³,pm10
2024-06-20,43.2,96.0,µg/m³,pm10
2024-06-21,50.7,100.0,µg/m³,pm10
2024-06-22,45.8,100.0,µg/m³,pm10
2024-06-23,23.9,100.0,µg/m³,pm10
2024-06-24,37.7,100.0,µg/m³,pm10
2024-06-25,36.2,100.0,µg/m³,pm10
2024-06-26,37.0,100.0,µg/m³,pm10
2024-06-27,35.9,100.0,µg/m³,pm10
2024-06-28,42.7,100.0,µg/m³,pm10
2024-06-29,38.5,100.0,µg/m³,pm10
2024-06-30,28.1,100.0,µg/m³,pm10
2024-07-01,45.0,100.0,µg/m³,pm10
2024-07-02,47.4,100.0,µg/m³,pm10
2024-07-03,52.8,96.0,µg/m³,pm10
2024-07-04,50.0,100.0,µg/m³,pm10
2024-07-05,43.3,100.0,µg/m³,pm10
2024-07-06,42.8,100.0,µg/m³,pm10
2024-07-07,33.8,100.0,µg/m³,pm10
2024-07-08,45.8,100.0,µg/m³,pm10
2024-07-09,50.2,100.0,µg/m³,pm10
2024-07-10,54.9,100.0,µg/m³,pm10
2024-07-11,57.4,100.0,µg/m³,pm10
2024-07-12,55.8,100.0,µg/m³,pm10
2024-07-13,51.6,100.0,µg/m³,pm10
2024-07-14,41.4,100.0,µg/m³,pm10
2024-07-15,40.9,100.0,µg/m³,pm10
2024-07-16,52.3,100.0,µg/m³,pm10
2024-07-17,54.4,100.0,µg/m³,pm10
2024-07-18,46.6,96.0,µg/m³,pm10
2024-07-19,42.9,100.0,µg/m³,pm10
2024-07-20,38.6,100.0,µg/m³,pm10
2024-07-21,33.3,100.0,µg/m³,pm10
2024-07-22,39.0,100.0,µg/m³,pm10
2024-07-23,52.3,100.0,µg/m³,pm10
