day,average,coverage,unit,parameter
2024-01-01,47.0,100.0,µg/m³,pm10
2024-01-02,14.8,100.0,µg/m³,pm10
2024-01-03,7.42,100.0,µg/m³,pm10
2024-01-04,8.5,83.0,µg/m³,pm10
2024-01-05,22.3,100.0,µg/m³,pm10
2024-01-06,24.5,100.0,µg/m³,pm10
2024-01-07,16.6,100.0,µg/m³,pm10
2024-01-08,10.3,92.0,µg/m³,pm10
2024-01-09,7.21,100.0,µg/m³,pm10
2024-01-10,17.9,100.0,µg/m³,pm10
2024-01-11,28.7,100.0,µg/m³,pm10
2024-01-12,26.1,100.0,µg/m³,pm10
2024-01-13,18.0,96.0,µg/m³,pm10
2024-01-14,8.08,100.0,µg/m³,pm10
2024-01-15,8.0,100.0,µg/m³,pm10
2024-01-16,8.0,100.0,µg/m³,pm10
2024-01-17,14.8,100.0,µg/m³,pm10
2024-01-18,22.8,100.0,µg/m³,pm10
2024-01-19,23.3,100.0,µg/m³,pm10
2024-01-20,16.6,100.0,µg/m³,pm10
2024-01-21,18.9,100.0,µg/m³,pm10
2024-01-22,33.1,100.0,µg/m³,pm10
2024-01-23,33.3,100.0,µg/m³,pm10
2024-01-24,27.3,100.0,µg/m³,pm10
2024-01-25,27.4,96.0,µg/m³,pm10
2024-01-26,30.8,96.0,µg/m³,pm10
2024-01-27,17.0,96.0,µg/m³,pm10
2024-01-28,10.7,79.0,µg/m³,pm10
2024-01-29,3.22,96.0,µg/m³,pm10
2024-01-30,10.2,96.0,µg/m³,pm10
2024-01-31,16.4,63.0,µg/m³,pm10
2024-02-01,30.3,58.0,µg/m³,pm10
2024-02-02,32.7,88.0,µg/m³,pm10
2024-02-03,33.5,75.0,µg/m³,pm10
2024-02-04,25.4,100.0,µg/m³,pm10
2024-02-05,25.7,96.0,µg/m³,pm10
2024-02-06,24.0,96.0,µg/m³,pm10
2024-02-07,25.9,92.0,µg/m³,pm10
2024-02-08,36.9,96.0,µg/m³,pm10
2024-02-09,21.9,96.0,µg/m³,pm10
2024-02-10,22.8,100.0,µg/m³,pm10
2024-02-11,16.3,96.0,µg/m³,pm10
2024-02-12,26.1,96.0,µg/m³,pm10
2024-02-13,7.04,96.0,µg/m³,pm10
2024-02-14,26.1,96.0,µg/m³,pm10
2024-02-15,26.0,96.0,µg/m³,pm10
2024-02-16,25.7,96.0,µg/m³,pm10
2024-02-17,27.0,96.0,µg/m³,pm10
2024-02-18,23.6,96.0,µg/m³,pm10
2024-02-19,18.8,96.0,µg/m³,pm10
2024-02-20,10.7,96.0,µg/m³,pm10
2024-02-21,8.42,100.0,µg/m³,pm10
2024-02-22,10.1,96.0,µg/m³,pm10
2024-02-23,11.3,96.0,µg/m³,pm10
2024-02-24,12.2,96.0,µg/m³,pm10
2024-02-25,6.88,100.0,µg/m³,pm10
2024-02-26,10.0,96.0,µg/m³,pm10
2024-02-27,11.4,96.0,µg/m³,pm10
2024-02-28,22.5,100.0,µg/m³,pm10
2024-02-29,23.4,96.0,µg/m³,pm10
2024-03-01,22.3,100.0,µg/m³,pm10
2024-03-02,26.0,100.0,µg/m³,pm10
2024-03-03,20.2,79.0,µg/m³,pm10
2024-03-04,28.3,83.0,µg/m³,pm10
2024-03-05,13.8,96.0,µg/m³,pm10
2024-03-06,11.2,96.0,µg/m³,pm10
2024-03-07,7.57,96.0,µg/m³,pm10
2024-03-08,8.57,96.0,µg/m³,pm10
2024-03-09,4.54,51.0,µg/m³,pm10
2024-03-10,4.73,96.0,µg/m³,pm10
2024-03-11,8.39,96.0,µg/m³,pm10
2024-03-12,15.6,100.0,µg/m³,pm10
2024-03-13,13.3,96.0,µg/m³,pm10
2024-03-14,4.87,96.0,µg/m³,pm10
2024-03-15,11.0,96.0,µg/m³,pm10
2024-03-16,8.0,100.0,µg/m³,pm10
2024-03-17,5.27,92.0,µg/m³,pm10
2024-03-18,6.74,96.0,µg/m³,pm10
2024-03-19,21.5,71.0,µg/m³,pm10
2024-03-20,14.1,29.0,µg/m³,pm10
2024-03-21,20.3,100.0,µg/m³,pm10
2024-03-22,16.6,100.0,µg/m³,pm10
2024-03-23,11.8,100.0,µg/m³,pm10
2024-03-24,16.0,100.0,µg/m³,pm10
2024-03-25,25.3,100.0,µg/m³,pm10
2024-03-26,22.7,100.0,µg/m³,pm10
2024-03-27,10.9,100.0,µg/m³,pm10
2024-03-28,6.75,100.0,µg/m³,pm10
2024-03-29,32.6,92.0,µg/m³,pm10
2024-03-30,20.3,100.0,µg/m³,pm10
2024-03-31,4.88,100.0,µg/m³,pm10
2024-04-01,7.92,100.0,µg/m³,pm10
2024-04-02,17.9,100.0,µg/m³,pm10
2024-04-03,29.2,100.0,µg/m³,pm10
2024-04-04,5.92,100.0,µg/m³,pm10
2024-04-05,6.26,96.0,µg/m³,pm10
2024-04-06,16.8,100.0,µg/m³,pm10
2024-04-07,13.2,100.0,µg/m³,pm10
2024-04-08,11.3,100.0,µg/m³,pm10
2024-04-09,18.9,100.0,µg/m³,pm10
2024-04-10,36.5,100.0,µg/m³,pm10
2024-04-11,32.3,96.0,µg/m³,pm10
2024-04-12,8.33,100.0,µg/m³,pm10
2024-04-13,3.79,100.0,µg/m³,pm10
2024-04-14,10.6,100.0,µg/m³,pm10
2024-04-15,15.9,100.0,µg/m³,pm10
2024-04-16,32.0,100.0,µg/m³,pm10
