day,average,coverage,unit,parameter
2024-01-01,20.8,97.33333333333333,µg/m³,pm10
2024-01-02,20.633333333333333,97.33333333333333,µg/m³,pm10
2024-01-03,9.883333333333333,94.66666666666667,µg/m³,pm10
2024-01-04,14.833333333333334,97.33333333333333,µg/m³,pm10
2024-01-05,27.099999999999998,97.33333333333333,µg/m³,pm10
2024-01-06,21.400000000000002,97.33333333333333,µg/m³,pm10
2024-01-07,9.886666666666668,96.0,µg/m³,pm10
2024-01-08,19.266666666666666,96.0,µg/m³,pm10
2024-01-09,19.0,97.33333333333333,µg/m³,pm10
2024-01-10,14.633333333333333,97.33333333333333,µg/m³,pm10
2024-01-11,11.123333333333335,96.0,µg/m³,pm10
2024-01-12,22.53333333333333,97.33333333333333,µg/m³,pm10
2024-01-13,29.7,96.0,µg/m³,pm10
2024-01-14,18.366666666666667,97.33333333333333,µg/m³,pm10
2024-01-15,8.58,97.33333333333333,µg/m³,pm10
2024-01-16,14.933333333333332,97.33333333333333,µg/m³,pm10
2024-01-17,19.066666666666666,94.66666666666667,µg/m³,pm10
2024-01-18,21.400000000000002,96.0,µg/m³,pm10
2024-01-19,26.433333333333334,96.0,µg/m³,pm10
2024-01-20,9.166666666666666,97.33333333333333,µg/m³,pm10
2024-01-21,4.516666666666667,97.33333333333333,µg/m³,pm10
2024-01-22,5.646666666666666,97.33333333333333,µg/m³,pm10
2024-01-23,9.793333333333335,97.33333333333333,µg/m³,pm10
2024-01-24,13.366666666666667,96.0,µg/m³,pm10
2024-01-25,12.186666666666667,97.33333333333333,µg/m³,pm10
2024-01-26,23.599999999999998,91.66666666666667,µg/m³,pm10
2024-01-27,25.766666666666666,96.0,µg/m³,pm10
2024-01-28,27.96666666666667,96.0,µg/m³,pm10
2024-01-29,40.06666666666667,97.33333333333333,µg/m³,pm10
2024-01-30,38.03333333333333,97.33333333333333,µg/m³,pm10
2024-01-31,26.133333333333336,67.0,µg/m³,pm10
2024-02-01,3.4599999999999995,54.0,µg/m³,pm10
2024-02-02,7.03,97.33333333333333,µg/m³,pm10
2024-02-03,12.303333333333333,96.0,µg/m³,pm10
2024-02-04,5.91,97.33333333333333,µg/m³,pm10
2024-02-05,4.84,96.0,µg/m³,pm10
2024-02-06,2.8699999999999997,96.0,µg/m³,pm10
2024-02-07,8.33,94.66666666666667,µg/m³,pm10
2024-02-08,12.866666666666667,97.33333333333333,µg/m³,pm10
2024-02-09,12.133333333333335,96.0,µg/m³,pm10
2024-02-10,18.0,97.33333333333333,µg/m³,pm10
2024-02-11,19.400000000000002,96.0,µg/m³,pm10
2024-02-12,30.3,96.0,µg/m³,pm10
2024-02-13,28.099999999999998,96.0,µg/m³,pm10
2024-02-14,28.7,85.0,µg/m³,pm10
2024-02-15,9.9,89.0,µg/m³,pm10
2024-02-16,23.566666666666666,97.33333333333333,µg/m³,pm10
2024-02-17,12.866666666666667,97.33333333333333,µg/m³,pm10
2024-02-18,3.7733333333333334,97.33333333333333,µg/m³,pm10
2024-02-19,4.89,97.33333333333333,µg/m³,pm10
2024-02-20,10.693333333333333,96.0,µg/m³,pm10
2024-02-21,5.863333333333333,92.0,µg/m³,pm10
2024-02-22,15.766666666666666,96.0,µg/m³,pm10
2024-02-23,27.900000000000002,97.33333333333333,µg/m³,pm10
2024-02-24,25.933333333333334,96.0,µg/m³,pm10
2024-02-25,19.966666666666665,96.0,µg/m³,pm10
2024-02-26,27.933333333333334,97.33333333333333,µg/m³,pm10
2024-02-27,13.566666666666668,96.0,µg/m³,pm10
2024-02-28,30.933333333333334,97.33333333333333,µg/m³,pm10
2024-02-29,24.2,97.33333333333333,µg/m³,pm10
2024-03-01,5.863333333333333,97.33333333333333,µg/m³,pm10
2024-03-02,3.486666666666667,97.33333333333333,µg/m³,pm10
2024-03-03,3.1466666666666665,96.0,µg/m³,pm10
2024-03-04,7.463333333333334,96.0,µg/m³,pm10
2024-03-05,16.733333333333334,96.0,µg/m³,pm10
2024-03-06,12.466666666666667,93.33333333333333,µg/m³,pm10
2024-03-07,12.866666666666665,96.0,µg/m³,pm10
2024-03-08,22.066666666666666,96.0,µg/m³,pm10
2024-03-09,15.800000000000002,51.0,µg/m³,pm10
2024-03-10,14.1,96.0,µg/m³,pm10
2024-03-11,16.933333333333334,97.33333333333333,µg/m³,pm10
2024-03-12,6.93,90.33333333333333,µg/m³,pm10
2024-03-13,15.093333333333334,94.66666666666667,µg/m³,pm10
2024-03-14,24.23333333333333,96.0,µg/m³,pm10
2024-03-15,24.5,96.0,µg/m³,pm10
2024-03-16,17.866666666666664,97.33333333333333,µg/m³,pm10
2024-03-17,18.933333333333334,96.0,µg/m³,pm10
2024-03-18,31.599999999999998,96.0,µg/m³,pm10
2024-03-19,32.96666666666667,73.66666666666667,µg/m³,pm10
2024-03-20,19.833333333333332,25.0,µg/m³,pm10
2024-03-21,16.166666666666668,100.0,µg/m³,pm10
2024-03-22,39.699999999999996,100.0,µg/m³,pm10
2024-03-23,5.976666666666667,100.0,µg/m³,pm10
2024-03-24,6.196666666666666,100.0,µg/m³,pm10
2024-03-25,10.336666666666668,100.0,µg/m³,pm10
2024-03-26,12.033333333333333,100.0,µg/m³,pm10
2024-03-27,20.099999999999998,98.66666666666667,µg/m³,pm10
2024-03-28,5.596666666666667,82.0,µg/m³,pm10
2024-03-29,16.6,100.0,µg/m³,pm10
2024-03-30,4.04,100.0,µg/m³,pm10
2024-03-31,4.79,100.0,µg/m³,pm10
2024-04-01,11.426666666666668,82.0,µg/m³,pm10
2024-04-02,19.433333333333334,100.0,µg/m³,pm10
2024-04-03,21.900000000000002,91.66666666666667,µg/m³,pm10
2024-04-04,14.566666666666668,100.0,µg/m³,pm10
2024-04-05,6.4433333333333325,98.66666666666667,µg/m³,pm10
2024-04-06,10.603333333333333,100.0,µg/m³,pm10
2024-04-07,11.146666666666667,100.0,µg/m³,pm10
2024-04-08,22.066666666666666,98.66666666666667,µg/m³,pm10
2024-04-09,23.366666666666664,97.33333333333333,µg/m³,pm10
2024-04-10,26.53333333333333,100.0,µg/m³,pm10
2024-04-11,37.199999999999996,96.0,µg/m³,pm10
2024-04-12,41.46666666666667,100.0,µg/m³,pm10
2024-04-13,17.2,100.0,µg/m³,pm10
2024-04-14,3.6533333333333338,100.0,µg/m³,pm10
2024-04-15,8.6,100.0,µg/m³,pm10
2024-04-16,14.566666666666668,100.0,µg/m³,pm10
2024-04-17,25.600000000000005,97.33333333333333,µg/m³,pm10
2024-04-18,25.7,100.0,µg/m³,pm10
2024-04-19,24.7,100.0,µg/m³,pm10
2024-04-20,20.5,100.0,µg/m³,pm10
2024-04-21,16.900000000000002,100.0,µg/m³,pm10
2024-04-22,35.23333333333333,100.0,µg/m³,pm10
2024-04-23,30.26666666666667,100.0,µg/m³,pm10
2024-04-24,25.53333333333333,100.0,µg/m³,pm10
2024-04-25,22.133333333333336,100.0,µg/m³,pm10
2024-04-26,15.633333333333333,98.66666666666667,µg/m³,pm10
2024-04-27,9.476666666666667,100.0,µg/m³,pm10
2024-04-28,13.533333333333333,100.0,µg/m³,pm10
2024-04-29,22.366666666666664,100.0,µg/m³,pm10
