day,average,coverage,unit,parameter
2024-01-01,476.0,29.0,µg/m³,pm10
2024-01-02,350.0,29.0,µg/m³,pm10
2024-01-03,426.0,28.0,µg/m³,pm10
2024-01-04,511.0,29.0,µg/m³,pm10
2024-01-05,592.0,29.0,µg/m³,pm10
2024-01-06,455.0,29.0,µg/m³,pm10
2024-01-07,482.0,28.0,µg/m³,pm10
2024-01-08,506.0,28.0,µg/m³,pm10
2024-01-09,480.0,29.0,µg/m³,pm10
2024-01-10,528.0,29.0,µg/m³,pm10
2024-01-11,527.0,29.0,µg/m³,pm10
2024-01-12,513.0,29.0,µg/m³,pm10
2024-01-13,453.0,28.0,µg/m³,pm10
2024-01-14,551.0,29.0,µg/m³,pm10
2024-01-15,528.0,14.0,µg/m³,pm10
2024-01-16,712.0,8.0,µg/m³,pm10
2024-01-17,644.0,8.0,µg/m³,pm10
2024-01-18,542.0,8.0,µg/m³,pm10
2024-01-19,449.0,8.0,µg/m³,pm10
2024-01-20,414.0,8.0,µg/m³,pm10
2024-01-21,379.0,8.0,µg/m³,pm10
2024-01-22,389.0,8.0,µg/m³,pm10
2024-01-23,585.0,8.0,µg/m³,pm10
2024-01-24,462.0,8.0,µg/m³,pm10
2024-01-25,472.0,8.0,µg/m³,pm10
2024-01-26,458.0,8.0,µg/m³,pm10
2024-01-27,458.0,8.0,µg/m³,pm10
2024-01-28,444.0,8.0,µg/m³,pm10
2024-01-29,325.0,18.0,µg/m³,pm10
2024-01-30,301.0,29.0,µg/m³,pm10
2024-01-31,194.0,24.0,µg/m³,pm10
2024-02-01,128.0,29.0,µg/m³,pm10
2024-02-02,185.0,28.0,µg/m³,pm10
2024-02-03,217.0,29.0,µg/m³,pm10
2024-02-04,293.0,29.0,µg/m³,pm10
2024-02-05,296.0,28.0,µg/m³,pm10
2024-02-06,264.0,29.0,µg/m³,pm10
2024-02-07,152.0,25.0,µg/m³,pm10
2024-02-08,163.0,22.0,µg/m³,pm10
2024-02-09,285.0,29.0,µg/m³,pm10
2024-02-10,317.0,20.0,µg/m³,pm10
2024-02-11,495.0,29.0,µg/m³,pm10
2024-02-12,474.0,29.0,µg/m³,pm10
2024-02-13,406.0,29.0,µg/m³,pm10
2024-02-14,243.0,29.0,µg/m³,pm10
2024-02-15,362.0,29.0,µg/m³,pm10
2024-02-16,324.0,29.0,µg/m³,pm10
2024-02-17,294.0,29.0,µg/m³,pm10
2024-02-18,164.0,28.0,µg/m³,pm10
2024-02-19,216.0,29.0,µg/m³,pm10
2024-02-20,221.0,29.0,µg/m³,pm10
2024-02-21,130.0,29.0,µg/m³,pm10
2024-02-22,100.0,29.0,µg/m³,pm10
2024-02-23,120.0,29.0,µg/m³,pm10
2024-02-24,152.0,29.0,µg/m³,pm10
2024-02-25,231.0,29.0,µg/m³,pm10
2024-02-26,89.8,29.0,µg/m³,pm10
2024-02-27,171.0,29.0,µg/m³,pm10
2024-02-28,205.0,29.0,µg/m³,pm10
2024-02-29,157.0,29.0,µg/m³,pm10
2024-03-01,90.3,29.0,µg/m³,pm10
2024-03-02,58.3,29.0,µg/m³,pm10
2024-03-03,103.0,28.0,µg/m³,pm10
2024-03-04,162.0,29.0,µg/m³,pm10
2024-03-05,131.0,28.0,µg/m³,pm10
2024-03-06,143.0,29.0,µg/m³,pm10
