datetime,value,unit,parameter
2024-01-01 08:00:00+00:00,0.018675,ppm,no2
2024-01-01 09:00:00+00:00,0.017099999999999997,ppm,no2
2024-01-01 10:00:00+00:00,0.0153,ppm,no2
2024-01-01 11:00:00+00:00,0.0155,ppm,no2
2024-01-01 12:00:00+00:00,0.01525,ppm,no2
2024-01-01 13:00:00+00:00,0.0149,ppm,no2
2024-01-01 14:00:00+00:00,0.0144,ppm,no2
2024-01-01 15:00:00+00:00,0.0143,ppm,no2
2024-01-01 16:00:00+00:00,0.0157,ppm,no2
2024-01-01 17:00:00+00:00,0.009625,ppm,no2
2024-01-01 18:00:00+00:00,0.00575,ppm,no2
2024-01-01 19:00:00+00:00,0.0046,ppm,no2
2024-01-01 20:00:00+00:00,0.003425,ppm,no2
2024-01-01 21:00:00+00:00,0.0033499999999999997,ppm,no2
2024-01-01 22:00:00+00:00,0.00415,ppm,no2
2024-01-01 23:00:00+00:00,0.0071,ppm,no2
2024-01-02 00:00:00+00:00,0.0104,ppm,no2
2024-01-02 01:00:00+00:00,0.013500000000000002,ppm,no2
2024-01-02 02:00:00+00:00,0.013175,ppm,no2
2024-01-02 03:00:00+00:00,0.017175,ppm,no2
2024-01-02 04:00:00+00:00,0.026075,ppm,no2
2024-01-02 05:00:00+00:00,0.02376666666666667,ppm,no2
2024-01-02 06:00:00+00:00,0.022625,ppm,no2
2024-01-02 07:00:00+00:00,0.0229,ppm,no2
2024-01-02 08:00:00+00:00,0.023125,ppm,no2
2024-01-02 09:00:00+00:00,0.02145,ppm,no2
2024-01-02 10:00:00+00:00,0.02015,ppm,no2
2024-01-02 11:00:00+00:00,0.0187,ppm,no2
2024-01-02 12:00:00+00:00,0.021,ppm,no2
2024-01-02 13:00:00+00:00,0.023675,ppm,no2
2024-01-02 14:00:00+00:00,0.0275,ppm,no2
2024-01-02 15:00:00+00:00,0.031875,ppm,no2
2024-01-02 16:00:00+00:00,0.028125,ppm,no2
2024-01-02 17:00:00+00:00,0.022175,ppm,no2
2024-01-02 18:00:00+00:00,0.013275,ppm,no2
2024-01-02 19:00:00+00:00,0.010875000000000001,ppm,no2
2024-01-02 20:00:00+00:00,0.010925,ppm,no2
2024-01-02 21:00:00+00:00,0.013875,ppm,no2
2024-01-02 22:00:00+00:00,0.0124,ppm,no2
2024-01-02 23:00:00+00:00,0.014375,ppm,no2
2024-01-03 00:00:00+00:00,0.013975,ppm,no2
2024-01-03 01:00:00+00:00,0.0209,ppm,no2
2024-01-03 02:00:00+00:00,0.0254,ppm,no2
2024-01-03 03:00:00+00:00,0.033175,ppm,no2
2024-01-03 04:00:00+00:00,0.034025,ppm,no2
2024-01-03 05:00:00+00:00,0.028925,ppm,no2
2024-01-03 06:00:00+00:00,0.02865,ppm,no2
2024-01-03 07:00:00+00:00,0.027475,ppm,no2
2024-01-03 08:00:00+00:00,0.026325,ppm,no2
2024-01-03 09:00:00+00:00,0.02355,ppm,no2
2024-01-03 10:00:00+00:00,0.0237,ppm,no2
2024-01-03 11:00:00+00:00,0.022325,ppm,no2
2024-01-03 12:00:00+00:00,0.02365,ppm,no2
2024-01-03 13:00:00+00:00,0.02625,ppm,no2
2024-01-03 14:00:00+00:00,0.0282,ppm,no2
2024-01-03 15:00:00+00:00,0.029325,ppm,no2
2024-01-03 16:00:00+00:00,0.026000000000000002,ppm,no2
2024-01-03 17:00:00+00:00,0.019575000000000002,ppm,no2
2024-01-03 18:00:00+00:00,0.010625,ppm,no2
2024-01-03 19:00:00+00:00,0.011500000000000002,ppm,no2
2024-01-03 20:00:00+00:00,0.010366666666666666,ppm,no2
2024-01-03 21:00:00+00:00,0.0091,ppm,no2
2024-01-03 22:00:00+00:00,0.009366666666666667,ppm,no2
2024-01-03 23:00:00+00:00,0.007875,ppm,no2
2024-01-04 00:00:00+00:00,0.0097,ppm,no2
2024-01-04 01:00:00+00:00,0.017875,ppm,no2
2024-01-04 02:00:00+00:00,0.0212,ppm,no2
2024-01-04 03:00:00+00:00,0.013825,ppm,no2
2024-01-04 04:00:00+00:00,0.00975,ppm,no2
2024-01-04 05:00:00+00:00,0.00775,ppm,no2
2024-01-04 06:00:00+00:00,0.005425,ppm,no2
2024-01-04 07:00:00+00:00,0.0063750000000000005,ppm,no2
2024-01-04 08:00:00+00:00,0.005575,ppm,no2
2024-01-04 09:00:00+00:00,0.00575,ppm,no2
2024-01-04 10:00:00+00:00,0.004475,ppm,no2
2024-01-04 11:00:00+00:00,0.0035,ppm,no2
2024-01-04 12:00:00+00:00,0.01435,ppm,no2
2024-01-04 13:00:00+00:00,0.02015,ppm,no2
2024-01-04 14:00:00+00:00,0.02345,ppm,no2
2024-01-04 15:00:00+00:00,0.0253,ppm,no2
2024-01-04 16:00:00+00:00,0.023875,ppm,no2
2024-01-04 17:00:00+00:00,0.025625000000000002,ppm,no2
2024-01-04 18:00:00+00:00,0.027399999999999997,ppm,no2
2024-01-04 19:00:00+00:00,0.022466666666666666,ppm,no2
2024-01-04 20:00:00+00:00,0.020466666666666664,ppm,no2
2024-01-04 21:00:00+00:00,0.013433333333333334,ppm,no2
2024-01-04 22:00:00+00:00,0.014166666666666668,ppm,no2
2024-01-04 23:00:00+00:00,0.013125,ppm,no2
2024-01-05 00:00:00+00:00,0.014675,ppm,no2
2024-01-05 01:00:00+00:00,0.025725,ppm,no2
2024-01-05 02:00:00+00:00,0.030100000000000002,ppm,no2
2024-01-05 03:00:00+00:00,0.030899999999999997,ppm,no2
2024-01-05 04:00:00+00:00,0.029275,ppm,no2
2024-01-05 05:00:00+00:00,0.02855,ppm,no2
2024-01-05 06:00:00+00:00,0.0274,ppm,no2
2024-01-05 07:00:00+00:00,0.0274,ppm,no2
2024-01-05 08:00:00+00:00,0.025599999999999998,ppm,no2
2024-01-05 09:00:00+00:00,0.02315,ppm,no2
2024-01-05 10:00:00+00:00,0.023125,ppm,no2
2024-01-05 11:00:00+00:00,0.02255,ppm,no2
2024-01-05 12:00:00+00:00,0.024375,ppm,no2
2024-01-05 13:00:00+00:00,0.02565,ppm,no2
2024-01-05 14:00:00+00:00,0.0304,ppm,no2
2024-01-05 15:00:00+00:00,0.029925,ppm,no2
2024-01-05 16:00:00+00:00,0.033625,ppm,no2
2024-01-05 17:00:00+00:00,0.0295,ppm,no2
2024-01-05 18:00:00+00:00,0.025474999999999998,ppm,no2
2024-01-05 19:00:00+00:00,0.015325,ppm,no2
2024-01-05 20:00:00+00:00,0.011025,ppm,no2
2024-01-05 21:00:00+00:00,0.012675,ppm,no2
2024-01-05 22:00:00+00:00,0.018725,ppm,no2
2024-01-05 23:00:00+00:00,0.019674999999999998,ppm,no2
2024-01-06 00:00:00+00:00,0.0224,ppm,no2
2024-01-06 01:00:00+00:00,0.029949999999999997,ppm,no2
2024-01-06 02:00:00+00:00,0.02985,ppm,no2
2024-01-06 03:00:00+00:00,0.0266,ppm,no2
2024-01-06 04:00:00+00:00,0.025724999999999998,ppm,no2
2024-01-06 05:00:00+00:00,0.027049999999999998,ppm,no2
2024-01-06 06:00:00+00:00,0.025799999999999997,ppm,no2
2024-01-06 07:00:00+00:00,0.03025,ppm,no2
2024-01-06 08:00:00+00:00,0.02995,ppm,no2
2024-01-06 09:00:00+00:00,0.0276,ppm,no2
2024-01-06 10:00:00+00:00,0.0268,ppm,no2
2024-01-06 11:00:00+00:00,0.0231,ppm,no2
2024-01-06 12:00:00+00:00,0.023675,ppm,no2
2024-01-06 13:00:00+00:00,0.0244,ppm,no2
2024-01-06 14:00:00+00:00,0.02535,ppm,no2
2024-01-06 15:00:00+00:00,0.02735,ppm,no2
2024-01-06 16:00:00+00:00,0.027475,ppm,no2
2024-01-06 17:00:00+00:00,0.022,ppm,no2
2024-01-06 18:00:00+00:00,0.018075,ppm,no2
2024-01-06 19:00:00+00:00,0.01325,ppm,no2
2024-01-06 20:00:00+00:00,0.015875,ppm,no2
2024-01-06 21:00:00+00:00,0.01445,ppm,no2
2024-01-06 22:00:00+00:00,0.012425,ppm,no2
2024-01-06 23:00:00+00:00,0.01015,ppm,no2
2024-01-07 00:00:00+00:00,0.010775,ppm,no2
2024-01-07 01:00:00+00:00,0.011975,ppm,no2
2024-01-07 02:00:00+00:00,0.0135,ppm,no2
2024-01-07 03:00:00+00:00,0.012374999999999999,ppm,no2
2024-01-07 04:00:00+00:00,0.011875,ppm,no2
2024-01-07 05:00:00+00:00,0.01015,ppm,no2
2024-01-07 06:00:00+00:00,0.011025,ppm,no2
2024-01-07 07:00:00+00:00,0.0114,ppm,no2
2024-01-07 08:00:00+00:00,0.0043,ppm,no2
2024-01-07 09:00:00+00:00,0.0027,ppm,no2
2024-01-07 10:00:00+00:00,0.002,ppm,no2
2024-01-07 11:00:00+00:00,0.003,ppm,no2
2024-01-07 12:00:00+00:00,0.00155,ppm,no2
2024-01-07 13:00:00+00:00,0.00155,ppm,no2
2024-01-07 14:00:00+00:00,0.00215,ppm,no2
2024-01-07 15:00:00+00:00,0.0027,ppm,no2
2024-01-07 16:00:00+00:00,0.002675,ppm,no2
2024-01-07 17:00:00+00:00,0.003125,ppm,no2
2024-01-07 18:00:00+00:00,0.003,ppm,no2
2024-01-07 19:00:00+00:00,0.002975,ppm,no2
2024-01-07 20:00:00+00:00,0.003425,ppm,no2
2024-01-07 21:00:00+00:00,0.0029749999999999998,ppm,no2
2024-01-07 22:00:00+00:00,0.0028250000000000003,ppm,no2
2024-01-07 23:00:00+00:00,0.003225,ppm,no2
2024-01-08 00:00:00+00:00,0.0036,ppm,no2
2024-01-08 01:00:00+00:00,0.004975,ppm,no2
2024-01-08 02:00:00+00:00,0.0040999999999999995,ppm,no2
2024-01-08 03:00:00+00:00,0.00355,ppm,no2
2024-01-08 04:00:00+00:00,0.005525,ppm,no2
2024-01-08 05:00:00+00:00,0.0045249999999999995,ppm,no2
2024-01-08 06:00:00+00:00,0.004875,ppm,no2
2024-01-08 07:00:00+00:00,0.005200000000000001,ppm,no2
2024-01-08 08:00:00+00:00,0.004175,ppm,no2
2024-01-08 09:00:00+00:00,0.00515,ppm,no2
2024-01-08 10:00:00+00:00,0.006125,ppm,no2
2024-01-08 11:00:00+00:00,0.009725000000000001,ppm,no2
2024-01-08 12:00:00+00:00,0.020675,ppm,no2
2024-01-08 13:00:00+00:00,0.02495,ppm,no2
2024-01-08 14:00:00+00:00,0.02675,ppm,no2
2024-01-08 15:00:00+00:00,0.02795,ppm,no2
2024-01-08 16:00:00+00:00,0.0291,ppm,no2
2024-01-08 17:00:00+00:00,0.0262,ppm,no2
2024-01-08 18:00:00+00:00,0.019675,ppm,no2
2024-01-08 19:00:00+00:00,0.016,ppm,no2
2024-01-08 20:00:00+00:00,0.017175,ppm,no2
2024-01-08 21:00:00+00:00,0.01575,ppm,no2
2024-01-08 22:00:00+00:00,0.0138,ppm,no2
2024-01-08 23:00:00+00:00,0.01325,ppm,no2
2024-01-09 00:00:00+00:00,0.016075,ppm,no2
2024-01-09 01:00:00+00:00,0.022449999999999998,ppm,no2
2024-01-09 02:00:00+00:00,0.025925,ppm,no2
2024-01-09 03:00:00+00:00,0.0324,ppm,no2
2024-01-09 04:00:00+00:00,0.030600000000000002,ppm,no2
2024-01-09 05:00:00+00:00,0.030625,ppm,no2
2024-01-09 06:00:00+00:00,0.0314,ppm,no2
2024-01-09 07:00:00+00:00,0.029900000000000003,ppm,no2
2024-01-09 08:00:00+00:00,0.0294,ppm,no2
2024-01-09 09:00:00+00:00,0.02825,ppm,no2
2024-01-09 10:00:00+00:00,0.026525,ppm,no2
2024-01-09 11:00:00+00:00,0.026025,ppm,no2
2024-01-09 12:00:00+00:00,0.0262,ppm,no2
2024-01-09 13:00:00+00:00,0.0315,ppm,no2
2024-01-09 14:00:00+00:00,0.03365,ppm,no2
2024-01-09 15:00:00+00:00,0.031975,ppm,no2
2024-01-09 16:00:00+00:00,0.0337,ppm,no2
2024-01-09 17:00:00+00:00,0.02895,ppm,no2
2024-01-09 18:00:00+00:00,0.022350000000000002,ppm,no2
2024-01-09 19:00:00+00:00,0.017,ppm,no2
2024-01-09 20:00:00+00:00,0.01465,ppm,no2
2024-01-09 21:00:00+00:00,0.019775,ppm,no2
2024-01-09 22:00:00+00:00,0.0171,ppm,no2
2024-01-09 23:00:00+00:00,0.0217,ppm,no2
2024-01-10 00:00:00+00:00,0.021075,ppm,no2
2024-01-10 01:00:00+00:00,0.022775,ppm,no2
2024-01-10 02:00:00+00:00,0.028624999999999998,ppm,no2
2024-01-10 03:00:00+00:00,0.0359,ppm,no2
2024-01-10 04:00:00+00:00,0.0342,ppm,no2
2024-01-10 05:00:00+00:00,0.032775,ppm,no2
2024-01-10 06:00:00+00:00,0.035225,ppm,no2
2024-01-10 07:00:00+00:00,0.032275,ppm,no2
2024-01-10 08:00:00+00:00,0.031675,ppm,no2
