day,average,coverage,unit,parameter
2024-01-01,25.849999999999998,96.0,µg/m³,pm25
2024-01-02,14.85,100.0,µg/m³,pm25
2024-01-03,9.715,100.0,µg/m³,pm25
2024-01-04,7.805,100.0,µg/m³,pm25
2024-01-05,11.5,100.0,µg/m³,pm25
2024-01-06,13.5,100.0,µg/m³,pm25
2024-01-07,3.23,100.0,µg/m³,pm25
2024-01-08,6.875,100.0,µg/m³,pm25
2024-01-09,11.91,100.0,µg/m³,pm25
2024-01-10,14.05,91.5,µg/m³,pm25
2024-01-11,6.265000000000001,100.0,µg/m³,pm25
2024-01-12,11.45,100.0,µg/m³,pm25
2024-01-13,19.3,96.0,µg/m³,pm25
2024-01-14,20.6,100.0,µg/m³,pm25
2024-01-15,24.5,100.0,µg/m³,pm25
2024-01-16,24.75,100.0,µg/m³,pm25
2024-01-17,22.55,100.0,µg/m³,pm25
2024-01-18,17.450000000000003,100.0,µg/m³,pm25
2024-01-19,18.450000000000003,94.0,µg/m³,pm25
2024-01-20,12.8,100.0,µg/m³,pm25
2024-01-21,7.285,100.0,µg/m³,pm25
2024-01-22,4.965,100.0,µg/m³,pm25
2024-01-23,9.14,100.0,µg/m³,pm25
2024-01-24,9.235,100.0,µg/m³,pm25
2024-01-25,7.4350000000000005,100.0,µg/m³,pm25
2024-01-26,12.25,100.0,µg/m³,pm25
2024-01-27,12.55,96.0,µg/m³,pm25
2024-01-28,13.66,100.0,µg/m³,pm25
2024-01-29,10.614999999999998,100.0,µg/m³,pm25
2024-01-30,14.0,100.0,µg/m³,pm25
2024-01-31,17.9,67.0,µg/m³,pm25
2024-02-01,5.58,54.0,µg/m³,pm25
2024-02-02,9.42,69.0,µg/m³,pm25
2024-02-03,7.56,96.0,µg/m³,pm25
2024-02-04,4.9,100.0,µg/m³,pm25
2024-02-05,3.83,100.0,µg/m³,pm25
2024-02-06,5.95,100.0,µg/m³,pm25
2024-02-07,4.13,77.0,µg/m³,pm25
2024-02-08,5.38,94.0,µg/m³,pm25
2024-02-09,4.3100000000000005,100.0,µg/m³,pm25
2024-02-10,8.969999999999999,100.0,µg/m³,pm25
2024-02-11,10.635,100.0,µg/m³,pm25
2024-02-12,10.965,100.0,µg/m³,pm25
2024-02-13,11.3,100.0,µg/m³,pm25
2024-02-14,11.9,96.0,µg/m³,pm25
2024-02-15,9.815,100.0,µg/m³,pm25
2024-02-16,14.15,100.0,µg/m³,pm25
2024-02-17,20.75,100.0,µg/m³,pm25
2024-02-18,8.004999999999999,100.0,µg/m³,pm25
2024-02-19,2.9050000000000002,100.0,µg/m³,pm25
2024-02-20,2.73,100.0,µg/m³,pm25
2024-02-21,3.145,94.0,µg/m³,pm25
2024-02-22,10.649999999999999,100.0,µg/m³,pm25
2024-02-23,8.25,100.0,µg/m³,pm25
2024-02-24,9.96,96.0,µg/m³,pm25
2024-02-25,11.600000000000001,100.0,µg/m³,pm25
2024-02-26,12.649999999999999,100.0,µg/m³,pm25
2024-02-27,11.100000000000001,100.0,µg/m³,pm25
2024-02-28,11.850000000000001,100.0,µg/m³,pm25
2024-02-29,7.635,100.0,µg/m³,pm25
2024-03-01,2.7199999999999998,100.0,µg/m³,pm25
2024-03-02,1.6315,100.0,µg/m³,pm25
2024-03-03,4.24,96.0,µg/m³,pm25
2024-03-04,8.1,100.0,µg/m³,pm25
2024-03-05,6.515000000000001,100.0,µg/m³,pm25
2024-03-06,4.67,94.0,µg/m³,pm25
2024-03-07,5.92,100.0,µg/m³,pm25
2024-03-08,9.36,96.0,µg/m³,pm25
2024-03-09,11.85,51.0,µg/m³,pm25
2024-03-10,9.364999999999998,96.0,µg/m³,pm25
2024-03-11,6.109999999999999,100.0,µg/m³,pm25
2024-03-12,5.765000000000001,94.0,µg/m³,pm25
2024-03-13,6.630000000000001,100.0,µg/m³,pm25
2024-03-14,7.385,96.0,µg/m³,pm25
2024-03-15,5.33,100.0,µg/m³,pm25
2024-03-16,6.33,100.0,µg/m³,pm25
2024-03-17,9.094999999999999,100.0,µg/m³,pm25
2024-03-18,10.85,100.0,µg/m³,pm25
2024-03-19,11.149999999999999,92.0,µg/m³,pm25
2024-03-20,17.0,65.0,µg/m³,pm25
2024-03-21,13.65,94.0,µg/m³,pm25
2024-03-22,17.05,100.0,µg/m³,pm25
2024-03-23,4.825,100.0,µg/m³,pm25
2024-03-24,3.83,100.0,µg/m³,pm25
2024-03-25,6.535,100.0,µg/m³,pm25
2024-03-26,8.11,94.0,µg/m³,pm25
2024-03-27,11.05,100.0,µg/m³,pm25
2024-03-28,8.36,100.0,µg/m³,pm25
2024-03-29,7.015,100.0,µg/m³,pm25
2024-03-30,3.625,100.0,µg/m³,pm25
2024-03-31,4.525,100.0,µg/m³,pm25
2024-04-01,7.59,100.0,µg/m³,pm25
2024-04-02,8.865,100.0,µg/m³,pm25
