day,average,coverage,unit,parameter
2024-01-01,114.84285714285714,100.0,µg/m³,pm10
2024-01-02,36.714285714285715,100.0,µg/m³,pm10
2024-01-03,32.114285714285714,99.42857142857143,µg/m³,pm10
2024-01-04,8.968571428571428,97.57142857142857,µg/m³,pm10
2024-01-05,25.142857142857142,98.85714285714286,µg/m³,pm10
2024-01-06,26.271428571428572,100.0,µg/m³,pm10
2024-01-07,10.698571428571428,100.0,µg/m³,pm10
2024-01-08,16.87142857142857,98.85714285714286,µg/m³,pm10
2024-01-09,28.285714285714285,97.14285714285714,µg/m³,pm10
2024-01-10,32.84285714285714,56.857142857142854,µg/m³,pm10
2024-01-11,38.98571428571428,100.0,µg/m³,pm10
2024-01-12,41.4,100.0,µg/m³,pm10
2024-01-13,27.642857142857142,96.0,µg/m³,pm10
2024-01-14,31.2,100.0,µg/m³,pm10
2024-01-15,43.42857142857143,100.0,µg/m³,pm10
2024-01-16,44.142857142857146,99.42857142857143,µg/m³,pm10
2024-01-17,42.01428571428572,93.0,µg/m³,pm10
2024-01-18,39.199999999999996,100.0,µg/m³,pm10
2024-01-19,39.714285714285715,99.42857142857143,µg/m³,pm10
2024-01-20,41.17142857142857,100.0,µg/m³,pm10
2024-01-21,15.120000000000001,100.0,µg/m³,pm10
2024-01-22,13.635714285714286,93.42857142857143,µg/m³,pm10
2024-01-23,4.35,91.14285714285714,µg/m³,pm10
2024-01-24,16.571428571428573,98.85714285714286,µg/m³,pm10
2024-01-25,20.928571428571427,100.0,µg/m³,pm10
2024-01-26,21.771428571428572,100.0,µg/m³,pm10
2024-01-27,19.895714285714288,96.0,µg/m³,pm10
2024-01-28,12.891428571428571,100.0,µg/m³,pm10
2024-01-29,33.885714285714286,97.0,µg/m³,pm10
2024-01-30,36.91428571428571,100.0,µg/m³,pm10
2024-01-31,31.099999999999998,69.14285714285714,µg/m³,pm10
2024-02-01,40.885714285714286,50.0,µg/m³,pm10
2024-02-02,7.217142857142858,100.0,µg/m³,pm10
2024-02-03,16.114285714285714,96.0,µg/m³,pm10
2024-02-04,13.691428571428572,100.0,µg/m³,pm10
2024-02-05,19.045714285714286,96.42857142857143,µg/m³,pm10
2024-02-06,16.36,98.28571428571429,µg/m³,pm10
2024-02-07,5.171428571428572,97.14285714285714,µg/m³,pm10
2024-02-08,6.2700000000000005,100.0,µg/m³,pm10
2024-02-09,13.065714285714288,100.0,µg/m³,pm10
2024-02-10,5.38,100.0,µg/m³,pm10
2024-02-11,10.024285714285714,100.0,µg/m³,pm10
2024-02-12,22.457142857142856,100.0,µg/m³,pm10
2024-02-13,25.6,99.42857142857143,µg/m³,pm10
2024-02-14,26.47142857142857,94.14285714285714,µg/m³,pm10
2024-02-15,28.228571428571428,98.28571428571429,µg/m³,pm10
2024-02-16,31.87142857142857,98.85714285714286,µg/m³,pm10
2024-02-17,27.457142857142856,100.0,µg/m³,pm10
2024-02-18,23.814285714285713,100.0,µg/m³,pm10
2024-02-19,26.82857142857143,100.0,µg/m³,pm10
2024-02-20,27.242857142857144,97.71428571428571,µg/m³,pm10
2024-02-21,26.957142857142856,97.14285714285714,µg/m³,pm10
2024-02-22,23.12857142857143,96.42857142857143,µg/m³,pm10
2024-02-23,25.957142857142856,100.0,µg/m³,pm10
2024-02-24,27.67142857142857,96.0,µg/m³,pm10
2024-02-25,23.228571428571428,100.0,µg/m³,pm10
2024-02-26,43.385714285714286,100.0,µg/m³,pm10
2024-02-27,27.02857142857143,98.28571428571429,µg/m³,pm10
2024-02-28,29.242857142857144,100.0,µg/m³,pm10
2024-02-29,16.442857142857143,98.28571428571429,µg/m³,pm10
2024-03-01,24.214285714285715,100.0,µg/m³,pm10
