datetime,value,unit,parameter
2024-01-01 08:00:00+00:00,0.0182,ppm,no2
2024-01-01 09:00:00+00:00,0.01625,ppm,no2
2024-01-01 10:00:00+00:00,0.0134,ppm,no2
2024-01-01 12:00:00+00:00,0.01235,ppm,no2
2024-01-01 13:00:00+00:00,0.01015,ppm,no2
2024-01-01 14:00:00+00:00,0.01115,ppm,no2
2024-01-01 15:00:00+00:00,0.0127,ppm,no2
2024-01-01 16:00:00+00:00,0.011349999999999999,ppm,no2
2024-01-01 17:00:00+00:00,0.00785,ppm,no2
2024-01-01 18:00:00+00:00,0.0057,ppm,no2
2024-01-01 19:00:00+00:00,0.005900000000000001,ppm,no2
2024-01-01 20:00:00+00:00,0.00585,ppm,no2
2024-01-01 21:00:00+00:00,0.0075,ppm,no2
2024-01-01 22:00:00+00:00,0.007350000000000001,ppm,no2
2024-01-01 23:00:00+00:00,0.0084,ppm,no2
2024-01-02 00:00:00+00:00,0.01055,ppm,no2
2024-01-02 01:00:00+00:00,0.014249999999999999,ppm,no2
2024-01-02 02:00:00+00:00,0.01755,ppm,no2
2024-01-02 03:00:00+00:00,0.02305,ppm,no2
2024-01-02 04:00:00+00:00,0.02355,ppm,no2
2024-01-02 06:00:00+00:00,0.016649999999999998,ppm,no2
2024-01-02 07:00:00+00:00,0.015899999999999997,ppm,no2
2024-01-02 08:00:00+00:00,0.01375,ppm,no2
2024-01-02 09:00:00+00:00,0.012750000000000001,ppm,no2
2024-01-02 10:00:00+00:00,0.012,ppm,no2
2024-01-02 12:00:00+00:00,0.0155,ppm,no2
2024-01-02 13:00:00+00:00,0.011550000000000001,ppm,no2
2024-01-02 14:00:00+00:00,0.0126,ppm,no2
2024-01-02 15:00:00+00:00,0.0157,ppm,no2
2024-01-02 16:00:00+00:00,0.015200000000000002,ppm,no2
2024-01-02 17:00:00+00:00,0.0116,ppm,no2
2024-01-02 18:00:00+00:00,0.00805,ppm,no2
2024-01-02 19:00:00+00:00,0.0086,ppm,no2
2024-01-02 20:00:00+00:00,0.006,ppm,no2
2024-01-02 21:00:00+00:00,0.00455,ppm,no2
2024-01-02 22:00:00+00:00,0.00585,ppm,no2
2024-01-02 23:00:00+00:00,0.0055,ppm,no2
2024-01-03 00:00:00+00:00,0.0036,ppm,no2
2024-01-03 01:00:00+00:00,0.0052,ppm,no2
2024-01-03 02:00:00+00:00,0.00635,ppm,no2
2024-01-03 03:00:00+00:00,0.00835,ppm,no2
2024-01-03 04:00:00+00:00,0.00575,ppm,no2
2024-01-03 06:00:00+00:00,0.00715,ppm,no2
2024-01-03 07:00:00+00:00,0.00775,ppm,no2
2024-01-03 08:00:00+00:00,0.00835,ppm,no2
2024-01-03 09:00:00+00:00,0.008150000000000001,ppm,no2
2024-01-03 10:00:00+00:00,0.0059,ppm,no2
2024-01-03 12:00:00+00:00,0.01265,ppm,no2
2024-01-03 13:00:00+00:00,0.01635,ppm,no2
2024-01-03 14:00:00+00:00,0.01905,ppm,no2
2024-01-03 15:00:00+00:00,0.0172,ppm,no2
2024-01-03 16:00:00+00:00,0.01525,ppm,no2
2024-01-03 17:00:00+00:00,0.0144,ppm,no2
2024-01-03 18:00:00+00:00,0.0113,ppm,no2
2024-01-03 19:00:00+00:00,0.010499999999999999,ppm,no2
2024-01-03 20:00:00+00:00,0.0072499999999999995,ppm,no2
2024-01-03 21:00:00+00:00,0.00545,ppm,no2
2024-01-03 22:00:00+00:00,0.007,ppm,no2
2024-01-03 23:00:00+00:00,0.0060999999999999995,ppm,no2
2024-01-04 00:00:00+00:00,0.0076500000000000005,ppm,no2
2024-01-04 01:00:00+00:00,0.0137,ppm,no2
2024-01-04 02:00:00+00:00,0.0126,ppm,no2
2024-01-04 03:00:00+00:00,0.009649999999999999,ppm,no2
2024-01-04 04:00:00+00:00,0.01035,ppm,no2
2024-01-04 06:00:00+00:00,0.012400000000000001,ppm,no2
2024-01-04 07:00:00+00:00,0.01275,ppm,no2
2024-01-04 08:00:00+00:00,0.017849999999999998,ppm,no2
2024-01-04 09:00:00+00:00,0.017,ppm,no2
2024-01-04 10:00:00+00:00,0.0201,ppm,no2
2024-01-04 12:00:00+00:00,0.01905,ppm,no2
2024-01-04 13:00:00+00:00,0.01925,ppm,no2
2024-01-04 14:00:00+00:00,0.02145,ppm,no2
2024-01-04 15:00:00+00:00,0.019549999999999998,ppm,no2
2024-01-04 16:00:00+00:00,0.024,ppm,no2
2024-01-04 17:00:00+00:00,0.02735,ppm,no2
2024-01-04 18:00:00+00:00,0.01,ppm,no2
2024-01-04 19:00:00+00:00,0.0085,ppm,no2
2024-01-04 20:00:00+00:00,0.0085,ppm,no2
2024-01-04 21:00:00+00:00,0.00575,ppm,no2
2024-01-04 22:00:00+00:00,0.0085,ppm,no2
2024-01-04 23:00:00+00:00,0.01015,ppm,no2
2024-01-05 00:00:00+00:00,0.012400000000000001,ppm,no2
2024-01-05 01:00:00+00:00,0.019,ppm,no2
2024-01-05 02:00:00+00:00,0.020900000000000002,ppm,no2
2024-01-05 03:00:00+00:00,0.02315,ppm,no2
2024-01-05 04:00:00+00:00,0.0235,ppm,no2
2024-01-05 06:00:00+00:00,0.0254,ppm,no2
2024-01-05 07:00:00+00:00,0.02195,ppm,no2
2024-01-05 08:00:00+00:00,0.02105,ppm,no2
2024-01-05 09:00:00+00:00,0.01865,ppm,no2
2024-01-05 10:00:00+00:00,0.0199,ppm,no2
2024-01-05 12:00:00+00:00,0.0168,ppm,no2
2024-01-05 13:00:00+00:00,0.0187,ppm,no2
2024-01-05 14:00:00+00:00,0.0195,ppm,no2
2024-01-05 15:00:00+00:00,0.022850000000000002,ppm,no2
2024-01-05 16:00:00+00:00,0.02345,ppm,no2
2024-01-05 17:00:00+00:00,0.01765,ppm,no2
2024-01-05 18:00:00+00:00,0.0121,ppm,no2
2024-01-05 19:00:00+00:00,0.0101,ppm,no2
2024-01-05 20:00:00+00:00,0.00835,ppm,no2
2024-01-05 21:00:00+00:00,0.00915,ppm,no2
2024-01-05 22:00:00+00:00,0.0103,ppm,no2
2024-01-05 23:00:00+00:00,0.01235,ppm,no2
2024-01-06 00:00:00+00:00,0.014249999999999999,ppm,no2
2024-01-06 01:00:00+00:00,0.01985,ppm,no2
2024-01-06 02:00:00+00:00,0.0303,ppm,no2
2024-01-06 03:00:00+00:00,0.03085,ppm,no2
2024-01-06 04:00:00+00:00,0.0309,ppm,no2
2024-01-06 06:00:00+00:00,0.0245,ppm,no2
2024-01-06 07:00:00+00:00,0.022850000000000002,ppm,no2
2024-01-06 08:00:00+00:00,0.0214,ppm,no2
2024-01-06 09:00:00+00:00,0.02065,ppm,no2
2024-01-06 10:00:00+00:00,0.0206,ppm,no2
2024-01-06 12:00:00+00:00,0.01795,ppm,no2
2024-01-06 13:00:00+00:00,0.0177,ppm,no2
2024-01-06 14:00:00+00:00,0.0164,ppm,no2
2024-01-06 15:00:00+00:00,0.0174,ppm,no2
2024-01-06 16:00:00+00:00,0.01585,ppm,no2
2024-01-06 17:00:00+00:00,0.01395,ppm,no2
2024-01-06 18:00:00+00:00,0.01015,ppm,no2
2024-01-06 19:00:00+00:00,0.0089,ppm,no2
2024-01-06 20:00:00+00:00,0.01065,ppm,no2
2024-01-06 21:00:00+00:00,0.01205,ppm,no2
2024-01-06 22:00:00+00:00,0.0114,ppm,no2
2024-01-06 23:00:00+00:00,0.01125,ppm,no2
2024-01-07 00:00:00+00:00,0.015349999999999999,ppm,no2
2024-01-07 01:00:00+00:00,0.01225,ppm,no2
2024-01-07 02:00:00+00:00,0.01205,ppm,no2
2024-01-07 03:00:00+00:00,0.01145,ppm,no2
2024-01-07 04:00:00+00:00,0.0118,ppm,no2
