day,average,coverage,unit,parameter
2024-01-01,25.316666666666666,98.66666666666667,µg/m³,pm25
2024-01-02,5.452500000000001,76.25,µg/m³,pm25
2024-01-03,1.996,93.0,µg/m³,pm25
2024-01-04,5.45775,92.0,µg/m³,pm25
2024-01-05,7.44475,89.5,µg/m³,pm25
2024-01-06,6.11425,96.0,µg/m³,pm25
2024-01-07,6.699949999999999,94.0,µg/m³,pm25
2024-01-08,7.0165,89.5,µg/m³,pm25
2024-01-09,4.5802499999999995,94.0,µg/m³,pm25
2024-01-10,5.179,96.0,µg/m³,pm25
2024-01-11,3.9755825,96.0,µg/m³,pm25
2024-01-12,6.15,90.0,µg/m³,pm25
2024-01-13,3.83775,89.5,µg/m³,pm25
2024-01-14,2.87425,93.0,µg/m³,pm25
2024-01-15,14.4325,94.0,µg/m³,pm25
2024-01-16,13.4375,92.0,µg/m³,pm25
2024-01-17,4.875,95.0,µg/m³,pm25
2024-01-18,9.71025,89.0,µg/m³,pm25
2024-01-19,6.5325,96.0,µg/m³,pm25
2024-01-20,1.4617499999999999,91.0,µg/m³,pm25
2024-01-21,0.48225000000000007,95.0,µg/m³,pm25
2024-01-22,1.827375,96.0,µg/m³,pm25
2024-01-23,2.2747,86.25,µg/m³,pm25
2024-01-24,3.1425,94.0,µg/m³,pm25
2024-01-25,6.19,87.5,µg/m³,pm25
2024-01-26,7.2265,44.0,µg/m³,pm25
2024-01-27,10.40128,75.0,µg/m³,pm25
2024-01-28,15.062700000000001,88.0,µg/m³,pm25
2024-01-29,12.01,67.0,µg/m³,pm25
2024-01-30,32.565,54.0,µg/m³,pm25
2024-01-31,2.79,79.0,µg/m³,pm25
2024-02-01,3.58,67.0,µg/m³,pm25
2024-02-02,6.97,79.0,µg/m³,pm25
2024-02-03,1.84,79.0,µg/m³,pm25
2024-02-04,0.15999999999999995,79.33333333333333,µg/m³,pm25
2024-02-05,5.25,81.5,µg/m³,pm25
2024-02-06,8.895,77.5,µg/m³,pm25
2024-02-07,4.835,75.0,µg/m³,pm25
2024-02-08,6.779999999999999,81.5,µg/m³,pm25
2024-02-09,11.575,83.5,µg/m³,pm25
2024-02-10,23.6,87.5,µg/m³,pm25
2024-02-11,15.5,81.5,µg/m³,pm25
2024-02-12,21.200000000000003,85.5,µg/m³,pm25
2024-02-13,15.375,89.5,µg/m³,pm25
2024-02-14,4.49,85.5,µg/m³,pm25
2024-02-15,6.744999999999999,89.5,µg/m³,pm25
2024-02-16,11.55,94.0,µg/m³,pm25
2024-02-17,3.325,87.5,µg/m³,pm25
2024-02-18,0.758,94.0,µg/m³,pm25
2024-02-19,3.175,94.0,µg/m³,pm25
2024-02-20,3.33,79.5,µg/m³,pm25
2024-02-21,5.273333333333333,69.33333333333333,µg/m³,pm25
2024-02-22,6.986666666666667,89.0,µg/m³,pm25
2024-02-23,12.29,91.66666666666667,µg/m³,pm25
2024-02-24,13.163333333333334,87.66666666666667,µg/m³,pm25
