day,average,coverage,unit,parameter
2024-01-01,18.7,96.0,µg/m³,pm10
2024-01-02,16.2,96.0,µg/m³,pm10
2024-01-03,9.48,96.0,µg/m³,pm10
2024-01-04,15.8,92.0,µg/m³,pm10
2024-01-05,24.4,96.0,µg/m³,pm10
2024-01-06,24.3,96.0,µg/m³,pm10
2024-01-07,10.4,96.0,µg/m³,pm10
2024-01-08,20.3,96.0,µg/m³,pm10
2024-01-09,30.0,88.0,µg/m³,pm10
2024-01-10,22.0,96.0,µg/m³,pm10
2024-01-11,12.5,96.0,µg/m³,pm10
2024-01-12,23.5,96.0,µg/m³,pm10
2024-01-13,28.4,96.0,µg/m³,pm10
2024-01-14,28.8,96.0,µg/m³,pm10
2024-01-15,13.9,96.0,µg/m³,pm10
2024-01-16,15.7,96.0,µg/m³,pm10
2024-01-17,22.8,96.0,µg/m³,pm10
2024-01-18,18.8,83.0,µg/m³,pm10
2024-01-19,31.0,88.0,µg/m³,pm10
2024-01-20,14.3,96.0,µg/m³,pm10
2024-01-21,6.0,96.0,µg/m³,pm10
2024-01-22,6.35,96.0,µg/m³,pm10
2024-01-23,9.27,92.0,µg/m³,pm10
2024-01-24,11.9,96.0,µg/m³,pm10
2024-01-25,11.8,96.0,µg/m³,pm10
2024-01-26,19.0,96.0,µg/m³,pm10
2024-01-27,25.7,96.0,µg/m³,pm10
2024-01-28,29.7,96.0,µg/m³,pm10
2024-01-29,34.9,96.0,µg/m³,pm10
2024-01-30,42.6,96.0,µg/m³,pm10
2024-01-31,29.3,67.0,µg/m³,pm10
2024-02-01,5.85,54.0,µg/m³,pm10
2024-02-02,8.96,96.0,µg/m³,pm10
2024-02-03,11.2,96.0,µg/m³,pm10
2024-02-04,13.6,96.0,µg/m³,pm10
2024-02-05,5.04,96.0,µg/m³,pm10
2024-02-06,5.64,92.0,µg/m³,pm10
2024-02-07,8.13,96.0,µg/m³,pm10
2024-02-08,11.6,96.0,µg/m³,pm10
2024-02-09,18.3,96.0,µg/m³,pm10
2024-02-10,16.0,96.0,µg/m³,pm10
2024-02-11,20.5,96.0,µg/m³,pm10
2024-02-12,27.3,96.0,µg/m³,pm10
2024-02-13,32.0,96.0,µg/m³,pm10
2024-02-14,26.0,96.0,µg/m³,pm10
2024-02-15,12.3,96.0,µg/m³,pm10
2024-02-16,22.7,96.0,µg/m³,pm10
2024-02-17,20.2,96.0,µg/m³,pm10
2024-02-18,9.26,96.0,µg/m³,pm10
2024-02-19,9.09,96.0,µg/m³,pm10
2024-02-20,13.7,96.0,µg/m³,pm10
2024-02-21,8.65,96.0,µg/m³,pm10
2024-02-22,16.7,92.0,µg/m³,pm10
2024-02-23,23.8,96.0,µg/m³,pm10
2024-02-24,29.7,96.0,µg/m³,pm10
2024-02-25,26.6,96.0,µg/m³,pm10
2024-02-26,23.0,96.0,µg/m³,pm10
2024-02-27,14.7,96.0,µg/m³,pm10
2024-02-28,26.1,96.0,µg/m³,pm10
2024-02-29,20.5,96.0,µg/m³,pm10
2024-03-01,7.65,96.0,µg/m³,pm10
2024-03-02,5.17,96.0,µg/m³,pm10
2024-03-03,6.61,96.0,µg/m³,pm10
2024-03-04,8.65,96.0,µg/m³,pm10
2024-03-05,20.4,96.0,µg/m³,pm10
2024-03-06,15.3,96.0,µg/m³,pm10
2024-03-07,12.0,92.0,µg/m³,pm10
2024-03-08,19.9,96.0,µg/m³,pm10
2024-03-09,22.8,51.0,µg/m³,pm10
2024-03-10,13.9,96.0,µg/m³,pm10
2024-03-11,16.9,96.0,µg/m³,pm10
2024-03-12,9.48,96.0,µg/m³,pm10
2024-03-13,16.9,96.0,µg/m³,pm10
2024-03-14,20.7,96.0,µg/m³,pm10
2024-03-15,29.7,96.0,µg/m³,pm10
2024-03-16,29.5,96.0,µg/m³,pm10
2024-03-17,21.2,96.0,µg/m³,pm10
2024-03-18,39.8,96.0,µg/m³,pm10
2024-03-19,37.9,75.0,µg/m³,pm10
2024-03-20,24.8,25.0,µg/m³,pm10
2024-03-21,23.3,96.0,µg/m³,pm10
2024-03-22,35.8,100.0,µg/m³,pm10
