datetime,pm25,pm10,o3,co,so2,no2
2024-01-01,39.3,47.0,0.003125,2.0,0.0085,
2024-01-02,10.3,14.8,0.007000000000000001,0.8,0.0043,
2024-01-03,4.42,7.42,0.024000000000000004,0.6,0.0022,
2024-01-04,1.755,8.5,0.03925,0.1,0.001,
2024-01-05,16.15,22.3,0.036,0.6,0.0041,
2024-01-06,21.15,24.5,0.0037500000000000003,0.9,0.0072,
2024-01-07,10.9,16.6,0.003125,0.6,0.0058,
2024-01-08,6.855,10.3,0.008749999999999999,0.2,0.0017,
2024-01-09,4.869999999999999,7.21,0.02575,0.3,0.0017,
2024-01-10,11.285,17.9,0.019375,1.0,0.005,
2024-01-11,19.1,28.7,0.0072499999999999995,0.8,0.0058,
2024-01-12,17.85,26.1,0.0036249999999999998,0.8,0.0057,
2024-01-13,13.95,18.0,0.0034999999999999996,0.4,0.0047,
2024-01-14,4.955,8.08,0.028125,0.2,0.0015,
2024-01-15,4.19,8.0,0.026875000000000003,0.5,0.0031,
2024-01-16,4.73,8.0,0.017875,0.3,0.0022,
2024-01-17,12.65,14.8,0.0335,0.3,0.0017,
2024-01-18,17.85,22.8,0.006,0.7,0.0046,
2024-01-19,19.1,23.3,0.003,0.5,0.0039,
2024-01-20,9.64,16.6,0.01225,0.2,0.0014,
2024-01-21,12.14,18.9,0.036125000000000004,0.4,0.0043,
2024-01-22,33.45,33.1,0.007,0.6,0.0064,
2024-01-23,23.5,33.3,0.00375,0.6,0.0038,
2024-01-24,19.3,27.3,0.004375,0.6,0.0063,
2024-01-25,26.3,27.4,0.005000000000000001,0.5,0.0054,
2024-01-26,24.6,30.8,0.005125,1.0,0.0062,
2024-01-27,12.7,17.0,0.00625,0.3,0.0028,
2024-01-28,9.5,10.7,0.007375,0.3,0.0026,
2024-01-29,2.31,3.22,0.021249999999999998,0.2,0.0009,
2024-01-30,7.695,10.2,0.022625,0.2,0.0016,
2024-01-31,12.65,16.4,0.018625000000000003,0.7,0.0066,
2024-02-01,21.1,30.3,0.0063750000000000005,0.7,0.0056,
2024-02-02,22.700000000000003,32.7,0.00525,0.9,0.0066,
2024-02-03,28.2,33.5,0.0045000000000000005,1.2,0.0101,
2024-02-04,21.65,25.4,0.004625000000000001,1.3,0.0066,
2024-02-05,24.15,25.7,0.004875,0.8,0.0068,
2024-02-06,18.35,24.0,0.004125,0.7,0.0049,
2024-02-07,22.45,25.9,0.0045,0.4,0.0057,
2024-02-08,25.9,36.9,0.00425,0.6,0.0069,
2024-02-09,14.5,21.9,0.0045,0.8,0.0084,
2024-02-10,17.4,22.8,0.00375,0.7,0.0083,
2024-02-11,12.2,16.3,0.00925,0.4,0.0048,
2024-02-12,18.4,26.1,0.0115,0.7,0.006,
2024-02-13,1.6005,7.04,0.035875,0.2,0.0012,
2024-02-14,8.81,26.1,0.04075,0.3,0.0017,
2024-02-15,14.7,26.0,0.018125,0.5,0.0044,
2024-02-16,15.0,25.7,0.007,0.4,0.0036,
2024-02-17,18.8,27.0,0.007875,0.7,0.0072,
2024-02-18,17.25,23.6,0.0063750000000000005,0.5,0.0073,
2024-02-19,13.05,18.8,0.0072499999999999995,0.4,0.0053,
2024-02-20,5.775,10.7,0.032,0.2,0.0011,
2024-02-21,4.49,8.42,0.03525,0.2,0.0012,
2024-02-22,2.5,10.1,0.0365,0.2,0.0007,
2024-02-23,6.51,11.3,0.038875,0.5,0.0009,
2024-02-24,7.875,12.2,0.026375,0.3,0.0044,
2024-02-25,4.71,6.88,0.024375,0.2,0.0011,
2024-02-26,5.01,10.0,0.03025,0.2,0.0005,
2024-02-27,6.154999999999999,11.4,0.03725,0.2,0.004,
2024-02-28,12.15,22.5,0.025,0.2,0.0026,
2024-02-29,14.8,23.4,0.023375,0.2,0.0017,
2024-03-01,16.7,22.3,0.018500000000000003,0.3,0.0044,
2024-03-02,16.15,26.0,0.019,0.3,0.0039,
2024-03-03,9.205,20.2,0.020874999999999998,0.2,0.0022,
2024-03-04,9.68,28.3,0.03125,0.2,0.0027,
2024-03-05,8.135,13.8,0.024375,0.2,0.002,
2024-03-06,6.57,11.2,0.028625,0.2,0.0013,
2024-03-07,3.575,7.57,0.030625,0.2,0.0018,
2024-03-08,5.67,8.57,0.023,0.2,0.0018,
2024-03-09,2.7,4.54,0.029,0.2,0.001,
2024-03-10,2.47,4.73,0.034125,0.2,0.0007,
2024-03-11,3.79,8.39,0.03175,0.2,0.0007,
2024-03-12,5.705,15.6,0.02575,0.2,0.001,
2024-03-13,6.65,13.3,0.018375,0.2,0.0036,
2024-03-14,3.9,4.87,0.015249999999999998,0.2,0.0019,
2024-03-15,6.555,11.0,0.015374999999999998,0.2,0.0009,
2024-03-16,4.82,8.0,0.018499999999999996,0.2,0.0028,
2024-03-17,2.045,5.27,0.028999999999999998,0.2,0.0011,
2024-03-18,5.315,6.74,0.027124999999999996,0.2,0.0008,
2024-03-19,10.65,21.5,0.026375,0.3,0.0031,
2024-03-20,7.869999999999999,14.1,0.011,0.4,0.0006,
