datetime,pm25,pm10,o3,co,so2,no2
2024-01-01,241.5,476.0,,,,
2024-01-02,174.0,350.0,,,,
2024-01-03,214.0,426.0,,,,
2024-01-04,244.5,511.0,,,,
2024-01-05,276.0,592.0,,,,
2024-01-06,224.0,455.0,,,,
2024-01-07,260.5,482.0,,,,
2024-01-08,257.5,506.0,,,,
2024-01-09,238.0,480.0,,,,
2024-01-10,276.0,528.0,,,,
2024-01-11,245.5,527.0,,,,
2024-01-12,267.0,513.0,,,,
2024-01-13,220.0,453.0,,,,
2024-01-14,276.5,551.0,,,,
2024-01-15,264.5,528.0,,,,
2024-01-16,342.0,712.0,,,,
2024-01-17,281.0,644.0,,,,
2024-01-18,239.0,542.0,,,,
2024-01-19,229.0,449.0,,,,
2024-01-20,195.5,414.0,,,,
2024-01-21,193.5,379.0,,,,
2024-01-22,205.5,389.0,,,,
2024-01-23,275.5,585.0,,,,
2024-01-24,240.5,462.0,,,,
2024-01-25,148.35,472.0,,,,
2024-01-26,97.645,458.0,,,,
2024-01-27,101.5,458.0,,,,
2024-01-28,98.31,444.0,,,,
2024-01-29,151.0,325.0,,,,
2024-01-30,166.0,301.0,,,,
2024-01-31,125.25,194.0,,,,
2024-02-01,74.1,128.0,,,,
2024-02-02,100.95,185.0,,,,
2024-02-03,115.5,217.0,,,,
2024-02-04,151.0,293.0,,,,
2024-02-05,151.5,296.0,,,,
2024-02-06,134.5,264.0,,,,
2024-02-07,83.4,152.0,,,,
2024-02-08,101.2,163.0,,,,
2024-02-09,161.5,285.0,,,,
2024-02-10,192.5,317.0,,,,
2024-02-11,267.5,495.0,,,,
2024-02-12,236.0,474.0,,,,
2024-02-13,212.0,406.0,,,,
2024-02-14,148.0,243.0,,,,
2024-02-15,205.0,362.0,,,,
2024-02-16,178.0,324.0,,,,
2024-02-17,162.0,294.0,,,,
2024-02-18,144.1,164.0,,,,
2024-02-19,111.0,216.0,,,,
2024-02-20,110.0,221.0,,,,
2024-02-21,67.05,130.0,,,,
2024-02-22,75.95,100.0,,,,
2024-02-23,66.8,120.0,,,,
2024-02-24,80.0,152.0,,,,
2024-02-25,116.0,231.0,,,,
2024-02-26,50.0,89.8,,,,
2024-02-27,68.0,171.0,,,,
2024-02-28,110.0,205.0,,,,
2024-02-29,83.8,157.0,,,,
2024-03-01,47.5,90.3,,,,
2024-03-02,27.4,58.3,,,,
2024-03-03,65.95,103.0,,,,
2024-03-04,96.25,162.0,,,,
2024-03-05,82.0,131.0,,,,
2024-03-06,96.75,143.0,,,,
2024-03-07,95.8,158.0,,,,
2024-03-08,96.85,142.0,,,,
2024-03-09,111.4,170.0,,,,
2024-03-10,134.5,200.0,,,,
2024-03-11,112.05,183.0,,,,
2024-03-12,116.0,197.0,,,,
2024-03-13,50.95,82.5,,,,
2024-03-14,44.3,59.4,,,,
2024-03-15,88.75,119.0,,,,
2024-03-16,121.0,185.0,,,,
2024-03-17,99.2,153.0,,,,
2024-03-18,117.9,164.0,,,,
2024-03-19,91.3,144.0,,,,
2024-03-20,82.65,124.0,,,,
2024-03-21,86.9,127.0,,,,
2024-03-22,51.400000000000006,112.0,,,,
2024-03-23,26.09,81.2,,,,
2024-03-24,67.6,102.0,,,,
2024-03-25,87.1,158.0,,,,
2024-03-26,119.1,174.0,,,,
2024-03-27,29.15,70.3,,,,
2024-03-28,6.550000000000001,77.0,,,,
2024-03-29,31.75,44.5,,,,
2024-03-30,32.5,48.9,,,,
2024-03-31,2.75,59.3,,,,
2024-04-01,66.75,87.1,,,,
2024-04-02,59.2,77.8,,,,
2024-04-03,55.85,78.2,,,,
2024-04-04,-11.0,67.7,,,,
2024-04-05,-470.75,103.0,,,,
2024-04-06,-474.65,85.6,,,,
2024-04-07,-468.05,114.0,,,,
2024-04-08,4.900000000000002,99.4,,,,
2024-04-09,-128.3,107.0,,,,
2024-04-10,-214.85,26.9,,,,
2024-04-11,-228.8,45.4,,,,
2024-04-12,-155.9,58.1,,,,
2024-04-13,-150.45,70.7,,,,
2024-04-14,-168.15,77.1,,,,
2024-04-15,-485.2,53.3,,,,
2024-04-16,-482.0,60.0,,,,
2024-04-17,-479.6,69.3,,,,
2024-04-18,-488.45,47.2,,,,
2024-04-19,-485.75,52.4,,,,
2024-04-20,-484.6,56.8,,,,
2024-04-21,-486.4,47.1,,,,
2024-04-22,-486.9,45.1,,,,
2024-04-23,-479.75,71.9,,,,
2024-04-24,-636.0,,,,,
2024-04-25,-236.7,,,,,
2024-04-26,-269.7,,,,,
2024-04-27,-221.0,,,,,
2024-04-28,-184.2,,,,,
2024-04-29,-179.95,,,,,
2024-04-30,-244.15,,,,,
2024-05-01,-230.4,,,,,
2024-05-02,-233.85,,,,,
2024-05-03,-217.4,,,,,
2024-05-04,-304.3,,,,,
2024-05-05,-340.9,,,,,
2024-05-06,-325.35,,,,,
2024-05-07,-276.0,,,,,
2024-05-08,-229.15,,,,,
2024-05-09,-99.65,,,,,
2024-05-10,-264.05,,,,,
2024-05-11,-282.45,,,,,
2024-05-12,-304.05,,,,,
2024-05-13,-381.1,,,,,
2024-05-14,-218.05,,,,,
2024-05-15,-143.35,,,,,
2024-05-16,-258.8,,,,,
2024-05-17,-302.6,,,,,
2024-05-18,-477.85,,,,,
2024-05-19,-363.6,,,,,
2024-05-20,-145.3,,,,,
2024-05-21,-193.85,,,,,
2024-05-22,-242.55,,,,,
2024-05-23,-250.45,,,,,
2024-05-24,-310.45,,,,,
2024-05-25,-188.6,,,,,
2024-05-26,-239.15,,,,,
2024-05-27,-216.05,,,,,
2024-05-28,-174.65,,,,,
2024-05-29,65.75,,,,,
2024-05-30,-29.0,,,,,
2024-05-31,63.35,,,,,
2024-06-01,45.1,,,,,
2024-06-02,52.05,,,,,
2024-06-03,45.25,,,,,
2024-06-04,-171.1,,,,,
2024-06-05,-486.05,,,,,
2024-06-06,-486.4,,,,,
2024-06-07,-485.6,,,,,
2024-06-08,-483.2,,,,,
2024-06-09,-485.75,,,,,
2024-06-10,-486.15,,,,,
2024-06-11,-484.15,,,,,
2024-06-12,-483.1,,,,,
2024-06-13,-482.8,,,,,
2024-06-14,-486.65,,,,,
2024-06-15,-489.55,,,,,
2024-06-16,-486.85,,,,,
2024-06-17,-487.55,,,,,
2024-06-18,-487.75,,,,,
2024-06-19,-491.35,,,,,
2024-06-20,-489.9,,,,,
2024-06-21,-480.0,,,,,
2024-06-22,-477.45,,,,,
2024-06-23,-476.75,,,,,
2024-06-24,-475.6,,,,,
2024-06-25,-469.45,,,,,
2024-06-26,-484.6,,,,,
2024-06-27,-481.2,,,,,
2024-06-28,-478.85,,,,,
2024-06-29,-482.25,,,,,
2024-06-30,-366.2,,,,,
2024-07-01,39.05,,,,,
2024-07-02,42.6,,,,,
2024-07-03,24.5,,,,,
2024-07-04,47.1,,,,,
2024-07-05,40.55,,,,,
2024-07-06,26.29,,,,,
2024-07-07,44.2,,,,,
2024-07-08,63.85,,,,,
2024-07-09,65.7,,,,,
2024-07-10,74.94999999999999,,,,,
2024-07-11,45.8,,,,,
2024-07-12,24.84,,,,,
2024-07-13,91.65,,,,,
2024-07-14,76.15,,,,,
2024-07-15,88.4,,,,,
2024-07-16,63.3,,,,,
2024-07-17,15.375,,,,,
2024-07-18,-23.45,,,,,
2024-07-19,50.7,,,,,
2024-07-20,60.75,,,,,
2024-07-21,57.75,,,,,
2024-07-22,42.0,,,,,
2024-07-23,50.65,,,,,
2024-07-24,49.8,,,,,
2024-07-25,-8.35,,,,,
2024-07-26,41.05,,,,,
2024-07-27,53.35,,,,,
2024-07-28,42.75,,,,,
2024-07-29,58.75,,,,,
2024-07-30,95.45,,,,,
2024-07-31,42.05,,,,,
2024-08-01,41.85,,,,,
2024-08-02,29.450000000000003,,,,,
2024-08-03,36.85,,,,,
2024-08-04,48.55,,,,,
2024-08-05,8.85,,,,,
2024-08-06,30.8,,,,,
2024-08-07,-19.950000000000003,,,,,
2024-08-08,3.6000000000000014,,,,,
2024-08-09,13.750000000000002,,,,,
2024-08-10,22.35,,,,,
2024-08-11,5.450000000000001,,,,,
2024-08-12,36.4,,,,,
2024-08-13,25.215,,,,,
2024-08-14,40.7,,,,,
2024-08-15,18.154,,,,,
2024-08-16,16.604,,,,,
2024-08-17,42.25,,,,,
2024-08-18,44.45,,,,,
2024-08-19,17.8415,,,,,
2024-08-20,15.98,,,,,
2024-08-21,36.8,,,,,
2024-08-22,4.25,,,,,
2024-08-23,55.4,,,,,
2024-08-24,15.145,,,,,
2024-08-25,13.35,,,,,
2024-08-26,-20.05,,,,,
2024-08-27,14.265,,,,,
2024-08-28,-21.85,,,,,
2024-08-29,-43.4,,,,,
2024-08-30,52.8,,,,,
2024-08-31,38.55,,,,,
2024-09-01,44.35,,,,,
2024-09-02,48.6,,,,,
2024-09-03,70.1,,,,,
2024-09-04,71.05,,,,,
2024-09-05,78.0,,,,,
2024-09-06,43.6,,,,,
2024-09-07,54.25,,,,,
2024-09-08,63.2,,,,,
2024-09-09,60.3,,,,,
2024-09-10,49.3,,,,,
2024-09-11,62.55,,,,,
2024-09-12,38.6,,,,,
2024-09-13,42.85,,,,,
2024-09-14,51.7,,,,,
2024-09-15,74.75,,,,,
2024-09-16,51.35,,,,,
2024-09-17,46.35,,,,,
2024-09-18,54.05,,,,,
2024-09-19,24.04,,,,,
2024-09-20,43.1,,,,,
2024-09-21,65.15,,,,,
2024-09-22,76.25,,,,,
2024-09-23,52.150000000000006,,,,,
2024-09-24,83.55,,,,,
2024-09-25,79.05,,,,,
2024-09-26,-62.1,,,,,
2024-09-27,47.8,,,,,
2024-09-28,63.85,,,,,
2024-09-29,66.7,,,,,
2024-09-30,67.05,,,,,
2024-10-01,95.7,,,,,
2024-10-02,114.7,,,,,
2024-10-03,104.75,,,,,
2024-10-04,62.1,,,,,
2024-10-05,12.11,,,,,
2024-10-06,79.65,,,,,
2024-10-07,92.8,,,,,
2024-10-08,38.35,,,,,
2024-10-09,80.7,,,,,
2024-10-10,77.05,,,,,
2024-10-11,91.75,,,,,
2024-10-12,74.75,,,,,
2024-10-13,119.55,,,,,
2024-10-14,97.65,,,,,
2024-10-15,99.7,,,,,
2024-10-16,78.6,,,,,
2024-10-17,187.5,,,,,
2024-10-18,184.0,,,,,
2024-10-19,195.5,,,,,
2024-10-20,198.5,,,,,
