datetime,pm25,pm10,o3,co,so2,no2
2024-01-01,25.85,21.3,0.03170833333333328,0.2,0.0,0.0071
2024-01-02,14.85,22.1,0.03574999999999996,0.3,0.0004,0.014375
2024-01-03,9.715,12.5,0.03181249999999999,0.15,0.0,0.007875
2024-01-04,7.805,11.4,0.03468749999999998,0.25,0.0,0.013125
2024-01-05,11.5,19.8,0.024374999999999987,0.35,0.0002,0.0196749999999999
2024-01-06,13.5,18.2,0.02454166666666661,0.25,0.0005,0.01015
2024-01-07,3.23,7.33,0.03641666666666661,0.1,0.0,0.003225
2024-01-08,6.875,15.7,0.03579166666666664,0.2,0.0001,0.01325
2024-01-09,11.91,20.5,0.02941666666666664,0.35,0.0007,0.0217
2024-01-10,14.05,25.6,0.02512499999999996,0.25,0.0001,0.0118
2024-01-11,6.265000000000001,14.1,0.038749999999999944,0.2,0.0,0.007525
2024-01-12,11.45,20.3,0.03870833333333329,0.25,0.0002,0.0111
2024-01-13,19.3,25.6,0.031166666666666613,0.25,0.0002,0.011925
2024-01-14,20.6,26.0,0.03454166666666662,0.3,0.0003,0.011025
2024-01-15,24.5,32.2,0.0393958333333333,0.35,0.0002,0.017175
2024-01-16,24.75,31.3,0.03895833333333331,0.3,0.0001,0.014575
2024-01-17,22.55,33.1,0.03479166666666663,0.3,0.0,0.01515
2024-01-18,17.450000000000003,27.8,0.025999999999999975,0.3,0.0001,0.0142
2024-01-19,18.450000000000003,28.7,0.031249999999999972,0.45,0.0003,0.0271749999999999
2024-01-20,12.8,16.7,0.027041666666666624,0.35,0.0,0.0157
2024-01-21,7.285,7.96,0.027541666666666634,0.15,0.0001,0.0042
2024-01-22,4.965,4.63,0.032166666666666635,0.2,-0.0001,0.0146
2024-01-23,9.14,14.6,0.027958333333333297,0.15,0.0,0.009425
2024-01-24,9.235,20.6,0.028541666666666625,0.2,0.0,0.0138
2024-01-25,7.435,12.1,0.027124999999999948,0.15,0.0,0.007725
2024-01-26,12.25,17.7,0.031041666666666624,0.3,0.0,0.01245
2024-01-27,12.55,19.2,0.03083333333333331,0.3,0.0002,0.016325
2024-01-28,13.66,16.8,0.03612499999999996,0.2,0.0004,0.0107
2024-01-29,10.614999999999998,18.0,0.037874999999999964,0.3,0.0002,0.0142
2024-01-30,14.0,26.5,0.0383333333333333,0.55,0.0003,0.0303249999999999
2024-01-31,17.9,31.0,0.029624999999999974,0.25,0.0002,0.009725
2024-02-01,5.58,6.62,0.0373333333333333,0.2,0.0,0.0114
2024-02-02,9.42,13.3,0.03474999999999996,0.15,0.0,0.0055
2024-02-03,7.56,15.0,0.037999999999999964,0.15,0.0002,0.008875
2024-02-04,4.9,5.17,0.03820833333333331,0.15,0.0,0.004325
2024-02-05,3.83,1.25,0.03531249999999996,0.3,0.0,0.019475
2024-02-06,5.95,4.17,0.027833333333333286,0.3,-0.0001,0.02325
2024-02-07,4.13,7.92,0.029749999999999957,0.15,0.0,0.00615
