datetime,pm25,pm10,o3,co,so2,no2
2024-01-01,25.316666666666663,,0.020812499999999977,0.35,,0.0084
2024-01-02,5.452500000000001,,0.025750000000000002,0.35,,0.0055
2024-01-03,1.996,,0.03375,0.35,,0.0060999999999999
2024-01-04,5.45775,,0.03256249999999999,0.25,,0.01015
2024-01-05,7.44475,,0.026374999999999985,0.3,,0.01235
2024-01-06,6.11425,,0.02325,0.3,,0.01125
2024-01-07,6.699949999999999,,0.028499999999999987,0.25,,0.0066999999999999
2024-01-08,7.0165,,0.029375,0.25,,0.00885
2024-01-09,4.58025,,0.024,0.3,,0.0118
2024-01-10,5.179,,0.0255625,0.4,,0.0152
2024-01-11,3.9755825,,0.03224999999999997,0.3,,0.01165
2024-01-12,6.15,,0.029562500000000002,0.3,,0.00935
2024-01-13,3.83775,,0.031125,0.25,,0.00625
2024-01-14,2.87425,,0.0321875,0.3,,0.00765
2024-01-15,14.4325,,0.034999999999999996,0.4,,0.01575
2024-01-16,13.4375,,0.019,0.7,,0.02685
2024-01-17,4.875,,0.025374999999999988,0.5,,0.0159
2024-01-18,9.71025,,0.027250000000000003,0.7,,0.02325
2024-01-19,6.5325,,0.016624999999999987,0.5,,0.01525
2024-01-20,1.46175,,0.029124999999999988,0.5,,0.0098999999999999
2024-01-21,0.48225,,0.0335,0.4,,0.00475
2024-01-22,1.827375,,0.031499999999999986,0.3,,0.00945
2024-01-23,2.2747,,0.029375000000000002,0.1,,0.00795
2024-01-24,3.1425,,0.032375,0.2,,0.00505
2024-01-25,6.19,,0.028999999999999998,0.2,,0.00865
2024-01-26,7.2265,,0.034125,0.5,,0.0183
2024-01-27,10.40128,,,,,
2024-01-28,15.0627,,,,,
2024-01-29,12.01,,,,,
2024-01-30,32.565,,,,,
2024-01-31,2.79,,,,,
2024-02-01,3.58,,,,,
2024-02-02,6.97,,,,,
2024-02-03,1.84,,,,,
2024-02-04,0.1599999999999999,,0.0319375,0.2,,0.0017
2024-02-05,5.25,,0.0325,0.2,,0.0046
2024-02-06,8.895,,0.026625,0.1,,0.0035
2024-02-07,4.835,,0.026125000000000002,0.2,,0.0039
2024-02-08,6.779999999999999,,0.029249999999999998,0.2,,0.0039
2024-02-09,11.575,,0.028375,0.2,,0.0037
2024-02-10,23.6,,0.025749999999999988,0.2,,0.0024
2024-02-11,15.5,,0.0314375,0.2,,0.0033
2024-02-12,21.200000000000003,,0.029937499999999992,0.2,,0.0064
2024-02-13,15.375,,0.028562499999999998,0.2,,0.0041
2024-02-14,4.49,,0.034,0.2,,0.0038
2024-02-15,6.744999999999999,,0.033437499999999974,0.2,,0.0044
2024-02-16,11.55,,0.03731249999999997,0.4,,0.0156
2024-02-17,3.325,,0.027437499999999962,0.2,,0.0027
2024-02-18,0.758,,0.029437500000000002,0.2,,0.003
2024-02-19,3.175,,0.03925,0.2,,0.0015
2024-02-20,3.33,,0.036625,0.3,,0.007
2024-02-21,5.273333333333333,,0.0316875,0.2,,0.0023
2024-02-22,6.986666666666667,,0.0326875,0.2,,0.0051
2024-02-23,12.29,,0.0308125,0.35,,0.01155
2024-02-24,13.163333333333334,,0.025062499999999998,0.3,,0.00875
2024-02-25,7.583333333333333,,0.033812499999999975,0.3,,0.0066
2024-02-26,5.88,,0.037937499999999964,0.3,,0.0077
2024-02-27,4.036666666666666,,0.0325,0.25,,0.00845
2024-02-28,6.243333333333333,,0.0345,0.3,,0.0087
2024-02-29,2.99,,0.03637499999999998,0.2,,0.0024
2024-03-01,1.399333333333333,,0.0355,0.3,,0.00635
2024-03-02,1.94,,0.037250000000000005,0.3,,0.00555
2024-03-03,3.03,,0.0369375,0.3,,0.0036
2024-03-04,3.7266666666666666,,0.036375,0.35,,0.0104999999999999
2024-03-05,2.123333333333333,,0.0369375,0.3,,0.0058499999999999
2024-03-06,3.4466666666666668,2.54,0.02762499999999995,0.3,,0.0068
2024-03-07,4.826666666666667,5.01,0.026625,0.25,,0.00715
2024-03-08,5.826666666666667,7.93,0.028749999999999987,0.25,,0.0104
2024-03-09,3.56,5.58,0.03562499999999998,0.25,,0.0058
2024-03-10,2.4133333333333336,2.75,0.035375000000000004,0.3,,0.00665
2024-03-11,3.1666666666666665,3.0,0.037937499999999985,0.25,,0.00745
2024-03-12,4.01,,0.038000000000000006,0.25,,0.0022
2024-03-13,2.810666666666666,1.08,0.0335625,0.25,,0.00775
2024-03-14,1.6526666666666667,0.47,0.03656249999999997,0.15,,0.00345
2024-03-15,0.409,0.891,0.03843749999999997,0.2,,0.0052
2024-03-16,2.16,2.36,0.03737499999999998,0.25,,0.00745
2024-03-17,6.7,7.15,0.04031249999999996,0.25,,0.00695
2024-03-18,9.21,9.73,0.038187499999999965,0.3,,0.01105
2024-03-19,15.133333333333333,21.0,0.0373125,0.4,,0.0075
2024-03-20,10.076666666666666,13.6,0.040999999999999995,0.2,,0.0033
2024-03-21,5.363333333333333,4.92,0.0415625,0.3,,0.00825
2024-03-22,4.426666666666667,4.17,0.03887499999999999,0.3,,0.0072499999999999
2024-03-23,5.43,2.1,0.038125000000000006,0.3,,0.0068
2024-03-24,3.466666666666667,2.1,0.0405625,0.25,,0.0047
2024-03-25,4.426666666666667,3.05,0.0408125,0.25,,0.00525
2024-03-26,3.373333333333333,2.01,0.04012499999999999,0.3,,0.0069
2024-03-27,5.3,6.21,0.03968749999999997,0.35,,0.00845
2024-03-28,4.153333333333333,3.21,0.0384375,0.3,,0.00595
2024-03-29,4.06,4.3,0.041124999999999995,0.2,,0.00595
2024-03-30,3.6966666666666663,1.97,0.036437500000000005,0.35,,0.00865
2024-03-31,7.323333333333333,9.79,0.0369375,0.25,,0.00375
2024-04-01,8.9,8.59,0.037374999999999985,0.3,,0.00675
2024-04-02,8.546666666666667,7.8,0.04162499999999998,0.35,,0.0101
2024-04-03,7.669999999999999,10.8,0.04356249999999999,0.3,,0.0062
2024-04-04,2.8466666666666662,1.5,0.03956249999999993,0.25,,0.00645
2024-04-05,5.276666666666666,3.44,0.039999999999999925,0.3,,0.0075
2024-04-06,4.576666666666667,2.19,0.03724999999999999,0.25,,0.00545
2024-04-07,5.793333333333333,7.73,0.038624999999999965,0.25,,0.00475
2024-04-08,7.633333333333333,7.71,0.039937499999999924,0.3,,0.00935
2024-04-09,6.323333333333333,6.58,0.04149999999999999,0.35,,0.0082
2024-04-10,8.393333333333333,9.23,0.040999999999999974,0.4499999999999999,,0.01285
2024-04-11,10.066666666666666,8.37,0.04337499999999999,0.35,,0.0090499999999999
2024-04-12,7.606666666666666,7.71,0.04043749999999997,0.3,,0.0053
2024-04-13,0.7633333333333333,0.804,0.0491875,0.3,,0.0066
2024-04-14,1.6676666666666666,0.733,0.04618749999999999,0.3,,0.00475
2024-04-15,4.256666666666667,4.95,0.04375,0.3,,0.00665
2024-04-16,6.52,7.6,0.04043749999999997,0.35,,0.00815
2024-04-17,9.893333333333333,10.8,0.04031249999999996,0.4,,0.0108
2024-04-18,13.966666666666669,13.5,0.043250000000000004,0.35,,0.01
2024-04-19,11.433333333333332,12.0,0.043749999999999976,0.35,,0.0084
2024-04-20,18.97,34.7,0.040874999999999995,0.25,,0.00605
2024-04-21,7.233333333333333,7.45,0.04418749999999999,0.3,,0.00625
2024-04-22,11.176666666666668,8.61,0.037062499999999984,0.35,,0.0071
2024-04-23,7.543333333333333,3.3,0.038,0.25,,0.0046
2024-04-24,5.981428571428571,4.49,0.038875,0.35,,0.0075
2024-04-25,5.013333333333333,3.91,0.037625,0.3,,0.00485
2024-04-26,2.509571428571429,0.937,0.031875,0.3,,0.00535
2024-04-27,4.432857142857143,3.15,0.0328125,0.3,,0.0036
2024-04-28,3.7142857142857135,2.6,0.0369375,0.25,,0.0026999999999999
