datetime,pm25,pm10,o3,co,so2,no2
2024-01-01,21.5,18.7,0.0115,,,0.004
2024-01-02,15.6,16.2,0.016124999999999976,,,0.0037
2024-01-03,7.625,9.48,0.02799999999999999,,,0.0057
2024-01-04,12.05,15.8,0.0319375,,,0.0032
2024-01-05,15.75,24.4,0.023625,,,0.0039
2024-01-06,20.0,24.3,0.024562499999999987,,,0.0052
2024-01-07,8.57,10.4,0.0268125,,,0.0026
2024-01-08,11.7,20.3,0.0275,,,0.0033
2024-01-09,15.8,30.0,0.02443749999999999,,,0.0046
2024-01-10,11.95,22.0,0.026375,,,0.0037
2024-01-11,6.345000000000001,12.5,0.030375,,,0.004
2024-01-12,13.25,23.5,0.0305,,,0.0064
2024-01-13,21.3,28.4,0.023874999999999987,,,0.0043
2024-01-14,20.75,28.8,0.021625,,,0.0032
2024-01-15,12.3,13.9,0.026562499999999985,,,0.0081
2024-01-16,11.32,15.7,0.011812499999999986,,,0.0065
2024-01-17,18.2,22.8,0.015,,,0.0048
2024-01-18,15.3,18.8,0.0198125,,,0.0069
2024-01-19,22.8,31.0,0.0169375,,,0.008
2024-01-20,10.375,14.3,0.020374999999999987,,,0.0044
2024-01-21,3.005,6.0,0.0273125,,,0.0028
2024-01-22,3.45,6.35,0.02975,,,0.0037
2024-01-23,6.1,9.27,0.024375,,,0.0029
2024-01-24,8.73,11.9,0.025499999999999988,,,0.0041
2024-01-25,6.41,11.8,0.023937499999999987,,,0.0034
2024-01-26,9.725,19.0,0.02824999999999999,,,0.004
2024-01-27,17.950000000000003,25.7,0.029437500000000002,,,0.005
2024-01-28,25.200000000000003,29.7,0.0310625,,,0.0035
2024-01-29,24.35,34.9,0.028562499999999987,,,0.004
2024-01-30,19.2,42.6,0.027749999999999973,,,0.0044
2024-01-31,10.45,29.3,0.0283125,,,0.0089
2024-02-01,1.805,5.85,0.034375,,,0.0027
2024-02-02,4.890000000000001,8.96,0.033875,,,0.0035
2024-02-03,6.11,11.2,0.035562500000000004,,,0.0026
2024-02-04,2.43,13.6,0.03424999999999999,,,0.0013
2024-02-05,1.2065,5.04,0.0329375,,,0.0057
2024-02-06,1.795,5.64,0.03481249999999999,,,0.0034
2024-02-07,2.365,8.13,0.0336875,,,0.0018
2024-02-08,5.9,11.6,0.03081249999999999,,,0.0031
2024-02-09,9.815,18.3,0.031000000000000003,,,0.0028
2024-02-10,10.45,16.0,0.0313125,,,0.0015
2024-02-11,12.235,20.5,0.0285625,,,0.0019
2024-02-12,12.8,27.3,0.034624999999999996,,,0.0031
2024-02-13,16.7,32.0,0.034312499999999996,,,0.0038
2024-02-14,15.2,26.0,0.0340625,,,0.0032
2024-02-15,4.8,12.3,0.03025,,,0.0029
2024-02-16,14.0,22.7,0.03,,,0.0033
2024-02-17,10.065,20.2,0.0273125,,,0.0037
2024-02-18,3.47,9.26,0.03062499999999996,,,0.0006
2024-02-19,2.435,9.09,0.03618749999999996,,,0.0015
2024-02-20,2.875,13.7,0.035,,,0.0014
2024-02-21,2.78,8.65,0.03687499999999998,,,0.0023
2024-02-22,7.715,16.7,0.0369375,,,0.0036
2024-02-23,13.05,23.8,0.031875,,,0.0042
2024-02-24,19.5,29.7,0.0290625,,,0.003
2024-02-25,17.5,26.6,0.03624999999999998,,,0.0025
2024-02-26,12.78,23.0,0.04037499999999999,,,0.0101
2024-02-27,6.105,14.7,0.0323125,,,0.0022
2024-02-28,11.0,26.1,0.035,,,0.0048
2024-02-29,7.33,20.5,0.03881249999999999,,,0.0016
2024-03-01,1.39,7.65,0.035062499999999996,,,0.0017
2024-03-02,1.305,5.17,0.034124999999999996,,,0.0017
2024-03-03,1.4700000000000002,6.61,0.037875,,,0.0025
2024-03-04,2.67,8.65,0.039125,,,0.0022
2024-03-05,7.81,20.4,0.042812499999999996,,,0.0025
2024-03-06,5.325,15.3,0.04006249999999996,,,
2024-03-07,4.895,12.0,0.03193749999999998,,,
2024-03-08,6.525,19.9,0.031062499999999976,,,
2024-03-09,10.48,22.8,0.03699999999999999,,,
2024-03-10,9.12,13.9,0.04087499999999998,,,
2024-03-11,5.05,16.9,0.037374999999999985,,,
2024-03-12,3.675,9.48,0.041499999999999974,,,
2024-03-13,5.08,16.9,0.0370625,,,
2024-03-14,6.37,20.7,0.034624999999999975,,,
2024-03-15,7.2,29.7,0.04093749999999999,,,
2024-03-16,7.78,29.5,0.03937499999999997,,,
2024-03-17,6.525,21.2,0.04481249999999999,,,
2024-03-18,11.165,39.8,0.045999999999999985,,,
2024-03-19,10.445,37.9,0.051625000000000004,,,
2024-03-20,7.55,24.8,0.044437500000000005,,,
2024-03-21,7.23,23.3,0.0425,,,0.0039
2024-03-22,7.105,35.8,0.04775,,,0.001
2024-03-23,2.325,8.29,0.04687499999999999,,,0.0015
2024-03-24,2.515,9.42,0.04306249999999998,,,0.0024
2024-03-25,2.935,10.8,0.0383125,,,0.0022
2024-03-26,3.08,12.0,0.04156249999999999,,,0.0021
2024-03-27,5.96,25.2,0.045687499999999985,,,0.0016
2024-03-28,2.145,10.7,0.0478125,,,0.0024
2024-03-29,4.42,15.4,0.04212499999999998,,,0.0016
2024-03-30,1.179,6.33,0.044000000000000004,,,0.0022
2024-03-31,1.83,6.17,0.0448125,,,0.0003
2024-04-01,4.27,12.4,0.041999999999999996,,,0.002
2024-04-02,7.565,24.1,0.044375000000000005,,,0.0027
2024-04-03,9.025,32.1,0.050812500000000003,,,0.0016
2024-04-04,3.015,17.7,0.05356249999999996,,,0.002
2024-04-05,3.325,8.33,0.04062499999999995,,,0.0025
2024-04-06,5.105,10.7,0.04193749999999995,,,0.0018
2024-04-07,5.775,10.3,0.04362499999999998,,,0.0018
2024-04-08,6.275,18.3,0.04593749999999997,,,0.0014
2024-04-09,9.19,27.1,0.0483125,,,0.0033
2024-04-10,12.65,41.0,0.0539375,,,0.003
2024-04-11,17.5,44.4,0.05975,,,0.0028
