STATION,DATE,NAME,TEMP,DEWP,STP,VISIB,WDSP,MXSPD,MAX,MIN,PRCP,MONTH
72287493134,2024-01-01,"LOS ANGELES DOWNTOWN USC, CA US",57.1,45.0,11.5,8.8,0.7,5.1,66.9,50.0,0.0,1
72287493134,2024-01-02,"LOS ANGELES DOWNTOWN USC, CA US",55.7,44.3,15.3,10.0,1.2,6.0,68.0,45.0,0.0,1
72287493134,2024-01-03,"LOS ANGELES DOWNTOWN USC, CA US",56.7,49.1,13.5,7.8,1.0,8.0,68.0,45.0,0.0,1
72287493134,2024-01-04,"LOS ANGELES DOWNTOWN USC, CA US",56.9,36.6,12.0,9.7,1.7,4.1,66.0,51.1,0.22,1
72287493134,2024-01-05,"LOS ANGELES DOWNTOWN USC, CA US",54.8,36.1,14.3,10.0,1.1,4.1,66.0,46.9,0.0,1
72287493134,2024-01-06,"LOS ANGELES DOWNTOWN USC, CA US",54.3,40.1,13.8,9.9,0.6,4.1,66.0,44.1,0.0,1
72287493134,2024-01-07,"LOS ANGELES DOWNTOWN USC, CA US",55.7,36.4,7.7,10.0,3.7,8.9,64.9,44.1,0.0,1
72287493134,2024-01-08,"LOS ANGELES DOWNTOWN USC, CA US",52.5,20.8,13.9,9.9,2.3,8.0,62.1,43.0,0.0,1
72287493134,2024-01-09,"LOS ANGELES DOWNTOWN USC, CA US",52.6,25.2,17.4,10.0,0.4,2.9,64.9,43.0,0.0,1
72287493134,2024-01-10,"LOS ANGELES DOWNTOWN USC, CA US",52.3,37.9,10.4,10.0,0.6,5.1,64.9,44.1,0.0,1
72287493134,2024-01-11,"LOS ANGELES DOWNTOWN USC, CA US",55.4,34.5,7.9,10.0,1.5,6.0,64.0,44.1,0.0,1
72287493134,2024-01-12,"LOS ANGELES DOWNTOWN USC, CA US",52.9,23.5,14.4,10.0,0.9,6.0,64.0,42.1,0.0,1
72287493134,2024-01-13,"LOS ANGELES DOWNTOWN USC, CA US",52.4,36.0,12.5,10.0,0.7,5.1,64.0,42.1,0.0,1
72287493134,2024-01-14,"LOS ANGELES DOWNTOWN USC, CA US",53.5,44.6,11.0,9.7,0.5,5.1,64.0,43.0,0.0,1
72287493134,2024-01-15,"LOS ANGELES DOWNTOWN USC, CA US",55.5,47.1,10.9,7.9,0.7,4.1,66.9,46.9,0.0,1
72287493134,2024-01-16,"LOS ANGELES DOWNTOWN USC, CA US",56.4,48.9,11.6,5.3,0.6,4.1,70.0,48.0,0.0,1
72287493134,2024-01-17,"LOS ANGELES DOWNTOWN USC, CA US",58.0,52.7,10.9,5.7,0.8,4.1,70.0,48.0,0.0,1
